date,containment_zones,calls_covid_helpline,calls_ambulance_total,calls_refused
2020-06-23,261,942,1198,0.0
2020-06-24,266,833,1175,0.0
2020-06-25,280,1082,940,0.0
2020-06-26,280,1041,974,0.0
2020-06-27,315,570,1018,0.0
2020-06-28,417,378,875,0.0
2020-06-29,435,308,871,0.0
2020-06-30,440,432,933,0.0
2020-07-01,437,412,1034,0.0
2020-07-02,445,381,1087,0.0
2020-07-03,445,353,835,0.0
2020-07-04,448,430,1030,0.0
2020-07-05,456,369,1036,0.0
2020-07-06,455,289,955,0.0
2020-07-07,454,397,938,0.0
2020-07-08,458,323,929,0.0
2020-07-09,563,362,954,0.0
2020-07-10,633,363,1076,0.0
2020-07-11,639,309,1002,0.0
2020-07-12,652,310,1041,0.0
2020-07-13,658,290,912,0.0
2020-07-14,657,325,944,0.0
2020-07-15,659,355,966,0.0
2020-07-16,658,315,1017,0.0
2020-07-17,668,301,1048,0.0
2020-07-18,678,391,1094,0.0
2020-07-19,685,328,930,0.0
2020-07-20,696,338,853,0.0
2020-07-21,689,380,993,0.0
2020-07-22,693,371,851,0.0
2020-07-23,704,315,839,0.0
2020-07-24,702,314,895,0.0
2020-07-25,704,319,961,0.0
2020-07-26,714,316,901,0.0
2020-07-27,716,285,807,0.0
2020-07-28,715,298,1050,0.0
2020-07-29,704,360,945,0.0
2020-07-31,692,176,930,0.0
2020-08-01,539,208,942,0.0
2020-08-02,496,177,888,0.0
2020-08-03,496,138,907,0.0
2020-08-04,499,148,1018,0.0
2020-08-18,557,109,1109,0.0
2020-08-19,560,121,1065,0.0
2020-08-20,587,122,1067,0.0
2020-08-21,589,114,994,0.0
2020-08-22,591,157,1173,0.0
2020-08-23,627,101,1091,0.0
2020-08-24,644,82,934,0.0
2020-08-25,654,114,1136,0.0
2020-08-26,716,88,1205,0.0
2020-08-27,734,119,1317,0.0
2020-08-28,763,119,1227,0.0
2020-08-31,833,75,1011,0.0
2020-09-01,846,129,1282,0.0
2020-09-02,894,156,1282,0.0
2020-09-03,922,188,1332,0.0
2020-09-04,949,167,1437,0.0
2020-09-05,976,174,1462,0.0
2020-09-07,1114,157,1163,0.0
2020-09-08,1166,166,1469,0.0
2020-09-09,1226,155,1404,0.0
2020-09-10,1272,207,1516,0.0
2020-09-11,1329,240,1498,0.0
2020-09-12,1383,231,1496,0.0
2020-09-13,1488,197,1477,0.0
2020-09-14,1517,204,1279,0.0
2020-09-15,1560,200,1446,0.0
2020-09-16,1637,186,1453,0.0
2020-09-17,1670,209,1535,0.0
2020-09-18,1751,160,1456,0.0
2020-09-19,1820,166,1442,0.0
2020-09-20,1872,154,1448,0.0
2020-09-21,1889,122,1227,0.0
2020-09-22,1937,201,1500,0.0
2020-09-23,1987,163,1557,0.0
2020-09-24,2059,155,1484,0.0
2020-09-25,2124,150,1471,0.0
2020-09-26,2231,163,1435,0.0
2020-09-28,2465,112,1204,0.0
2020-09-29,2505,164,1492,0.0
2020-09-30,2570,137,1414,0.0
2020-10-01,2615,118,1362,0.0
2020-10-02,2648,118,1350,0.0
2020-10-03,2658,97,1064,0.0
2020-10-04,2696,114,1344,0.0
2020-10-05,2707,36,1060,0.0
2020-10-07,2702,439,1314,0.0
2020-10-08,2734,594,1427,0.0
2020-10-09,2727,617,1353,0.0
2020-10-10,2715,275,1424,0.0
2020-10-11,2710,273,1343,0.0
2020-10-12,2726,340,1078,0.0
2020-10-13,2747,313,1461,0.0
2020-10-15,2727,297,1391,0.0
2020-10-19,2782,316,1003,0.0
2020-10-20,2716,302,1444,0.0
2020-10-21,2724,319,1363,0.0
2020-10-22,2766,324,1341,0.0
2020-10-23,2777,314,1360,0.0
2020-10-26,2930,288,1160,0.0
2020-10-27,3032,314,1597,0.0
2020-10-28,3047,321,1721,0.0
2020-10-29,3113,308,1567,0.0
2020-10-30,3158,366,1554,0.0
2020-10-31,3274,377,1414,0.0
2020-11-02,3416,338,1379,0.0
2020-11-03,3453,327,1706,0.0
2020-11-04,3596,364,1705,0.0
2020-11-05,3684,301,1539,0.0
2020-11-06,3754,382,1789,0.0
2020-11-07,3857,382,1857,0.0
2020-11-08,3878,337,1857,0.0
2020-11-09,3882,300,1409,0.0
2020-11-10,3947,341,1821,0.0
2020-11-11,4016,341,1729,0.0
2020-11-12,4141,377,1750,0.0
2020-11-17,4449,270,1821,0.0
2020-11-18,4444,358,1863,0.0
2020-11-19,4501,378,1762,0.0
2020-11-22,4697,346,1534,0.0
2020-11-23,4692,346,1209,0.0
2020-11-24,4708,346,1586,0.0
2020-11-25,4980,345,1483,0.0
2020-11-26,5156,373,1393,0.0
2020-11-27,5229,359,1386,0.0
2020-11-28,5331,365,1377,0.0
2020-11-30,5552,382,1242,0.0
2020-12-01,5669,338,1293,0.0
2020-12-02,5772,322,1443,0.0
2020-12-03,5759,334,1421,0.0
2020-12-04,5909,341,1379,0.0
2020-12-05,6045,343,1402,0.0
2020-12-06,6173,305,1310,0.0
2020-12-07,6292,278,1014,0.0
2020-12-08,6430,317,1302,0.0
2020-12-09,6460,311,1399,0.0
2020-12-10,6430,317,1302,0.0
2020-12-11,6501,294,1380,0.0
2020-12-12,6451,296,1457,0.0
2020-12-13,6388,274,1271,0.0
2020-12-14,6433,210,1019,0.0
2020-12-15,6420,283,1304,0.0
2020-12-16,6415,231,1316,0.0
2020-12-17,6376,214,1382,0.0
2020-12-18,6276,196,1208,0.0
2020-12-19,5991,202,1298,0.0
2020-12-20,5943,199,1199,0.0
2020-12-21,5843,197,1098,0.0
2020-12-22,5833,215,1303,0.0
2020-12-23,5501,167,1427,0.0
2020-12-24,5152,211,1426,0.0
2020-12-28,4563,194,1022,0.0
2020-12-29,4450,228,1531,0.0
2020-12-30,4276,209,1293,0.0
2020-12-31,4085,158,1339,0.0
2021-01-01,3874,125,1438,0.0
2021-01-04,3491,141,1056,0.0
2021-01-05,3400,154,1547,0.0
2021-01-06,3202,158,1412,0.0
2021-01-07,3118,147,1514,0.0
2021-01-08,2965,134,1425,0.0
2021-01-11,2758,106,1043,0.0
2021-01-13,2585,127,1465,0.0
2021-01-14,2501,136,1489,0.0
2021-01-15,2451,121,1435,0.0
2021-01-18,2253,102,1146,0.0
2021-01-19,2172,127,1682,0.0
2021-01-20,2168,133,1600,0.0
2021-01-21,2107,100,1578,0.0
2021-01-22,1836,157,1629,0.0
2021-01-27,1639,100,1376,0.0
2021-01-28,1363,131,1680,0.0
2021-01-29,1227,139,1713,0.0
2021-01-30,2118,124,1581,0.0
2021-01-31,1085,96,1377,0.0
2021-02-02,1039,115,1665,0.0
2021-02-03,1027,125,1669,0.0
2021-02-04,1006,147,1564,0.0
2021-02-05,988,112,1519,0.0
2021-02-06,977,97,1671,0.0
2021-02-09,950,160,1742,0.0
2021-02-12,746,147,1610,0.0
2021-02-13,693,146,1585,0.0
2021-02-14,687,129,1588,0.0
2021-02-15,688,92,1067,0.0
2021-02-16,666,124,1759,0.0
2021-02-17,657,107,1708,0.0
2021-02-19,649,126,1687,0.0
2021-02-21,631,124,1559,0.0
2021-02-22,637,130,1149,0.0
2021-02-23,639,130,1836,0.0
2021-02-24,644,156,1631,0.0
2021-02-25,550,271,1575,0.0
2021-02-26,550,318,1661,0.0
2021-03-01,596,163,1163,0.0
2021-03-02,562,325,1672,0.0
2021-03-03,574,355,1626,0.0
2021-03-04,585,252,1639,0.0
2021-03-05,591,268,1638,0.0
2021-03-06,562,268,1478,0.0
2021-03-08,536,204,1151,0.0
2021-03-09,549,244,1409,0.0
2021-03-10,576,258,1443,0.0
2021-03-11,592,203,1624,0.0
2021-03-12,488,261,1357,0.0
2021-03-13,518,191,1548,0.0
2021-03-14,537,176,1276,0.0
2021-03-15,548,120,1125,0.0
2021-03-16,576,195,1615,0.0
2021-03-17,608,192,1523,0.0
2021-03-18,647,244,1537,0.0
2021-03-19,647,244,1537,0.0
2021-03-20,712,333,1370,0.0
2021-03-21,766,340,1402,0.0
2021-03-22,805,283,1090,0.0
2021-03-23,871,489,1528,0.0
2021-03-24,976,360,1351,0.0
2021-03-25,1076,365,1522,0.0
2021-03-26,1307,358,1423,0.0
2021-03-27,1506,492,1510,0.0
2021-03-28,1710,393,1465,0.0
2021-03-29,1849,406,1282,0.0
2021-03-30,1903,234,1680,0.0
2021-03-31,2009,462,1758,0.0
2021-04-01,2183,451,1600,0.0
2021-04-02,2338,599,1539,0.0
2021-04-03,2618,762,1343,0.0
2021-04-04,2917,781,1535,0.0
2021-04-05,3090,621,1255,0.0
2021-04-06,3291,802,1853,0.0
2021-04-07,3708,933,1889,0.0
2021-04-08,4226,972,1889,0.0
2021-04-09,4768,1140,1769,0.0
2021-04-10,5236,1321,1987,0.0
2021-04-11,5705,1291,2034,0.0
2021-04-12,6175,1265,1756,0.0
2021-04-13,6852,1178,2054,0.0
2021-04-14,7598,996,2330,0.0
2021-04-15,8661,1241,2279,0.0
2021-04-16,9929,1300,2279,0.0
2021-04-17,11235,1017,2513,0.0
2021-04-18,13259,1783,2786,0.0
2021-04-19,15039,1438,2588,0.0
2021-04-20,17151,1282,2861,0.0
2021-04-21,19624,1272,2618,0.0
2021-04-22,22000,1272,2665,0.0
2021-04-23,23561,1228,2699,0.0
2021-04-24,24802,1106,2803,0.0
2021-04-25,27366,914,2558,0.0
2021-04-26,29104,990,2434,0.0
2021-04-27,31570,1062,2718,0.0
2021-04-28,33749,1167,2479,0.0
2021-04-29,35924,1032,2352,0.0
2021-04-30,37223,1088,2465,0.0
2021-05-01,39556,953,2282,0.0
2021-05-02,42098,1079,2142,0.0
2021-05-03,44052,1193,1649,0.0
2021-05-04,46173,1119,1871,0.0
2021-05-05,47704,1022,1685,0.0
2021-05-06,49123,902,1653,0.0
2021-05-07,50785,1025,1446,0.0
2021-05-08,51338,971,1506,0.0
2021-05-09,53127,992,1401,0.0
2021-05-10,54256,804,1009,0.0
2021-05-11,55661,780,1275,0.0
2021-05-12,56852,816,1190,0.0
2021-05-13,57550,693,1202,0.0
2021-05-14,56470,721,1121,0.0
2021-05-15,57179,609,924,0.0
2021-05-16,57309,668,1012,0.0
2021-05-17,57484,697,759,0.0
2021-05-18,57805,714,1121,0.0
2021-05-19,56732,769,963,0.0
2021-05-20,56833,591,918,0.0
2021-05-21,50074,406,1014,0.0
2021-05-22,48429,519,1011,0.0
2021-05-23,46570,379,1004,0.0
2021-05-24,45483,416,647,0.0
2021-05-25,39640,538,1057,0.0
2021-05-27,34354,592,904,0.0
2021-05-28,22701,609,1013,0.0
2021-05-29,20805,569,1082,0.0
2021-05-31,19677,550,739,0.0
2021-06-01,18843,667,1247,0.0
2021-06-02,17770,617,1030,0.0
2021-06-03,16287,2231,1111,0.0
2021-06-04,14324,2731,1084,0.0
2021-06-05,12296,2499,1158,0.0
2021-06-06,11557,1741,1087,0.0
2021-06-07,11420,3118,779,0.0
2021-06-08,11094,2579,1195,0.0
2021-06-10,9547,2475,1198,0.0
2021-06-11,8032,2621,1238,0.0
2021-06-12,7062,2193,1174,
2021-06-13,6782,2137,1287,
2021-06-14,6714,1760,948,
2021-06-15,6476,2203,1412,
2021-06-16,6169,1839,1274,
2021-06-17,5799,1662,1230,
2021-06-18,5452,1447,1223,
2021-06-19,5261,1306,1277,
2021-06-20,4752,1316,1220,
2021-06-21,4597,892,842,
2021-06-25,2048,1245,1377,
2021-06-26,1817,1253,1333,
2021-06-27,1837,1366,1322,
2021-06-28,1828,806,935,
2021-06-29,1643,962,1496,
2021-06-30,1599,1063,1364,
2021-07-01,1349,1179,1412,
2021-07-02,1288,1184,1431,
2021-07-03,738,1138,1445,
2021-07-05,695,730,967,
2021-07-06,652,1441,1414,
2021-07-07,644,1299,1448,0.0
2021-07-08,628,1281,1449,0.0
2021-07-09,604,1187,1449,0.0
2021-07-10,586,1038,1370,0.0
2021-07-11,576,1132,1464,0.0
2021-07-12,526,636,1114,0.0
2021-07-13,524,1416,1535,0.0
2021-07-14,472,1198,1376,0.0
2021-07-15,439,1080,1463,0.0
2021-07-16,418,1027,1436,0.0
2021-07-17,422,1146,1407,0.0
2021-07-18,409,1100,1431,0.0
2021-07-19,407,628,1005,0.0
2021-07-20,406,1078,1501,0.0
2021-07-21,403,1072,1491,0.0
2021-07-22,388,923,1255,0.0
2021-07-23,322,1147,1641,0.0
2021-07-24,317,1140,1613,0.0
2021-07-25,309,976,1595,0.0
2021-07-26,305,827,1020,0.0
2021-07-27,299,1129,1708,0.0
2021-07-28,292,1016,1597,0.0
2021-07-29,299,997,1456,0.0
2021-07-30,296,977,1482,0.0
2021-07-31,292,978,1481,0.0
2021-08-01,292,879,1499,0.0
2021-08-02,290,516,1126,0.0
2021-08-03,282,1017,1625,0.0
2021-08-04,284,1003,1625,0.0
2021-08-05,284,912,1706,0.0
2021-08-06,271,1200,1640,0.0
2021-08-07,264,905,1682,0.0
2021-08-08,269,905,1623,0.0
2021-08-09,271,476,1223,0.0
2021-08-10,273,1066,1778,0.0
2021-08-11,262,875,1644,0.0
2021-08-13,250,916,1651,0.0
2021-08-14,248,845,1811,0.0
2021-08-15,243,731,1627,0.0
2021-08-16,242,261,1657,0.0
2021-08-17,241,863,1732,0.0
2021-08-18,242,937,1748,0.0
2021-08-19,234,837,1579,0.0
2021-08-20,237,819,1640,0.0
2021-08-21,239,525,1304,0.0
2021-08-22,236,520,1508,0.0
2021-08-23,228,214,1181,0.0
2021-08-24,220,425,1824,0.0
2021-08-25,219,716,1680,0.0
2021-08-26,217,583,1711,0.0
2021-08-27,219,807,1631,0.0
2021-08-28,170,819,1824,0.0
2021-08-29,172,744,1673,0.0
2021-08-30,144,429,1250,0.0
2021-08-31,138,542,1355,0.0
2021-09-01,141,775,1620,0.0
2021-09-02,141,673,1535,0.0
2021-09-03,131,743,1727,0.0
2021-09-04,128,814,1589,0.0
2021-09-05,130,731,1509,0.0
2021-09-06,133,410,1181,0.0
2021-09-07,104,990,1910,0.0
2021-09-08,100,814,1737,0.0
2021-09-09,99,830,1748,0.0
2021-09-10,100,759,1728,0.0
2021-09-11,100,708,1640,0.0
2021-09-12,94,676,1637,0.0
2021-09-14,93,815,1752,0.0
2021-09-15,93,785,1710,0.0
2021-09-16,94,880,1683,0.0
2021-09-17,96,780,1699,0.0
2021-09-18,98,772,1644,0.0
2021-09-19,103,784,1670,0.0
2021-09-20,100,404,1233,0.0
2021-09-21,98,885,1931,0.0
2021-09-22,100,921,1869,0.0
2021-09-23,98,823,1812,0.0
2021-09-24,98,793,1720,0.0
2021-09-25,96,873,1641,0.0
2021-09-26,95,872,1675,0.0
2021-09-27,93,554,1273,0.0
2021-09-28,94,975,1774,0.0
2021-09-29,97,947,1881,0.0
2021-09-30,97,783,1706,0.0
2021-10-01,100,818,1853,0.0
2021-10-02,97,861,1738,0.0
2021-10-03,96,563,1400,0.0
2021-10-04,93,422,1245,0.0
2021-10-05,100,821,1883,0.0
2021-10-06,102,727,1703,0.0
2021-10-07,102,677,1620,0.0
2021-10-08,103,710,1661,0.0
2021-10-09,100,710,1666,0.0
2021-10-10,102,623,1701,0.0
2021-10-11,102,285,1263,0.0
2021-10-12,102,732,1769,0.0
2021-10-13,99,679,1680,0.0
2021-10-14,104,627,1629,0.0
2021-10-15,99,584,1601,0.0
2021-10-16,104,327,1374,0.0
2021-10-17,105,607,1744,0.0
2021-10-18,107,273,1146,0.0
2021-10-19,106,677,1773,0.0
2021-10-20,97,506,1323,0.0
2021-10-21,96,478,1511,0.0
2021-10-22,93,712,1757,0.0
2021-10-23,93,710,1870,0.0
2021-10-24,92,600,1823,0.0
2021-10-25,88,238,1238,0.0
2021-10-26,97,666,1728,0.0
2021-10-27,96,707,1760,0.0
2021-10-28,90,574,1686,0.0
2021-10-29,93,514,1682,0.0
2021-10-30,88,463,1512,0.0
2021-10-31,86,497,1739,0.0
2021-11-01,86,239,1295,0.0
2021-11-02,98,616,1716,0.0
2021-11-03,100,426,1629,0.0
2021-11-04,109,411,1663,0.0
2021-11-05,109,164,1329,0.0
2021-11-06,113,468,1839,0.0
2021-11-07,116,318,1627,0.0
2021-11-08,121,243,1243,0.0
2021-11-09,115,626,1758,0.0
2021-11-10,104,637,1657,0.0
2021-11-11,97,522,1550,0.0
2021-11-12,111,608,1694,0.0
2021-11-13,117,555,1626,0.0
2021-11-14,125,607,1782,0.0
2021-11-15,124,232,1120,0.0
2021-11-16,125,561,1671,0.0
2021-11-17,127,605,1632,0.0
2021-11-18,120,652,1570,0.0
2021-11-19,133,599,1649,0.0
2021-11-20,126,422,1242,0.0
2021-11-21,124,519,1558,0.0
2021-11-22,120,242,1250,0.0
2021-11-23,121,649,1737,0.0
2021-11-24,120,682,1625,0.0
2021-11-25,119,626,1660,0.0
2021-11-26,116,764,1629,0.0
2021-11-27,108,642,1616,0.0
2021-11-28,108,642,1616,0.0
2021-11-29,102,831,1528,0.0
2021-11-30,96,766,1524,0.0
2021-12-01,102,831,1528,0.0
2021-12-02,96,766,1524,0.0
2021-12-03,86,782,1646,0.0
2021-12-04,88,777,1580,0.0
2021-12-05,86,788,1439,0.0
2021-12-06,86,409,1265,0.0
2021-12-07,93,949,1733,0.0
2021-12-08,95,794,1685,0.0
2021-12-09,94,852,1437,0.0
2021-12-10,98,795,1559,0.0
2021-12-11,109,743,1515,0.0
2021-12-12,113,641,1498,0.0
2021-12-13,119,312,1078,0.0
2021-12-14,125,673,1709,0.0
2021-12-15,128,851,1614,0.0
2021-12-16,135,525,1612,0.0
2021-12-17,145,660,1571,0.0
2021-12-18,153,719,1581,0.0
2021-12-19,157,702,1528,0.0
2021-12-20,163,334,1186,0.0
2021-12-21,173,801,1592,0.0
2021-12-22,184,895,1620,0.0
2021-12-23,204,779,1635,0.0
2021-12-24,207,737,1682,0.0
2021-12-25,248,658,1629,0.0
2021-12-26,279,425,1504,0.0
2021-12-27,310,344,1185,0.0
2021-12-28,397,856,1744,0.0
2021-12-29,502,846,1558,0.0
