date,recovery_rate,recovered_patients,recovery_in_last_24_hrs,home_isolation_cumulative,home_isolation_new,hospitalized_patients_cumulative,hospitalized_patients_new,samples_tested_cumulative,samples_tested_new,tests_per_million,total_cases_cunulative,total_cases_new,deaths_cumulative,deaths_new,active_cases,hospital_discharged
2020-09-15,78.76,20094,446.0,10297,434,6650,179,227810,1900,156189,25511,613,315,11,5102,
2020-09-16,78.21,20445,351.0,10573,276,6843,193,229876,2066,157606,26139,628,319,4,5375,
2020-09-17,77.82,20844,399.0,10929,356,7045,202,231801,1925,158926,26783,644,327,8,5612,
2020-09-18,77.84,21314,470.0,11169,240,7227,182,233674,1873,160210,27379,596,335,8,5730,
2020-09-19,77.65,21760,446.0,11732,563,7457,230,235787,2113,161659,28022,643,342,7,5920,
2020-09-20,78.43,22297,537.0,12007,275,7677,220,237198,1411,162626,28429,407,351,9,5781,
2020-09-21,79.03,22726,429.0,12492,485,7907,230,238343,1145,163411,28753,324,360,9,5667,
2020-09-22,79.96,23462,736.0,12782,290,8146,239,240206,1863,164688,29343,590,368,8,5513,
2020-09-23,79.84,23857,395.0,13184,402,8393,247,242078,1872,165972,29879,536,376,8,5646,
2020-09-24,79.69,24347,490.0,13611,427,8639,246,244189,2111,167419,30552,673,383,7,5822,
2020-09-25,80.68,25071,724.0,13936,325,8908,269,246170,1981,168777,31071,519,386,3,5614,
2020-09-26,81.58,25759,688.0,14288,352,9180,272,248153,1983,170137,31574,503,391,5,5424,
2020-09-27,82.79,26460,701.0,14591,303,9471,291,249581,1428,171116,31958,384,401,10,5097,
2020-09-28,83.56,27072,612.0,14927,336,9597,126,251033,1452,172111,32396,438,407,6,4917,
2020-09-29,84.76,27781,709.0,15239,312,9691,94,252783,1750,173311,32777,381,419,12,4577,
2020-09-30,84.16,28125,344.0,15652,413,9764,73,254801,2018,174695,33418,641,428,9,4865,
2020-10-01,84.04,28525,400.0,15955,303,9835,71,256897,2096,176132,33942,524,440,12,4977,
2020-10-02,84.18,29004,479.0,16192,237,9919,84,258285,1388,177084,34455,513,442,2,5009,
2020-10-05,85.26,30456,423.0,17049,308,10161,67,262241,1246,179796,35719,391,460,4,4803,
2020-10-06,85.65,31050,594.0,17354,305,10250,89,264139,1898,181097,36238,519,468,8,4720,
2020-10-07,85.74,31444,394.0,17676,322,10321,71,265959,1820,182345,36670,432,477,9,4749,
2020-10-08,85.98,31902,458.0,17980,304,10403,82,267362,1403,183307,37102,432,484,7,4716,
2020-10-09,85.97,32317,415.0,18201,221,10502,99,269205,1843,184570,37591,489,491,7,4783,
2020-10-10,86.4,32777,460.0,18434,233,10559,57,270616,1411,185538,37934,343,499,8,4658,
2020-10-11,86.54,33203,426.0,18608,174,10623,64,271962,1346,186461,38366,432,507,8,4656,
2020-10-12,87.13,33698,495.0,18870,262,10690,67,273404,1442,187449,38674,308,511,4,4465,
2020-10-13,87.64,34252,554.0,19093,223,10767,77,274974,1570,188526,39082,408,514,3,4316,
2020-10-14,88.06,34731,479.0,19361,268,10852,85,276457,1483,189543,39438,356,519,5,4188,
2020-10-15,88.41,35161,430.0,19534,173,10893,41,278039,1582,190627,39770,332,525,6,4084,
2020-10-16,88.82,35610,449.0,19756,222,10940,47,279295,1256,191488,40091,321,531,6,3950,
2020-10-19,90.59,36914,519.0,20195,164,11095,42,282691,742,193817,40746,159,549,5,3283,
2020-10-20,90.84,37275,361.0,20370,175,11151,56,284193,1502,194847,41031,285,555,6,3201,
2020-10-21,91.16,37683,408.0,20544,174,11196,45,285455,1262,195712,41339,308,557,2,3099,
2020-10-22,91.45,38031,348.0,20707,163,11249,53,286711,1256,196573,41586,247,564,7,2991,
2020-10-23,91.89,38421,390.0,20846,139,11297,48,287887,1176,197379,41813,227,568,4,2824,
2020-10-24,92.24,38769,348.0,20996,150,11339,42,289332,1445,198370,42031,218,570,2,2692,
2020-10-25,92.54,39090,321.0,21064,68,11379,40,290350,1018,199068,42242,211,576,6,2576,
2020-10-26,92.71,39433,343.0,21208,144,11418,39,291630,1280,199945,42532,290,582,6,2517,
2020-10-27,93.05,39778,345.0,21383,1175,11464,46,293591,1961,201290,42747,215,585,3,2384,
2020-10-28,93.03,39974,196.0,21498,115,11518,54,295392,1801,202525,42968,221,592,7,2402,
2020-10-29,92.97,40168,194.0,21581,83,11570,52,297075,1683,203679,43201,233,597,5,2436,
2020-10-30,93.07,40409,241.0,21761,180,11612,42,298792,1717,204856,43416,215,602,5,2405,
2020-10-31,93.24,40678,269.0,21879,118,11650,38,300548,1756,206060,43626,210,604,2,2344,
2020-11-01,93.48,40915,237.0,21936,57,11693,43,301440,892,206671,43768,142,609,5,2244,
2020-11-02,93.56,41123,208.0,22049,113,11728,35,302832,1392,207626,43954,186,616,7,2215,
2020-11-03,93.6,41362,239.0,22173,124,11767,39,304544,1712,208799,44189,235,618,2,2209,
2020-11-04,93.78,41611,249.0,22298,125,11800,33,306425,1881,210089,44372,183,626,8,2135,
2020-11-05,93.95,41849,238.0,22402,104,11832,32,308011,1586,211176,44544,172,630,4,2065,
2020-11-06,93.99,42056,207.0,22502,100,11871,39,309751,1740,212369,44747,203,633,3,2058,
2020-11-08,94.18,42446,207.0,22728,103,12513,42,312780,1766,214446,45065,149,643,2,1976,
2020-11-09,94.4,42678,232.0,22772,44,12544,31,314183,1403,215408,45209,144,647,4,1884,
2020-11-10,94.46,42877,199.0,22882,110,12573,29,315761,1578,216490,45389,180,651,4,1861,
2020-11-11,94.57,43029,152.0,22954,72,12608,35,317230,1469,217497,45498,109,656,5,1813,
2020-11-12,94.77,43221,192.0,23009,55,12640,32,318541,1311,218396,45605,107,656,0,1728,
2020-11-13,94.81,43388,167.0,23083,74,12676,36,320092,1551,219459,45761,156,658,2,1715,
2020-11-14,94.96,43533,145.0,23108,25,12703,27,321050,958,220116,45845,84,659,1,1653,
2020-11-15,95.1,43656,123.0,23141,33,12740,37,321769,719,220609,45903,58,662,3,1585,
2020-11-16,95.46,43941,285.0,23233,92,12761,21,322989,1220,221446,46028,125,663,1,1424,
2020-11-17,95.56,44132,191.0,23310,77,12803,42,324649,1660,222584,46182,154,667,4,1383,
2020-11-18,95.61,44310,178.0,23482,172,12839,36,326365,1716,223760,46344,162,670,3,1364,
2020-11-19,95.66,44467,157.0,23582,100,12880,41,327986,1621,224872,46480,136,670,0,1343,
2020-11-20,95.78,44665,198.0,23692,110,12928,48,329749,1763,226080,46632,152,672,2,1295,
2020-11-21,95.86,44812,147.0,23781,89,12976,48,331599,1850,227349,46748,116,675,3,1261,
2020-11-22,96.06,44979,167.0,23819,38,13007,31,332738,1139,228130,46826,78,677,2,1170,
2020-11-23,96.12,45083,104.0,23879,60,13034,27,334198,1460,229131,46901,75,677,0,1141,
2020-11-24,95.96,45168,85.0,23960,81,13070,36,336202,2004,230505,47068,167,679,2,1221,
2020-11-25,95.84,45229,61.0,24062,102,13110,40,338144,1942,231836,47193,125,683,4,1281,
2020-11-26,95.77,45340,111.0,24191,129,13156,46,340036,1892,233133,47341,148,685,2,1316,
2020-11-27,95.79,45492,152.0,24312,121,13186,30,342681,2645,234947,47491,150,686,1,1313,
2020-11-28,95.73,45655,163.0,24421,109,13234,48,345201,2520,236674,47689,198,686,0,1348,
2020-11-29,95.78,45790,135.0,24455,34,13278,44,347199,1998,238044,47804,115,687,1,1327,
2020-11-30,95.78,45940,150.0,24604,149,13329,51,348871,1672,239191,47963,159,688,1,1335,
2020-12-01,95.73,46068,128.0,24730,126,13372,43,350919,2048,240595,48124,161,690,2,1366,
2020-12-02,95.63,46132,64.0,24826,96,13412,40,352922,2003,241968,48241,117,693,3,1416,
2020-12-03,95.63,46251,119.0,24876,50,13450,38,354812,1890,243264,48365,124,696,3,1418,
2020-12-04,95.7,46375,124.0,24969,93,13483,33,356109,1297,244153,48459,94,696,0,1388,
2020-12-05,95.72,46493,118.0,25051,82,13526,43,358202,2093,245588,48574,115,697,1,1384,
2020-12-06,95.76,46624,131.0,25093,42,13562,36,359345,1143,246372,48686,112,698,1,1364,
2020-12-07,95.9,46778,154.0,25195,102,13603,41,360920,1575,247452,48776,90,701,3,1297,
2020-12-08,95.89,46924,146.0,25323,128,13634,31,363062,2142,248920,48935,159,701,0,1310,
2020-12-09,95.96,47056,132.0,25413,90,13671,37,364672,1610,250024,49036,101,703,2,1277,
2020-12-10,96.1,47215,159.0,25491,78,13717,46,366174,1502,251054,49131,95,703,0,1213,
2020-12-11,96.16,47345,130.0,25587,96,13768,51,367818,1644,252181,49235,104,703,0,1187,
2020-12-12,96.31,47489,144.0,25610,23,13808,40,369887,2069,253599,49305,70,705,2,1111,
2020-12-13,96.41,47590,101.0,25617,7,13828,20,370690,803,254150,49362,57,706,1,1066,
2020-12-14,96.48,47737,147.0,25729,112,13854,26,372211,1521,255193,49474,112,707,1,1030,
2020-12-15,96.56,47861,124.0,25799,70,13899,45,373920,1709,256365,49566,92,710,3,995,
2020-12-16,96.59,47965,104.0,25865,66,13926,27,375678,1758,257570,49657,91,713,3,979,
2020-12-17,96.6,48054,89.0,25917,52,13955,29,377343,1665,258711,49745,88,716,3,975,
2020-12-18,96.63,48170,116.0,26044,127,13985,30,378817,1474,259722,49849,104,718,2,961,
2020-12-19,96.61,48280,110.0,26069,25,14014,29,380426,1609,260825,49976,127,718,0,978,
2020-12-20,96.62,48371,91.0,26087,18,14051,37,381392,966,261487,50064,88,721,3,972,
2020-12-21,96.68,48479,108.0,26184,97,14080,29,382852,1460,262488,50143,79,723,2,941,
2020-12-22,96.67,48567,88.0,26275,91,14122,42,384740,1888,263783,50239,96,725,2,947,
2020-12-23,96.57,48637,70.0,26341,66,14147,25,386533,1793,265012,50364,125,727,2,1000,
2020-12-24,96.57,48725,88.0,26403,62,14166,19,388210,1677,266162,50454,90,728,1,1001,
2020-12-25,96.62,48826,101.0,26430,27,14191,25,389879,1669,267306,50534,80,728,0,980,
2020-12-26,96.67,48913,87.0,26478,48,14216,25,391084,1205,268132,50595,61,731,3,951,
2020-12-27,96.69,48992,79.0,26493,15,14256,40,392413,1329,269044,50667,72,731,0,944,
2020-12-28,96.67,49083,91.0,26551,58,14292,36,393587,1174,269849,50772,105,734,3,955,
2020-12-29,96.69,49199,116.0,26618,67,14316,24,395425,1838,271109,50884,112,735,1,950,
2020-12-30,96.72,49313,114.0,26688,70,14353,37,397386,1961,272453,50981,97,737,2,931,
2020-12-31,96.71,49388,75.0,26738,50,14383,30,399206,1820,273701,51066,85,739,2,939,
2021-01-01,96.74,49466,78.0,26784,46,14411,28,400669,1463,274705,51135,69,739,0,930,
2021-01-02,96.76,49570,104.0,26847,63,14440,29,402289,1620,275815,51230,95,739,0,921,
2021-01-03,96.8,49653,83.0,26880,33,14469,29,403611,1322,276722,51295,65,741,2,901,
2021-01-04,96.89,49741,88.0,26927,47,14500,31,404788,1177,277529,51335,40,743,2,851,
2021-01-05,96.88,49811,70.0,26988,61,14524,24,406810,2022,278915,51415,80,744,1,860,
2021-01-06,96.87,49893,82.0,27046,58,14548,24,408710,1900,280218,51507,92,744,0,870,
2021-01-07,96.82,49983,90.0,27093,47,14576,28,410575,1865,281496,51626,119,744,0,899,
2021-01-08,96.86,50088,105.0,27166,73,14589,13,412662,2087,282927,51709,83,744,0,877,
2021-01-09,96.88,50177,89.0,27239,73,14625,36,414869,2207,284440,51790,81,746,2,867,
2021-01-10,96.95,50277,100.0,27245,6,14614,25,416392,1523,285484,51856,66,747,1,832,
2021-01-11,97.02,50343,66.0,27331,86,14637,23,417573,1181,286294,51891,35,749,2,799,
2021-01-12,97.03,50437,94.0,27388,57,14664,27,419548,1975,287648,51983,92,749,0,797,
2021-01-13,97.0,50515,78.0,27456,68,14683,19,421490,1942,288980,52079,96,750,1,814,
2021-01-14,96.93,50582,67.0,27512,56,14712,29,423328,1838,290240,52182,103,752,2,848,
2021-01-15,96.9,50643,61.0,27564,52,14737,25,425033,1705,291409,52262,80,753,1,866,
2021-01-16,96.88,50712,69.0,27657,93,14773,36,426703,1670,292554,52345,83,756,3,877,
2021-01-17,96.88,50771,59.0,27680,23,14807,34,427935,1232,293398,52405,60,756,0,878,
2021-01-18,96.91,50837,66.0,27731,51,14831,24,429020,1085,294142,52458,53,756,0,865,
2021-01-19,96.92,50952,115.0,27779,48,14865,34,431275,2255,295688,52570,112,756,0,862,
2021-01-20,96.92,51036,84.0,27837,58,14890,25,433077,1802,296924,52657,87,756,0,865,
2021-01-21,96.92,51090,54.0,27914,77,14912,22,434825,1748,298122,52712,55,757,1,865,
2021-01-22,96.95,51170,80.0,27950,36,14928,16,436519,1694,299284,52782,70,758,1,854,
2021-01-23,96.9,51233,63.0,27987,37,14953,25,438454,1935,300610,52867,85,761,3,873,
2021-01-24,97.0,51335,102.0,27994,7,14980,27,439616,1162,301407,52920,53,761,0,824,
2021-01-25,97.11,51448,113.0,28035,41,15010,30,441012,1396,302364,52977,57,762,1,767,
2021-01-26,97.09,51510,62.0,28077,42,15031,21,442488,1476,303376,53047,70,763,1,774,
2021-01-27,97.17,51600,90.0,28141,64,15064,33,443903,1415,304346,53100,53,763,0,737,
2021-01-28,97.11,51652,52.0,28174,33,15096,32,445778,1875,305631,53185,85,765,2,768,
2021-01-29,97.17,51755,103.0,28230,56,15121,25,447398,1620,306743,53263,78,766,1,742,
2021-01-30,97.14,51831,76.0,28298,68,15144,23,449280,1882,308033,53356,93,766,0,759,
2021-01-31,97.15,51891,60.0,28327,29,15164,20,450676,1396,308990,53409,53,768,2,750,
2021-02-01,97.21,51977,86.0,28373,46,15197,33,452039,1363,309925,53469,60,768,0,724,
2021-02-02,97.13,52039,62.0,28433,60,15220,23,454356,2317,311513,53575,106,768,0,768,
2021-02-03,97.14,52109,70.0,28481,48,15255,35,456130,1774,312729,53638,63,768,0,761,
2021-02-04,97.11,52165,56.0,28535,54,15291,36,458068,1938,314058,53717,79,770,2,782,
2021-02-05,97.16,52243,78.0,28613,78,15328,37,459485,1417,315030,53773,56,770,0,760,
2021-02-06,97.14,52299,56.0,28663,50,15355,27,460994,1509,316064,53838,65,770,0,769,
2021-02-07,97.15,52347,48.0,28673,10,15382,27,462011,1017,316761,53880,42,772,2,761,
2021-02-08,97.21,52432,85.0,28722,49,15411,29,463300,1289,317645,53937,57,772,0,733,
2021-02-09,97.28,52530,98.0,28765,43,15443,32,464805,1505,318677,53996,59,774,2,692,
2021-02-10,97.27,52594,64.0,28812,47,15482,39,466545,1740,319870,54068,72,776,2,698,
2021-02-11,97.3,52653,59.0,28837,25,15506,24,468179,1634,320990,54113,45,776,0,684,
2021-02-12,96.93,52780,127.0,28879,42,15540,34,469749,1570,322067,54152,39,777,1,595,
2021-02-13,97.49,52831,51.0,28933,54,15568,28,471165,1416,323038,54193,41,778,1,584,
2021-02-14,97.56,52910,79.0,28943,10,15589,21,472229,1064,323767,54235,42,779,1,546,
2021-02-15,97.59,52969,59.0,28975,32,15618,29,473449,1220,324604,54275,40,781,2,525,
2021-02-16,97.63,53035,66.0,29026,51,15643,25,475057,1608,325706,54323,48,784,3,504,
2021-02-17,97.62,53074,39.0,29063,37,15666,23,476682,1625,326820,54369,46,786,2,509,
2021-02-18,97.62,53125,51.0,29101,38,15691,25,478148,1466,327825,54421,52,786,0,510,
2021-02-19,97.64,53181,56.0,29132,31,15715,24,479780,1632,328944,54466,45,787,1,498,
2021-02-20,97.65,53243,62.0,29159,27,15735,20,481571,1791,330172,54523,57,787,0,493,
2021-02-21,97.66,53287,44.0,29179,20,15768,33,482622,1051,330892,54562,39,787,0,488,
2021-02-22,97.7,53340,53.0,29196,17,15791,23,483675,1053,331614,54591,29,787,0,464,
2021-02-23,97.68,53381,41.0,29227,31,15813,22,485451,1776,332832,54648,57,788,1,479,
2021-02-24,97.65,53416,35.0,29270,43,15852,39,487110,1659,333970,54700,52,789,1,495,
2021-02-25,97.59,53449,33.0,29294,24,15878,26,488742,1632,335089,54771,71,791,2,531,
2021-02-26,97.48,53490,41.0,29340,46,15905,27,490555,1813,336332,54871,100,794,3,587,
2021-02-27,97.47,53540,50.0,29400,60,15920,15,492143,1588,337420,54932,61,794,0,598,
2021-02-28,97.45,53585,45.0,29433,33,15936,16,493367,1224,338259,54986,54,795,1,606,
2021-03-01,97.49,53647,62.0,29444,11,15948,12,494535,1168,339060,55026,40,796,1,583,
2021-03-02,97.5,53695,48.0,29484,40,15966,18,496089,1554,340126,55073,47,796,0,582,
2021-03-03,97.45,53737,42.0,29512,28,15979,13,497806,1717,341303,55143,70,796,0,610,
2021-03-04,97.4,53775,38.0,29559,47,15986,7,499371,1565,342376,55212,69,798,2,639,
2021-03-05,97.33,53817,42.0,29590,31,15998,12,500978,1607,343478,55291,79,799,1,675,
2021-03-06,97.29,53862,45.0,29640,50,16013,15,502509,1531,344527,55361,70,799,0,700,
2021-03-07,97.31,53922,60.0,29678,38,16034,21,503674,1165,345326,55409,48,799,0,688,
2021-03-08,97.42,54032,110.0,29711,33,16049,15,504938,1264,346193,55463,54,799,0,632,
2021-03-09,97.36,54073,41.0,29754,43,16062,13,506507,1569,347269,55538,75,802,3,663,
2021-03-10,97.34,54130,57.0,29825,71,16075,13,507998,1491,348290,55607,69,802,0,675,
2021-03-11,97.29,54169,39.0,29855,30,16094,19,509776,1778,349509,55676,69,803,1,704,
2021-03-12,97.22,54209,40.0,29891,36,16106,12,511503,1727,350694,55758,82,804,1,745,
2021-03-13,97.18,54279,70.0,29943,52,16120,14,512999,1496,351720,55851,93,805,1,767,
2021-03-14,97.22,54362,83.0,29978,35,16133,13,514309,1310,352617,55917,66,806,1,749,
2021-03-15,97.17,54424,62.0,30018,40,16145,12,515663,1354,353546,56006,89,807,1,775,
2021-03-16,97.14,54497,73.0,30084,66,16156,11,517229,1566,354620,56100,94,811,4,792,
2021-03-17,97.12,54556,59.0,30127,43,16171,15,518847,1618,355729,56173,73,812,1,805,
2021-03-18,97.02,54597,41.0,30223,96,16184,13,520510,1663,356869,56271,98,813,1,861,
2021-03-19,96.96,54657,60.0,30265,42,16201,17,522458,1948,358205,56371,100,815,2,899,
2021-03-20,96.79,54713,56.0,30343,78,16211,10,524230,1772,359419,56525,154,815,0,997,
2021-03-21,96.76,54792,79.0,30453,110,16230,19,525665,1435,360403,56623,98,818,3,1013,
2021-03-22,96.76,54873,81.0,30526,73,16238,8,527106,1441,361392,56708,85,818,0,1017,
2021-03-23,96.63,54931,58.0,30588,62,16259,21,529007,1901,362695,56841,133,821,3,1089,
2021-03-24,96.53,55004,73.0,30629,41,16283,24,530780,1773,363911,56981,140,821,0,1156,
2021-03-25,96.32,55070,66.0,30699,70,16303,20,532970,2190,365412,57170,189,822,1,1278,
2021-03-26,96.33,55181,111.0,30770,71,16321,18,535093,2123,366868,57283,113,823,1,1279,
2021-03-27,96.17,55250,69.0,30847,77,16343,22,537572,2479,368567,57453,170,824,1,1379,
2021-03-28,96.13,55354,104.0,30895,48,16366,23,539339,1767,369778,57584,131,826,2,1404,
2021-03-29,96.09,55455,101.0,30950,55,16395,29,540796,1457,370778,57712,128,828,2,1429,
2021-03-30,96.11,55591,136.0,31109,159,16432,37,542300,1504,371808,57839,127,829,1,1419,
2021-03-31,95.89,55653,62.0,31312,203,16468,36,544652,2352,373422,58039,200,830,1,1556,
2021-04-01,95.63,55757,104.0,31370,58,16492,24,547263,2611,375211,58304,265,831,1,1716,
2021-04-02,95.31,55838,81.0,31518,148,16531,39,549292,2029,376602,58584,280,832,1,1914,
2021-04-03,95.21,55989,151.0,31620,102,16558,27,551354,2062,378016,58803,219,834,2,1980,
2021-04-04,95.07,56156,167.0,31728,108,16598,40,553411,2057,379426,59068,265,835,1,2077,
2021-04-05,94.91,56298,142.0,31866,138,16630,32,555457,2046,380829,59315,247,837,2,2180,
2021-04-06,94.46,56393,95.0,32041,175,16700,70,558266,2809,382755,59702,387,838,1,2471,
2021-04-07,93.86,56531,138.0,32332,291,16751,51,560905,2639,400850,60229,527,840,2,2858,
2021-04-08,93.14,56638,107.0,32618,286,16788,37,564111,3206,386763,60811,582,842,2,3331,
2021-04-09,92.74,56797,159.0,32888,270,16846,58,566872,2761,388655,61239,428,845,3,3597,
2021-04-10,92.21,56964,167.0,33125,237,16912,66,569832,2960,390685,61779,540,846,1,3969,
2021-04-11,91.7,57134,170.0,33341,216,16969,57,572337,2505,392402,62304,525,848,2,4322,
2021-04-12,91.38,57365,231.0,33587,246,17037,68,574617,2280,393966,62780,476,850,2,4565,
2021-04-13,90.94,57601,236.0,33894,307,17134,97,577121,2504,395683,63342,562,853,3,4888,
2021-04-14,90.64,57846,245.0,34295,401,17212,78,579357,2236,397215,63815,473,857,4,5112,
2021-04-15,89.87,58028,182.0,34662,367,17309,97,582068,2711,399074,64572,757,862,5,5682,
2021-04-16,89.02,58310,282.0,35019,357,17409,100,585257,3189,401261,65499,927,868,6,6321,
2021-04-17,88.65,58746,436.0,35453,434,17603,97,588751,3494,403656,66261,762,872,4,6643,
2021-04-18,88.19,59277,531.0,35854,401,17708,105,592007,3256,405888,67212,951,883,11,7052,
2021-04-19,87.61,59705,428.0,36257,403,17795,87,594733,2726,407758,68152,940,900,17,7547,
2021-04-20,86.77,60145,440.0,36854,597,17937,142,598330,3597,410224,69312,1160,926,26,8241,
2021-04-21,85.53,60571,426.0,37449,595,18095,158,602419,4089,413027,70814,1502,943,17,9300,
2021-04-22,84.5,61032,461.0,38100,651,18230,135,606325,3906,415705,72224,1410,964,21,10228,
2021-04-23,83.68,61628,596.0,38803,703,18376,146,609932,3607,418178,73644,1420,976,12,11040,
2021-04-24,82.61,62113,485.0,39369,566,18535,159,613865,3933,420875,75184,1540,993,17,12078,
