date,facility_name,patients_on_oxygen_support,patients_ventilator,total_patients
2020-07-15,pt bd sharma pgims rohtak,16,1,17
2020-07-15,"bpsgmc, khanpur kalan, sonepat",10,0,10
2020-07-15,"shkmgmc, nalhar",7,0,7
2020-07-15,"mamc, agroha, hisar",2,1,3
2020-07-15,"esic medical college and hospital, faridabad",17,4,21
2020-07-15,al-falah medical college faridabad,3,0,3
2020-07-15,"mm institute of medical sciences & research, mulana",3,0,3
2020-07-15,"world college of medical sciences, jhajjar",1,0,1
2020-07-15,mederor hospital   manesar gurugram,1,1,2
2020-07-15,medanta the medicity  gurugram,1,1,2
2020-07-15,artemis hospital gurugram,2,2,4
2020-07-15,kalyani hospital gurugram,1,1,2
2020-07-15,total,64,11,75
2020-07-16,pt bd sharma pgims rohtak,16,4,20
2020-07-16,"bpsgmc, khanpur kalan, sonepat",10,2,12
2020-07-16,"shkmgmc, nalhar",4,0,4
2020-07-16,"mamc, agroha, hisar",3,1,4
2020-07-16,"esic medical college and hospital, faridabad",17,8,25
2020-07-16,al-falah medical college faridabad,3,0,3
2020-07-16,"mm institute of medical sciences & research, mulana",5,0,5
2020-07-16,"world college of medical sciences, jhajjar",1,0,1
2020-07-16,mederor hospital   manesar gurugram,1,1,2
2020-07-16,medanta the medicity  gurugram,1,1,2
2020-07-16,artemis hospital gurugram,2,2,4
2020-07-16,kalyani hospital gurugram,1,1,2
2020-07-16,total,64,20,84
2020-07-17,pt bd sharma pgims rohtak,15,3,18
2020-07-17,"bpsgmc, khanpur kalan, sonepat",8,1,9
2020-07-17,"shkmgmc, nalhar",3,0,3
2020-07-17,"mamc, agroha, hisar",4,0,4
2020-07-17,"esic medical college and hospital, faridabad",17,8,25
2020-07-17,al-falah medical college faridabad,2,0,2
2020-07-17,"mm institute of medical sciences & research, mulana",4,0,4
2020-07-17,"world college of medical sciences, jhajjar",1,0,1
2020-07-17,mederor hospital   manesar gurugram,1,1,2
2020-07-17,medanta the medicity  gurugram,1,1,2
2020-07-17,artemis hospital gurugram,2,2,4
2020-07-17,kalyani hospital gurugram,1,1,2
2020-07-17,total,59,17,76
2020-07-18,pt bd sharma pgims rohtak,17,2,19
2020-07-18,"bpsgmc, khanpur kalan, sonepat",10,0,10
2020-07-18,"shkmgmc, nalhar",3,0,3
2020-07-18,"mamc, agroha, hisar",4,0,4
2020-07-18,"esic medical college and hospital, faridabad",15,6,21
2020-07-18,al-falah medical college faridabad,2,0,2
2020-07-18,"mm institute of medical sciences & research, mulana",4,0,4
2020-07-18,"world college of medical sciences, jhajjar",1,0,1
2020-07-18,mederor hospital   manesar gurugram,1,1,2
2020-07-18,medanta the medicity  gurugram,1,1,2
2020-07-18,artemis hospital gurugram,2,2,4
2020-07-18,kalyani hospital gurugram,1,1,2
2020-07-18,total,61,13,74
2020-07-19,pt bd sharma pgims rohtak,9,6,15
2020-07-19,"bpsgmc, khanpur kalan, sonepat",9,0,9
2020-07-19,"shkmgmc, nalhar",3,0,3
2020-07-19,"mamc, agroha, hisar",5,0,5
2020-07-19,"esic medical college and hospital, faridabad",14,8,22
2020-07-19,al-falah medical college faridabad,2,0,2
2020-07-19,"mm institute of medical sciences & research, mulana",5,0,5
2020-07-19,"world college of medical sciences, jhajjar",2,0,2
2020-07-19,mederor hospital   manesar gurugram,1,1,2
2020-07-19,medanta the medicity  gurugram,1,1,2
2020-07-19,artemis hospital gurugram,2,2,4
2020-07-19,kalyani hospital gurugram,1,1,2
2020-07-19,"qrg central, faridabad",6,6,12
2020-07-19,"3 qrg medicare, faridabad",4,0,4
2020-07-19,"sarvodaya sec19, faridabad",0,2,2
2020-07-19,"5 park hospital, faridabad",0,4,4
2020-07-19,"asian hospital, faridabad",0,11,11
2020-07-19,total,64,42,106
2020-07-20,pt bd sharma pgims rohtak,14,0,14
2020-07-20,"bpsgmc, khanpur kalan, sonepat",8,0,8
2020-07-20,"shkmgmc, nalhar",1,0,1
2020-07-20,"kcgmc, karnal",1,0,1
2020-07-20,"mamc, agroha, hisar",8,0,8
2020-07-20,"esic medical college and hospital, faridabad",13,8,21
2020-07-20,al-falah medical college faridabad,2,0,2
2020-07-20,"mm institute of medical sciences & research, mulana",3,5,8
2020-07-20,"world college of medical sciences, jhajjar",2,0,2
2020-07-20,mederor hospital   manesar gurugram,1,1,2
2020-07-20,medanta the medicity  gurugram,1,1,2
2020-07-20,artemis hospital gurugram,2,2,4
2020-07-20,kalyani hospital gurugram,1,1,2
2020-07-20,"metro hospital, faridabad",13,3,16
2020-07-20,"qrg central, faridabad",5,4,9
2020-07-20,"qrg medicare, faridabad",13,1,14
2020-07-20,"sarvoday sec 8, faridabad",30,4,34
2020-07-20,"park hospital, faridabad",1,0,1
2020-07-20,"escorts fortis, faridabad",6,0,6
2020-07-20,"asian hospital, faridabad",8,2,10
2020-07-20,total,133,32,165
2020-07-21,pt bd sharma pgims rohtak,14,2,16
2020-07-21,"bpsgmc, khanpur kalan, sonepat",7,1,8
2020-07-21,"shkmgmc, nalhar",2,0,2
2020-07-21,"kcgmc, karnal",1,0,1
2020-07-21,"mamc, agroha, hisar",4,0,4
2020-07-21,"esic medical college and hospital, faridabad",10,8,18
2020-07-21,al-falah medical college faridabad,2,0,2
2020-07-21,"mm institute of medical sciences & research, mulana",3,5,8
2020-07-21,"world college of medical sciences, jhajjar",1,0,1
2020-07-21,mederor hospital   manesar gurugram,1,1,2
2020-07-21,medanta the medicity  gurugram,1,1,2
2020-07-21,artemis hospital gurugram,2,2,4
2020-07-21,kalyani hospital gurugram,1,1,2
2020-07-21,"metro hospital, faridabad",23,3,26
2020-07-21,"qrg central, faridabad",15,7,22
2020-07-21,"qrg medicare, faridabad",13,2,15
2020-07-21,"sarvoday sec 8, faridabad",42,4,46
2020-07-21,"park hospital, faridabad",2,0,2
2020-07-21,"escorts fortis, faridabad",5,0,5
2020-07-21,"asian hospital, faridabad",6,1,7
2020-07-21,total,155,38,193
2020-07-22,pt bd sharma pgims rohtak,17,2,19
2020-07-22,"bpsgmc, khanpur kalan, sonepat",6,2,8
2020-07-22,"shkmgmc, nalhar",2,0,2
2020-07-22,"kcgmc, karnal",4,0,4
2020-07-22,"mamc, agroha, hisar",3,0,3
2020-07-22,"esic medical college and hospital, faridabad",17,4,21
2020-07-22,al-falah medical college faridabad,0,0,0
2020-07-22,"mm institute of medical sciences & research, mulana",5,4,9
2020-07-22,"world college of medical sciences, jhajjar",1,0,1
2020-07-22,mederor hospital   manesar gurugram,1,1,2
2020-07-22,medanta the medicity  gurugram,1,1,2
2020-07-22,artemis hospital gurugram,2,2,4
2020-07-22,kalyani hospital gurugram,1,1,2
2020-07-22,"metro hospital, faridabad",20,4,24
2020-07-22,"qrg central, faridabad",13,7,20
2020-07-22,"qrg medicare, faridabad",11,3,14
2020-07-22,"sarvoday sec 8, faridabad",42,3,45
2020-07-22,"park hospital, faridabad",1,0,1
2020-07-22,"escorts fortis, faridabad",3,0,3
2020-07-22,"asian hospital, faridabad",5,1,6
2020-07-22,total,155,35,190
2020-07-23,pt bd sharma pgims rohtak,18,2,20
2020-07-23,"bpsgmc, khanpur kalan, sonepat",6,2,8
2020-07-23,"shkmgmc, nalhar",2,0,2
2020-07-23,"kcgmc, karnal",1,0,1
2020-07-23,"mamc, agroha, hisar",3,0,3
2020-07-23,"esic medical college and hospital, faridabad",17,5,22
2020-07-23,al-falah medical college faridabad,1,0,1
2020-07-23,"mm institute of medical sciences & research, mulana",4,3,7
2020-07-23,"world college of medical sciences, jhajjar",1,0,1
2020-07-23,mederor hospital   manesar gurugram,1,1,2
2020-07-23,medanta the medicity  gurugram,1,1,2
2020-07-23,artemis hospital gurugram,2,2,4
2020-07-23,kalyani hospital gurugram,1,1,2
2020-07-23,"metro hospital, faridabad",14,4,18
2020-07-23,"qrg medicare, faridabad",10,2,12
2020-07-23,"sarvoday sec 8, faridabad",31,2,33
2020-07-23,"park hospital, faridabad",1,0,1
2020-07-23,"escorts fortis, faridabad",4,1,5
2020-07-23,"asian hospital, faridabad",5,0,5
2020-07-23,total,123,26,149
2020-07-24,pt bd sharma pgims rohtak,12,5,17
2020-07-24,"bpsgmc, khanpur kalan, sonepat",8,1,9
2020-07-24,"shkmgmc, nalhar",3,0,3
2020-07-24,"kcgmc, karnal",1,0,1
2020-07-24,"mamc, agroha, hisar",3,0,3
2020-07-24,"esic medical college and hospital, faridabad",19,6,25
2020-07-24,al-falah medical college faridabad,1,0,1
2020-07-24,"mm institute of medical sciences & research, mulana",6,2,8
2020-07-24,"world college of medical sciences, jhajjar",2,0,2
2020-07-24,mederor hospital   manesar gurugram,1,1,2
2020-07-24,medanta the medicity  gurugram,1,1,2
2020-07-24,artemis hospital gurugram,2,2,4
2020-07-24,kalyani hospital gurugram,1,1,2
2020-07-24,"metro hospital, faridabad",16,5,21
2020-07-24,"qrg central, faridabad",10,7,17
2020-07-24,"qrg medicare, faridabad",11,1,12
2020-07-24,"sarvoday sec 8, faridabad",31,2,33
2020-07-24,"park hospital, faridabad",1,0,1
2020-07-24,"escorts fortis, faridabad",4,1,5
2020-07-24,"asian hospital, faridabad",6,0,6
2020-07-24,total,139,35,174
2020-07-26,pt bd sharma pgims rohtak,17,1,18
2020-07-26,"bpsgmc, khanpur kalan, sonepat",7,2,9
2020-07-26,"shkmgmc, nalhar",2,0,2
2020-07-26,"kcgmc, karnal",1,0,1
2020-07-26,"mamc, agroha, hisar",5,0,5
2020-07-26,"esic medical college and hospital, faridabad",15,7,22
2020-07-26,al-falah medical college faridabad,3,0,3
2020-07-26,"mm institute of medical sciences & research, mulana",8,3,11
2020-07-26,"world college of medical sciences, jhajjar",2,0,2
2020-07-26,mederor hospital   manesar gurugram,1,1,2
2020-07-26,medanta the medicity  gurugram,1,1,2
2020-07-26,artemis hospital gurugram,2,2,4
2020-07-26,kalyani hospital gurugram,1,1,2
2020-07-26,metro hospital gurugram,1,1,2
2020-07-26,"metro hospital, faridabad",15,2,17
2020-07-26,"qrg central, faridabad",5,1,6
2020-07-26,"sarvoday sec 8, faridabad",2,0,2
2020-07-26,"park hospital, faridabad",1,0,1
2020-07-26,"asian hospital, faridabad",5,0,5
2020-07-26,total,94,22,116
2020-07-27,pt bd sharma pgims rohtak,14,1,15
2020-07-27,"bpsgmc, khanpur kalan, sonepat",6,2,8
2020-07-27,"shkmgmc, nalhar",1,0,1
2020-07-27,"kcgmc, karnal",1,0,1
2020-07-27,"mamc, agroha, hisar",3,0,3
2020-07-27,"esic medical college and hospital, faridabad",15,7,22
2020-07-27,al-falah medical college faridabad,3,0,3
2020-07-27,"mm institute of medical sciences & research, mulana",8,4,12
2020-07-27,"world college of medical sciences, jhajjar",2,0,2
2020-07-27,mederor hospital   manesar gurugram,1,1,2
2020-07-27,medanta the medicity  gurugram,1,1,2
2020-07-27,artemis hospital gurugram,2,2,4
2020-07-27,kalyani hospital gurugram,1,1,2
2020-07-27,"metro hospital gurugram  , faridabad",1,1,2
2020-07-27,"metro hospital, faridabad",16,2,18
2020-07-27,"qrg central, faridabad",11,0,11
2020-07-27,"qrg medicare, faridabad",6,1,7
2020-07-27,"sarvoday sec 8, faridabad",31,0,31
2020-07-27,"park hospital, faridabad",3,1,4
2020-07-27,"escorts fortis, faridabad",4,0,4
2020-07-27,"asian hospital, faridabad",2,0,2
2020-07-27,total,132,24,156
2020-07-28,pt bd sharma pgims rohtak,10,0,10
2020-07-28,"bpsgmc, khanpur kalan, sonepat",8,1,9
2020-07-28,"kcgmc, karnal",3,0,3
2020-07-28,"mamc, agroha, hisar",3,0,3
2020-07-28,"esic medical college and hospital, faridabad",16,2,18
2020-07-28,al-falah medical college faridabad,2,0,2
2020-07-28,"mm institute of medical sciences & research, mulana",9,3,12
2020-07-28,"world college of medical sciences, jhajjar",2,0,2
2020-07-28,mederor hospital   manesar gurugram,1,1,2
2020-07-28,medanta the medicity  gurugram,1,1,2
2020-07-28,artemis hospital gurugram,2,2,4
2020-07-28,kalyani hospital gurugram,1,1,2
2020-07-28,metro hospital gurugram,1,1,2
2020-07-28,"metro hospital, faridabad",12,1,13
2020-07-28,"qrg central, faridabad",12,0,12
2020-07-28,"qrg medicare, faridabad",7,1,8
2020-07-28,"sarvoday sec 8, faridabad",33,1,34
2020-07-28,"park hospital, faridabad",3,0,3
2020-07-28,"escorts fortis, faridabad",3,0,3
2020-07-28,total,129,15,144
2020-07-29,pt bd sharma pgims rohtak,8,1,9
2020-07-29,"bpsgmc, khanpur kalan, sonepat",7,1,8
2020-07-29,"kcgmc, karnal",4,0,4
2020-07-29,"mamc, agroha, hisar",4,0,4
2020-07-29,"esic medical college and hospital, faridabad",13,4,17
2020-07-29,al-falah medical college faridabad,1,0,1
2020-07-29,"mm institute of medical sciences & research, mulana",10,4,14
2020-07-29,"world college of medical sciences, jhajjar",1,0,1
2020-07-29,mederor hospital   manesar gurugram,1,1,2
2020-07-29,medanta the medicity  gurugram,1,1,2
2020-07-29,artemis hospital gurugram,2,2,4
2020-07-29,kalyani hospital gurugram,1,1,2
2020-07-29,metro hospital gurugram,1,1,2
2020-07-29,"metro hospital, faridabad",11,0,11
2020-07-29,"qrg central, faridabad",12,0,12
2020-07-29,"qrg medicare, faridabad",7,1,8
2020-07-29,"sarvoday sec 8, faridabad",35,1,36
2020-07-29,"park hospital, faridabad",2,0,2
2020-07-29,"escorts fortis, faridabad",2,0,2
2020-07-29,"asian hospital, faridabad",6,0,6
2020-07-29,total,129,18,147
2020-07-30,pt bd sharma pgims rohtak,7,0,7
2020-07-30,"bpsgmc, khanpur kalan, sonepat",8,1,9
2020-07-30,"shkmgmc, nalhar",1,0,1
2020-07-30,"kcgmc, karnal",4,0,4
2020-07-30,"mamc, agroha, hisar",7,0,7
2020-07-30,"esic medical college and hospital, faridabad",15,4,19
2020-07-30,al-falah medical college faridabad,1,0,1
2020-07-30,"mm institute of medical sciences & research, mulana",13,2,15
2020-07-30,"world college of medical sciences, jhajjar",1,0,1
2020-07-30,mederor hospital   manesar gurugram,1,1,2
2020-07-30,medanta the medicity  gurugram,1,1,2
2020-07-30,artemis hospital gurugram,2,2,4
2020-07-30,kalyani hospital gurugram,1,1,2
2020-07-30,metro hospital gurugram,1,1,2
2020-07-30,"metro hospital, faridabad",11,0,11
2020-07-30,"qrg central, faridabad",8,0,8
2020-07-30,"qrg medicare, faridabad",7,1,8
2020-07-30,"sarvoday sec 8, faridabad",19,0,19
2020-07-30,"park hospital, faridabad",3,0,3
2020-07-30,"escorts fortis, faridabad",2,0,2
2020-07-30,"asian hospital, faridabad",4,0,4
2020-07-30,total,117,14,131
2020-07-31,pt bd sharma pgims rohtak,7,1,8
2020-07-31,"bpsgmc, khanpur kalan, sonepat",8,1,9
2020-07-31,"kcgmc, karnal",2,0,2
2020-07-31,"mamc, agroha, hisar",7,0,7
2020-07-31,"esic medical college and hospital, faridabad",13,5,18
2020-07-31,al-falah medical college faridabad,2,0,2
2020-07-31,"mm institute of medical sciences & research, mulana",12,1,13
2020-07-31,"world college of medical sciences, jhajjar",1,0,1
2020-07-31,mederor hospital   manesar gurugram,1,1,2
2020-07-31,medanta the medicity  gurugram,1,1,2
2020-07-31,artemis hospital gurugram,2,2,4
2020-07-31,kalyani hospital gurugram,1,1,2
2020-07-31,metro hospital gurugram,1,1,2
2020-07-31,"metro hospital, faridabad",12,0,12
2020-07-31,"qrg central, faridabad",6,0,6
2020-07-31,"qrg medicare, faridabad",7,1,8
2020-07-31,"sarvoday sec 8, faridabad",21,0,21
2020-07-31,"park hospital, faridabad",4,0,4
2020-07-31,"escorts fortis, faridabad",4,0,4
2020-07-31,"asian hospital, faridabad",4,2,6
2020-07-31,total,116,17,133
2020-08-01,pt bd sharma pgims rohtak,8,1,9
2020-08-01,"bpsgmc, khanpur kalan, sonepat",11,1,12
2020-08-01,"kcgmc, karnal",2,0,2
2020-08-01,"mamc, agroha, hisar",7,0,7
2020-08-01,"esic medical college and hospital, faridabad",16,4,20
2020-08-01,al-falah medical college faridabad,2,0,2
2020-08-01,"mm institute of medical sciences & research, mulana",10,3,13
2020-08-01,"world college of medical sciences, jhajjar",1,0,1
2020-08-01,signature hospital gurugram,2,2,4
2020-08-01,medanta the medicity  gurugram,1,1,2
2020-08-01,"metro hospital, faridabad",8,0,8
2020-08-01,"qrg central, faridabad",3,0,3
2020-08-01,"qrg medicare, faridabad",8,1,9
2020-08-01,"sarvoday sec 8, faridabad",16,1,17
2020-08-01,"park hospital, faridabad",4,0,4
2020-08-01,"escorts fortis, faridabad",5,0,5
2020-08-01,"asian hospital, faridabad",7,2,9
2020-08-01,total,111,16,127
2020-08-02,pt bd sharma pgims rohtak,7,1,8
2020-08-02,"bpsgmc, khanpur kalan, sonepat",8,0,8
2020-08-02,"kcgmc, karnal",4,0,4
2020-08-02,"mamc, agroha, hisar",7,0,7
2020-08-02,"esic medical college and hospital, faridabad",18,5,23
2020-08-02,al-falah medical college faridabad,2,0,2
2020-08-02,"mm institute of medical sciences & research, mulana",10,6,16
2020-08-02,signature hospital gurugram,2,2,4
2020-08-02,medanta the medicity  gurugram,1,1,2
2020-08-02,"metro hospital, faridabad",10,0,10
2020-08-02,"qrg central, faridabad",3,0,3
2020-08-02,"qrg medicare, faridabad",7,1,8
2020-08-02,"sarvoday sec 8, faridabad",18,1,19
2020-08-02,"park hospital, faridabad",2,1,3
2020-08-02,"escorts fortis, faridabad",5,0,5
2020-08-02,"asian hospital, faridabad",0,2,2
2020-08-02,total,104,20,124
2020-08-03,"pt bd sharma pgims, rohtak",11,2,13
2020-08-03,"bpsgmc, khanpur kalan, sonepat",7,0,7
2020-08-03,"kcgmc, karnal",4,0,4
2020-08-03,"mamc, agroha, hisar",2,0,2
2020-08-03,"esic medical college and hospital, faridabad",20,4,24
2020-08-03,"al-falah medical college, faridabad",2,0,2
2020-08-03,"mm institute of medical sciences & research, mulana",12,6,18
2020-08-03,"signature hospital, gurugram",2,2,4
2020-08-03,"medanta hospital,  gurugram",1,1,2
2020-08-03,"metro hospital, faridabad",8,0,8
2020-08-03,"qrg central, faridabad",2,0,2
2020-08-03,"qrg medicare, faridabad",8,1,9
2020-08-03,"sarvoday, faridabad",17,1,18
2020-08-03,"park hospital, faridabad",3,1,4
2020-08-03,"escorts fortis, faridabad",5,0,5
2020-08-03,"asian hospital, faridabad",6,2,8
2020-08-03,total,110,20,130
2020-08-04,"pt bd sharma pgims, rohtak",9,3,12
2020-08-04,"bpsgmc, khanpur kalan, sonepat",10,1,11
2020-08-04,"kcgmc, karnal",5,2,7
2020-08-04,"mamc, agroha, hisar",3,0,3
2020-08-04,"esic medical college and hospital, faridabad",22,3,25
2020-08-04,"al-falah medical college, faridabad",1,0,1
2020-08-04,"mm institute of medical sciences & research, mulana",10,5,15
2020-08-04,"signature hospital, gurugram",2,2,4
2020-08-04,"medanta hospital,  gurugram",1,1,2
2020-08-04,"metro hospital, faridabad",20,0,20
2020-08-04,"qrg central, faridabad",3,0,3
2020-08-04,"qrg medicare, faridabad",7,0,7
2020-08-04,"sarvoday, faridabad",15,2,17
2020-08-04,"park hospital, faridabad",1,0,1
2020-08-04,"escorts fortis, faridabad",4,1,5
2020-08-04,"asian hospital, faridabad",5,3,8
2020-08-04,total,118,23,141
2020-08-05,"pt bd sharma pgims, rohtak",8,3,11
2020-08-05,"bpsgmc, khanpur kalan, sonepat",9,3,12
2020-08-05,"kcgmc, karnal",4,2,6
2020-08-05,"mamc, agroha, hisar",2,0,2
2020-08-05,"esic medical college and hospital, faridabad",23,2,25
2020-08-05,"al-falah medical college, faridabad",1,0,1
2020-08-05,"mm institute of medical sciences & research, mulana",10,5,15
2020-08-05,"signature hospital, gurugram",2,2,4
2020-08-05,"medanta hospital,  gurugram",1,1,2
2020-08-05,"metro hospital, faridabad",19,1,20
2020-08-05,"qrg central, faridabad",3,0,3
2020-08-05,"qrg medicare, faridabad",8,1,9
2020-08-05,"sarvoday hospital, faridabad",15,2,17
2020-08-05,"park hospital, faridabad",1,0,1
2020-08-05,"escorts fortis, faridabad",4,0,4
2020-08-05,"asian hospital, faridabad",5,3,8
2020-08-05,total,115,25,140
2020-08-06,"pt bd sharma pgims, rohtak",9,2,11
2020-08-06,"bpsgmc, khanpur kalan, sonepat",8,0,8
2020-08-06,"kcgmc, karnal",3,1,4
2020-08-06,"mamc, agroha, hisar",8,0,8
2020-08-06,"sgt medical college and hospital, budhera, gurugram",1,0,1
2020-08-06,"esic medical college and hospital, faridabad",20,4,24
2020-08-06,"al-falah medical college, faridabad",1,0,1
2020-08-06,"mm institute of medical sciences & research, mulana",4,0,4
2020-08-06,"artemis hospital, gurugram",1,1,2
2020-08-06,"narayana hospital, gurugram",1,1,2
2020-08-06,"metro hospital, faridabad",16,1,17
2020-08-06,"qrg central, faridabad",3,0,3
2020-08-06,"qrg medicare, faridabad",6,0,6
2020-08-06,"sarvoday hospital, faridabad",16,1,17
2020-08-06,"park hospital, faridabad",1,0,1
2020-08-06,"escorts fortis, faridabad",5,0,5
2020-08-06,"asian hospital, faridabad",10,3,13
2020-08-06,total,113,14,127
2020-08-07,"pt bd sharma pgims, rohtak",8,2,10
2020-08-07,"adesh medial college & hospital, mohri kurukshetra",2,0,2
2020-08-07,"bpsgmc, khanpur kalan, sonepat",12,2,14
2020-08-07,"shkm govt. medical college nalhar, nuh",1,0,1
2020-08-07,"kcgmc, karnal",3,1,4
2020-08-07,"mamc, agroha, hisar",5,0,5
2020-08-07,"sgt medical college and hospital, budhera, gurugram",1,0,1
2020-08-07,"esic medical college and hospital, faridabad",21,4,25
2020-08-07,"mm institute of medical sciences & research, mulana",4,0,4
2020-08-07,world college of medical sciences & research jhajjar,2,0,2
2020-08-07,"artemis hospital, gurugram",1,1,2
2020-08-07,"narayana hospital, gurugram",1,1,2
2020-08-07,"metro hospital, faridabad",13,1,14
2020-08-07,"qrg central, faridabad",3,0,3
2020-08-07,"qrg medicare, faridabad",7,0,7
2020-08-07,"sarvoday hospital, faridabad",12,1,13
2020-08-07,"park hospital, faridabad",2,0,2
2020-08-07,"escorts fortis, faridabad",7,0,7
2020-08-07,"asian hospital, faridabad",5,3,8
2020-08-07,total,110,16,126
2020-08-08,"pt bd sharma pgims, rohtak",8,2,10
2020-08-08,"adesh medial college & hospital, mohri kurukshetra",2,0,2
2020-08-08,"bpsgmc, khanpur kalan, sonepat",10,1,11
2020-08-08,"shkm govt. medical college nalhar, nuh",2,0,2
2020-08-08,"kcgmc, karnal",3,1,4
2020-08-08,"mamc, agroha, hisar",6,0,6
2020-08-08,"sgt medical college and hospital, budhera, gurugram",1,0,1
2020-08-08,"esic medical college and hospital, faridabad",19,6,25
2020-08-08,"mm institute of medical sciences & research, mulana",1,3,4
2020-08-08,world college of medical sciences & research jhajjar,2,0,2
2020-08-08,"artemis hospital, gurugram",1,1,2
2020-08-08,"narayana hospital, gurugram",1,1,2
2020-08-08,"metro hospital, faridabad",14,1,15
2020-08-08,"qrg central, faridabad",3,0,3
2020-08-08,"qrg medicare, faridabad",9,0,9
2020-08-08,"sarvoday hospital, faridabad",8,2,10
2020-08-08,"escorts fortis, faridabad",6,0,6
2020-08-08,"asian hospital, faridabad",7,4,11
2020-08-08,total,103,22,125
2020-08-09,"pt bd sharma pgims, rohtak",12,2,14
2020-08-09,"bpsgmc, khanpur kalan, sonepat",12,0,12
2020-08-09,"shkm govt. medical college nalhar, nuh",0,2,2
2020-08-09,"kcgmc, karnal",4,2,6
2020-08-09,"mamc, agroha, hisar",10,0,10
2020-08-09,"sgt medical college and hospital, budhera, gurugram",1,0,1
2020-08-09,"esic medical college and hospital, faridabad",23,6,29
2020-08-09,"mm institute of medical sciences & research, mulana",7,2,9
2020-08-09,world college of medical sciences & research jhajjar,1,0,1
2020-08-09,"artemis hospital, gurugram",1,1,2
2020-08-09,"metro hospital, faridabad",12,1,13
2020-08-09,"qrg central, faridabad",5,0,5
2020-08-09,"qrg medicare, faridabad",8,0,8
2020-08-09,"sarvoday hospital, faridabad",13,3,16
2020-08-09,"escorts fortis, faridabad",6,0,6
2020-08-09,"asian hospital, faridabad",7,6,13
2020-08-09,total,122,25,147
2020-08-10,"pt bd sharma pgims, rohtak",15,1,16
2020-08-10,"bpsgmc, khanpur kalan, sonepat",13,0,13
2020-08-10,"shkm govt. medical college nalhar, nuh",1,2,3
2020-08-10,"kcgmc, karnal",4,2,6
2020-08-10,"mamc, agroha, hisar",7,0,7
2020-08-10,"sgt medical college and hospital, budhera, gurugram",1,0,1
2020-08-10,"esic medical college and hospital, faridabad",22,5,27
2020-08-10,"mm institute of medical sciences & research, mulana",9,2,11
2020-08-10,world college of medical sciences & research jhajjar,2,0,2
2020-08-10,"artemis hospital, gurugram",1,1,2
2020-08-10,"metro hospital, faridabad",10,0,10
2020-08-10,"qrg central, faridabad",6,1,7
2020-08-10,"qrg medicare, faridabad",7,0,7
2020-08-10,"sarvoday hospital, faridabad",6,2,8
2020-08-10,"escorts fortis, faridabad",4,0,4
