date,positive_cases,recovered,new_persons_in_surveillance,new_persons_in_home_ins_isolation,new_persons_in_hospital_isolation,daily_deaths,deaths_declared_as_per_appeal,pending_deaths
2021-05-06,1743932,1362363,56385,52517,3868,5565,,
2021-05-11,1930115,1504160,57168,53588,3580,5879,,
2021-05-12,1967405,1537138,51106,47099,4007,5958,,
2021-05-13,2010934,1571738,63490,59897,3593,6053,,
2021-05-14,2050889,1605471,70444,66586,3858,6150,,
2021-05-15,2085583,1636790,65176,61158,4018,6243,,
2021-05-16,2118263,1666232,57013,53039,3974,6339,,
2021-05-17,2147967,1700528,51654,48014,3640,6428,,
2021-05-18,2169369,1800179,45480,41850,3630,6515,,
2021-05-19,2200706,1846105,46084,40859,5225,6612,,
2021-05-20,2233468,1894518,55236,51346,3890,6724,,
2021-05-21,2263959,1938887,52500,48528,3972,6852,,
2021-05-22,2293632,1979919,49995,46471,3524,6994,,
2021-05-23,2322146,2025319,47820,44437,3383,7170,,
2021-05-24,2347966,2062635,48469,44863,3606,7358,,
2021-05-25,2365787,2098674,33752,30504,3248,7554,,
2021-05-26,2395590,2132071,38323,35020,3303,7731,,
2021-05-27,2424388,2167596,48686,44863,3823,7882,,
2021-05-28,2448554,2198135,48509,44508,4001,8063,,
2021-05-29,2470872,2224405,43062,39385,3677,8257,,
2021-05-30,2494385,2252505,38698,35074,3624,8455,,
2021-05-31,2514279,2281518,38034,34668,3366,8641,,
2021-06-01,2526579,2310385,28366,25485,2881,8815,,
2021-06-02,2546339,2334502,27933,25249,2684,9009,,
2021-06-03,2566000,2364210,36349,33509,2840,9222,,
2021-06-04,2584853,2390779,32755,29848,2907,9375,,
2021-06-05,2601082,2416639,31463,28529,2934,9510,,
2021-06-06,2618410,2440642,29195,26546,2649,9719,,
2021-06-07,2633082,2462071,29310,26864,2446,9946,,
2021-06-08,2642395,2483992,22217,19920,2297,10157,,
2021-06-09,2657962,2504011,23189,20679,2510,10281,,
2021-06-10,2674166,2524248,28509,25982,2527,10437,,
2021-06-11,2688590,2542242,29402,26582,2820,10631,,
2021-06-12,2702823,2557597,26291,23616,2675,10804,,
2021-06-13,2716655,2575769,26263,24131,2132,10975,,
2021-06-14,2728239,2593625,24729,22420,2309,11181,,
2021-06-15,2735958,2610368,18582,16667,1915,11342,,
2021-06-16,2748204,2623904,19173,17012,2161,11508,,
2021-06-17,2761474,2639593,23980,21928,2052,11655,,
2021-06-18,2773943,2653207,23490,20998,2492,11743,,
2021-06-19,2785304,2665354,21679,19344,2335,11833,,
2021-06-20,2797747,2678499,22684,20402,2282,11948,,
2021-06-21,2809394,2690958,22684,20402,2282,12060,,
2021-06-22,2816843,2704554,18209,16318,1891,12154,,
2021-06-23,2829460,2716284,20564,18593,1971,12295,,
2021-06-24,2842247,2729967,25959,23467,2492,12445,,
2021-06-25,2854325,2741436,26327,23882,2445,12581,,
2021-06-26,2865871,2752492,18074,15686,2388,12699,,
2021-06-27,2877989,2763616,29851,27908,1943,12817,,
2021-06-28,2888894,2775967,24145,22235,1910,12879,,
2021-06-29,2896957,2787496,19621,17685,1936,12989,,
2021-06-30,2910507,2797779,22294,20315,1979,13093,,
2021-07-01,2924165,2809587,26789,24555,2234,13235,,
2021-07-02,2937033,2821151,25202,23039,2163,13359,,
2021-07-04,2961584,2843909,24558,22276,2282,13640,,
2021-07-05,2973684,2855460,27401,25383,2018,13716,,
2021-07-06,2981721,2866806,25643,23774,1869,13818,,
2021-07-07,2996094,2877557,18869,16961,1908,13960,,
2021-07-08,3011694,2889186,30342,28124,2218,14108,,
2021-07-09,3025466,2900600,37567,35033,2534,14250,,
2021-07-10,3039029,2911054,31040,28840,2200,14380,,
2021-07-11,3053116,2922921,31511,29307,2204,14489,,
2021-07-12,3065336,2935423,32441,30162,2279,14586,,
2021-07-13,3073134,2946870,20727,18865,1862,14686,,
2021-07-14,3087673,2957201,23833,22048,1785,14810,,
2021-07-15,3103310,2970175,29908,27535,2373,14938,,
2021-07-16,3117083,2982545,28797,26382,2415,15025,,
2021-07-17,3130833,2993242,27920,25666,2254,15155,,
2021-07-18,3146981,3006439,28417,26338,2079,15269,,
2021-07-19,3160937,3020052,30534,28529,2005,15350,,
2021-07-20,3170868,3033258,24648,22511,2137,15408,,
2021-07-21,3187716,3045310,27427,25378,2049,15512,,
2021-07-22,3205197,3059441,33589,31188,2401,15617,,
2021-07-23,3218015,3072895,30003,27466,2537,15739,,
2021-07-24,3235533,3083962,30631,28390,2241,15871,,
2021-07-25,3254064,3099469,27642,25435,2207,15969,,
2021-07-26,3271530,3114716,38278,35881,2397,16035,,
2021-07-27,3283116,3129628,28746,26527,2219,16170,,
2021-07-28,3305245,3143043,29438,27087,2351,16326,,
2021-07-29,3327301,3160804,38559,35434,3125,16457,,
2021-07-30,3349365,3177453,35627,32818,2809,16585,,
2021-07-31,3370137,3192104,37896,35092,2804,16701,,
2021-08-01,3390761,3208969,32462,29517,2945,16781,,
2021-08-02,3411489,3226761,34582,32180,2402,16837,,
2021-08-03,3425473,3242684,33025,30475,2550,16955,,
2021-08-04,3449149,3258310,29867,27411,2456,17103,,
2021-08-05,3471563,3277788,38893,36057,2836,17211,,
2021-08-06,3493603,3297834,39328,36721,2607,17328,,
2021-08-07,3513551,3317314,35683,33357,2326,17515,,
2021-08-08,3533918,3337579,36555,34045,2510,17654,,
2021-08-09,3552525,3357687,32274,29946,2328,17747,,
2021-08-10,3565574,3377691,29945,27820,2125,17852,,
2021-08-11,3586693,3396184,29083,26982,2101,18004,,
2021-08-12,3610193,3415595,36381,34010,2371,18120,,
2021-08-13,3631638,3436318,36119,33560,2559,18280,,
2021-08-14,3652090,3453174,36614,34250,2364,18394,,
2021-08-15,3671541,3472278,35115,32708,2407,18499,,
2021-08-16,3690123,3492367,33756,31691,2065,18601,,
2021-08-17,3702417,3510909,27194,25119,2075,18743,,
2021-08-18,3724030,3529465,38377,27881,2409,18870,,
2021-08-19,3745457,3548196,35995,33770,2225,19049,,
2021-08-20,3766573,3567492,37675,35392,2283,19246,,
2021-08-21,3786797,3584634,36208,34087,2121,19345,,
2021-08-22,3803903,3605480,33053,31152,1901,19428,,
2021-08-23,3814305,3631066,24621,22917,1704,19494,,
2021-08-24,3827688,3653008,21669,20022,1647,19584,,
2021-08-25,3851984,3672357,30522,28444,2078,19757,,
2021-08-26,3883429,3692628,38891,36452,2439,19972,,
2021-08-27,3913506,3711625,47815,44925,2890,20134,,
2021-08-28,3946307,3730198,49640,46539,3101,20313,,
2021-08-29,3977572,3751666,52686,49894,2792,20466,,
2021-08-30,4007408,3773754,50031,47365,2666,20541,,
2021-08-31,4027030,3796317,42283,39642,2641,20673,,
2021-09-01,4057233,3817004,36804,34106,2698,20788,,
2021-09-02,4090036,3838614,47509,44282,3227,20961,,
2021-09-03,4122133,3860248,41574,38462,3112,21149,,
2021-09-05,4181137,3909096,56135,53355,2780,21422,,
2021-09-06,4207838,937996,50444,47840,2604,21496,,
2021-09-07,4227526,3966557,38314,35851,2463,21631,,
2021-09-08,4253298,3993877,618684,585749,32935,21820,,
2021-09-09,4283494,4021456,37969,35382,2587,22001,,
2021-09-10,4309694,4050665,47065,44599,2466,22126,,
2021-09-11,4334704,4074200,59564,57152,2412,22303,,
2021-09-12,4355191,4100355,42381,40109,2272,22484,,
2021-09-14,4390489,4158504,29478,27625,1853,22650,,
2021-09-15,4406365,4184158,22467,20644,1823,22779,,
2021-09-16,4424046,4209746,24254,22536,1718,22987,,
2021-09-17,4446228,4236309,44577,42696,1881,23165,,
2021-09-18,4469488,4256697,36284,34385,1899,23296,,
2021-09-19,4488813,4283963,34401,32481,1920,23439,,
2021-09-20,4508466,4310674,32141,30235,1906,23591,,
2021-09-21,4524158,4332897,26502,24995,1507,23683,,
2021-09-22,4539926,4354264,29037,27361,1676,23897,,
2021-09-23,4559601,4373966,32350,30649,1701,24039,,
2021-09-24,4579283,4394476,39005,37316,1689,24191,,
2021-09-25,4597266,4409530,37506,35699,1807,24318,,
2021-09-26,4613937,4423772,36480,34655,1825,24438,,
2021-09-27,4629888,4441430,34766,33454,1312,24603,,
2021-09-28,4641587,4459193,28585,27267,1318,24661,,
2021-09-29,4652783,4478042,24543,23156,1387,24810,,
2021-09-30,4664944,4495904,25116,23832,1284,24965,,
2021-10-01,4680858,4512662,25706,24502,1204,25087,,
2021-10-02,4694692,4526429,24167,22945,1222,25182,,
2021-10-03,4707909,4540866,24751,23373,1378,25303,,
2021-10-04,4720206,4557199,21677,20576,1101,25377,,
2021-10-05,4729056,4574206,19301,18282,1019,25526,,
2021-10-06,4738791,4588084,18473,17345,1128,25677,,
2021-10-07,4751407,4602600,21525,20607,918,25811,,
2021-10-08,4763695,4618408,23045,22029,1016,25952,,
2021-10-09,4774639,4631330,24355,23463,892,26072,,
2021-10-11,4794800,4656866,20571,19772,799,26258,,
2021-10-12,4801796,4673442,16027,15350,677,26342,,
2021-10-13,4809619,4685932,16893,16141,752,26448,,
2021-10-14,4820698,4695904,19745,19055,690,26571,,
2021-10-15,4829944,4706856,20631,19860,771,26667,,
2021-10-16,4838811,4716728,17835,10754,781,26734,,
2021-10-17,4846766,4728497,15229,14516,713,26791,,
2021-10-18,4854321,4739270,16583,15682,901,26865,,
2021-10-19,4860997,4750293,15249,14615,634,26925,,
2021-10-20,4868640,4760781,13777,12923,854,27002,,
2021-10-21,4879790,4769373,18612,17905,707,27084,,
2021-10-22,4888523,4779228,18121,17454,667,27202,0.0,0.0
2021-10-23,4897884,4788629,17970,17145,825,27765,172.0,292.0
2021-10-24,4906793,4797409,16821,16096,725,28229,314.0,549.0
2021-10-25,4915331,4808775,16444,15899,545,28592,395.0,760.0
2021-10-26,4921995,4817785,14436,13812,624,28873,404.0,979.0
2021-10-27,4929158,4824745,19348,18734,614,29355,455.0,1320.0
2021-10-28,4938603,4831468,17155,16536,619,29977,654.0,1650.0
2021-10-29,4946341,4836928,15738,15095,643,30685,764.0,2192.0
2021-10-30,4954063,4843576,16402,15888,514,31156,873.0,2468.0
2021-10-31,4961490,4850742,15955,15358,597,31514,912.0,2725.0
2021-11-01,4968657,857181,14674,14159,515,31681,919.0,2871.0
2021-11-02,4973954,4864506,8142,7929,213,32049,977.0,3103.0
2021-11-03,4980398,4872930,9413,9183,230,32236,1032.0,3190.0
2021-11-04,4987710,4881414,12718,12392,326,32598,1271.0,3262.0
2021-11-05,4995255,4887350,12084,11611,473,32734,1331.0,3283.0
2021-11-06,5001835,4894435,9790,9348,442,33048,1442.0,3440.0
2021-11-07,5008381,4901369,12801,12469,332,33515,1673.0,3626.0
2021-11-08,5015505,4908857,11615,11288,327,33716,1700.0,3779.0
2021-11-09,5020909,4914993,10576,10258,318,33978,1882.0,3779.0
2021-11-10,5027318,4921312,11846,11434,412,34362,2219.0,3779.0
2021-11-12,5042082,4936791,13446,13101,345,35040,2802.0,3779.0
2021-11-13,5048756,4943813,14203,13777,426,35511,3214.0,3779.0
2021-11-14,5055224,4950281,20997,20652,345,35685,3365.0,3779.0
2021-11-15,5061072,4957509,15312,14950,362,35750,3384.0,3779.0
2021-11-16,5065619,4964375,10380,10055,325,35877,3454.0,3779.0
2021-11-17,5071135,4971080,9945,9519,426,36087,3625.0,3779.0
2021-11-18,5077984,4977126,12092,11749,343,36475,3952.0,3779.0
2021-11-19,5084095,4984328,12457,12135,322,36847,4273.0,3779.0
2021-11-20,5089849,4990817,12830,12460,370,37051,4428.0,3779.0
2021-11-21,5095924,4996878,11272,10970,302,37299,4644.0,3779.0
2021-11-22,5101004,5004786,11435,11166,269,37495,4800.0,3779.0
2021-11-23,5104702,5012301,9565,9232,333,37675,4905.0,3779.0
2021-11-24,5109674,5018279,9865,9489,376,38045,5218.0,3779.0
2021-11-25,5113954,5023658,10046,9741,305,38353,5491.0,3779.0
2021-11-26,5119941,5028752,9509,9234,275,38737,5819.0,3779.0
2021-11-27,5124618,5035384,10395,10110,285,39125,6174.0,3779.0
2021-11-29,5133709,5046219,12361,12104,257,39838,6840.0,3779.0
2021-11-30,5137091,5051998,6352,6107,245,39955,6899.0,3779.0
2021-12-01,5141814,5057368,9613,9331,282,40132,7057.0,3779.0
2021-12-02,5147219,5061906,10415,10140,275,40535,7364.0,3779.0
2021-12-03,5151919,5066034,15853,15538,315,40855,7618.0,3779.0
2021-12-04,5156914,5070497,13529,13254,275,41124,7843.0,3779.0
2021-12-05,5161471,5075605,12789,12490,299,41439,8106.0,3779.0
2021-12-06,5165921,5080211,11373,11117,256,41600,8244.0,3779.0
2021-12-07,5169198,5086044,12498,12243,12498,41768,8382.0,3779.0
2021-12-08,5173854,5091224,10121,9850,271,41902,8488.0,3779.0
2021-12-09,5178892,5095263,10595,10334,261,42014,8565.0,3779.0
2021-12-10,5183061,5099620,10346,10069,277,42239,8738.0,3779.0
2021-12-11,5187033,5104456,10318,10060,258,42579,9047.0,3779.0
2021-12-12,5190828,5108764,11592,11386,206,42824,9242.0,3779.0
2021-12-13,5194605,5112620,10917,10721,196,42967,9351.0,3779.0
2021-12-14,5197039,5116928,10630,10423,207,43170,9516.0,3779.0
2021-12-15,5200416,5121001,7293,7080,213,43344,9662.0,3779.0
2021-12-16,5204422,5124899,8917,8714,203,43626,9819.0,3779.0
2021-12-17,5207826,5129044,9961,9755,206,43946,10103.0,3779.0
2021-12-18,5211297,5134010,9754,9586,168,44189,10324.0,3779.0
2021-12-19,5214594,5137619,8734,8525,209,44407,10499.0,3779.0
2021-12-20,5217589,5141779,7840,7634,206,44503,10584.0,3779.0
2021-12-21,5219819,5145501,9586,9393,193,44922,10989.0,3779.0
2021-12-22,5222567,5148703,7185,7001,184,45155,11189.0,3779.0
2021-12-23,5225772,5151715,7873,7680,193,45538,11536.0,3779.0
2021-12-24,5228286,5155142,7055,6877,178,45861,11805.0,3779.0
2021-12-25,5230891,5158423,7413,7200,213,46203,12116.0,3779.0
2021-12-26,5233298,5161800,5110,4947,163,46318,12220.0,3779.0
2021-12-27,5235122,5165164,5330,5188,142,46586,12472.0,3779.0
2021-12-28,5236758,5168028,6223,6091,132,46822,12685.0,3779.0
2021-12-29,5239232,5171080,5646,5449,197,47066,12891.0,3779.0
2021-12-30,5242078,5173656,5221,4774,447,47277,13090.0,3779.0
2021-12-31,5244501,5176535,5828,5656,172,47441,13239.0,3779.0
2022-01-01,5247177,5179277,9852,9695,157,47794,13581.0,3779.0
2022-01-02,5249612,5181981,6513,6344,169,48035,13800.0,3779.0
2022-01-03,5252414,5184587,4484,4335,149,48113,13866.0,3779.0
2022-01-04,5254974,5186737,8201,8034,167,48184,13907.0,3779.0
2022-01-05,5258614,5189100,7831,7651,180,48637,14330.0,3779.0
