date,discharged_today,discharged_total,recovery_rate,cases_new,deaths_new,cfr,tests_cumulative,tests_positive_cumulative,current_home_quarantine,current_institutional_quarantine,active_cases
2020-11-01,3726.0,1514079.0,89.92,5369.0,113,2.61,9024871,1683775,2544799,12230,125109.0
2020-11-02,10225.0,1524304.0,90.31,4009.0,104,2.61,9065168,1687784,2533780,12195,118777.0
2020-11-03,6973.0,1531277.0,90.46,4909.0,120,2.61,9120515,1692693,1795666,11969,116543.0
2020-11-04,8728.0,1540005.0,90.68,5505.0,125,2.62,9185838,1698198,1335681,11648,112912.0
2020-11-06,11060.0,1562342.0,91.35,5027.0,161,2.63,9318544,1710314,1059499,8879,102099.0
2020-11-07,6748.0,1569090.0,91.53,3959.0,150,2.63,9378531,1714273,1071163,9799,99151.0
2020-11-08,8232.0,1577322.0,91.71,5092.0,110,2.63,9440535,1719858,1051321,7912,96372.0
2020-11-09,,,,3277.0,19,,9482940,1723135,1038500,7586,
2020-11-25,4844.0,1663723.0,92.64,6159.0,65,2.6,10456962,1795959,529344,6980,84464.0
2020-11-26,4815.0,1668538.0,92.57,6406.0,65,2.6,10547333,1802365,528690,6634,85963.0
2020-11-27,4089.0,1672627.0,92.48,6185.0,85,2.59,10635600,1808550,528395,7248,87969.0
2020-11-28,3937.0,1676564.0,92.4,5965.0,75,2.59,10722198,1814515,528462,7118,89905.0
2020-11-29,4362.0,1680926.0,92.36,5544.0,85,2.59,10804422,1820059,526555,6814,90997.0
2020-11-30,4196.0,1685122.0,92.39,3837.0,80,2.59,10856384,1823896,535530,6354,90557.0
2020-12-01,6290.0,1691412.0,92.49,4930.0,95,2.58,10915683,1828826,538084,6420,89098.0
2020-12-02,5027.0,1695208.0,92.52,5600.0,111,2.58,10989496,1832176,547791,6073,88537.0
2020-12-03,8066.0,1703274.0,92.7,5182.0,115,2.58,11059305,1837358,548137,5939,85535.0
2020-12-04,6776.0,1710050.0,92.81,5229.0,127,2.58,11132231,1842587,547504,5567,83859.0
2020-12-06,7486.0,1723370.0,93.08,4757.0,40,2.58,11273705,1852266,556085,5903,80079.0
2020-12-07,7345.0,1730715.0,93.28,3075.0,40,2.57,11318721,1855341,555180,5565,75767.0
2020-12-08,6365.0,1737080.0,93.42,4026.0,53,2.57,11377074,1859367,548961,5617,73374.0
2020-12-09,5111.0,1742191.0,93.45,4981.0,75,2.57,11447723,1864348,543091,5105,73166.0
2020-12-10,5008.0,1747199.0,93.52,3824.0,70,2.57,11502427,1868172,541059,5137,71910.0
2020-12-11,2774.0,1749973.0,93.46,4268.0,87,2.57,11570137,1872440,532288,5122,73315.0
2020-12-12,3949.0,1753922.0,93.46,4259.0,80,2.57,11638336,1876699,525623,4500,73542.0
2020-12-13,3083.0,1757005.0,93.44,3717.0,70,2.56,11702457,1880416,512587,4403,74104.0
2020-12-14,4610.0,1761615.0,93.54,2949.0,60,2.56,11748362,1883365,504406,4335,72383.0
2020-12-15,4395.0,1766010.0,93.6,3442.0,70,2.56,11806808,1886807,524059,4316,71356.0
2020-12-16,4678.0,1769897.0,94.1,4304.0,95,2.58,11871449,1880893,509478,3993,61454.0
2020-12-17,4358.0,1774255.0,94.14,3880.0,65,2.57,11933956,1884773,506914,4033,60905.0
2020-12-20,2064.0,1783905.0,94.06,3811.0,98,2.57,12119196,1896518,502362,3730,62743.0
2020-12-22,4122.0,1794080.0,94.3,3106.0,75,2.57,12212384,1902458,494815,3660,58376.0
2020-12-23,7620.0,1801700.0,94.51,3913.0,93,2.57,12278476,1906371,488723,3420,
2020-12-24,3171.0,1804871.0,94.5,3580.0,89,2.57,12341204,1909951,482779,3810,54891.0
2020-12-25,1427.0,1806298.0,94.4,3431.0,71,2.57,12401637,1913382,477528,3695,56823.0
2020-12-26,1526.0,1807824.0,94.34,2854.0,60,2.57,12451919,1916236,464121,3704,58091.0
2020-12-27,2124.0,1809948.0,94.29,3314.0,66,2.57,12502554,1919550,457385,3323,59214.0
2020-12-28,4501.0,1814449.0,94.4,2498.0,50,2.57,12543772,1922048,452535,3138,57159.0
2020-12-29,5572.0,1820021.0,94.54,3018.0,68,2.56,12600754,1925066,289560,3204,54537.0
2020-12-30,4913.0,1824934.0,94.62,3537.0,70,2.56,12672259,1928603,280682,3127,53066.0
2021-01-02,2110.0,1834935.0,94.64,3218.0,51,2.56,12890441,1938854,258668,3159,53137.0
2021-01-04,10362.0,1847361.0,94.88,2765.0,29,2.55,13004876,1947011,241728,3078,48801.0
2021-01-05,2828.0,1850189.0,94.87,3160.0,64,2.55,13061976,1950171,241557,2788,49067.0
2021-01-06,2570.0,1852759.0,94.79,4382.0,66,2.55,13134019,1954553,233875,2523,50808.0
2021-01-07,3350.0,1856109.0,94.78,3729.0,72,2.55,13199201,1958282,270217,2824,51111.0
2021-01-08,2890.0,1858999.0,94.75,3693.0,73,2.55,13267917,1961975,242585,3015,51838.0
2021-01-09,2401.0,1861400.0,94.7,3581.0,57,2.55,13338488,1965556,234545,2474,52960.0
2021-01-10,2302.0,1863702.0,94.65,3558.0,34,2.54,13401170,1969114,234845,2453,54179.0
2021-01-11,4286.0,1867988.0,94.75,2438.0,40,2.54,13443229,1971552,230699,2468,52288.0
2021-01-12,3282.0,1871270.0,94.77,2936.0,50,2.54,13500734,1974488,227876,2388,51892.0
2021-01-13,3009.0,1874279.0,94.75,3556.0,70,2.54,13562194,1978044,226599,2496,52365.0
2021-01-14,3309.0,1877588.0,94.75,3579.0,70,2.54,13623298,1981623,196829,2403,52558.0
2021-01-15,3500.0,1881088.0,94.78,3145.0,45,2.54,13684589,1984768,224851,2240,52152.0
2021-01-16,3039.0,1884127.0,94.79,2910.0,52,2.54,13743486,1987678,224705,2037,51965.0
2021-01-17,2342.0,1886469.0,94.76,3081.0,50,2.53,13806387,1990759,225308,2045,52653.0
2021-01-19,4516.0,1894839.0,94.98,2294.0,50,2.53,13895277,1994977,218058,1996,48406.0
2021-01-20,4589.0,1899428.0,95.07,3015.0,59,2.53,13957469,1997992,218325,2230,46769.0
2021-01-21,3980.0,1903408.0,95.13,2886.0,52,2.53,14019188,2000878,212023,1936,45622.0
2021-01-22,3419.0,1906827.0,95.17,2779.0,50,2.53,14080930,2003657,213414,2019,44926.0
2021-01-23,3694.0,1910521.0,95.22,2697.0,56,2.53,14145829,2006354,213678,1993,43870.0
2021-01-24,1743.0,1912264.0,95.18,2752.0,45,2.53,14207595,2009106,208993,2309,44831.0
2021-01-26,2106.0,1917450.0,95.24,2405.0,47,2.53,14315227,2013353,184944,2613,43811.0
2021-01-27,2556.0,1920006.0,95.26,2171.0,32,2.53,14367094,2015524,200159,2615,43393.0
2021-01-28,3181.0,1923187.0,95.28,2889.0,50,2.52,14430223,2018413,197941,2804,43048.0
2021-01-29,2613.0,1925800.0,95.28,2771.0,56,2.52,14496359,2021184,195127,2771,43147.0
2021-02-01,3289.0,1932294.0,95.26,,27,2.52,14656223,2028347,192382,2152,43701.0
2021-02-02,4011.0,1936305.0,95.37,,30,2.52,14706992,2030274,189288,2121,41586.0
2021-02-03,7030.0,1943335.0,95.58,,30,2.52,14764744,2033266,182181,2093,37516.0
2021-02-04,5339.0,1948674.0,95.71,,46,2.52,14821561,2036002,178676,1911,34862.0
2021-02-05,3513.0,1952187.0,95.76,,40,2.51,14875633,2038630,177560,2025,33936.0
2021-02-06,1739.0,1953926.0,95.72,,25,2.51,14928130,2041398,173504,1980,34934.0
2021-02-07,1622.0,1955548.0,95.67,2673.0,30,2.51,14977683,2044071,172311,1979,35948.0
2021-02-08,3423.0,1958971.0,95.73,2216.0,15,2.51,15010037,2046287,167764,1976,34720.0
2021-02-09,2554.0,1961525.0,95.74,2515.0,35,2.51,15058995,2048802,167694,1805,34640.0
2021-02-11,6107.0,19700532.0,95.84,3297.0,25,2.5,15163781,2052905,166785,1852,30265.0
2021-02-12,2422.0,1972475.0,95.91,3670.0,36,2.5,15219416,2056575,168087,1789,31474.0
2021-02-13,1773.0,1974248.0,95.83,3611.0,38,2.5,15272826,2060186,175418,1746,33269.0
2021-02-15,3105.0,1978708.0,95.7,3365.0,23,2.49,15359026,2067643,174704,1714,36201.0
2021-02-17,3853.0,1985261.0,95.62,4787.0,40,2.49,154355268,2076093,195704,1664,38013.0
2021-02-28,3753.0,2024704.0,93.95,8293.0,62,2.42,16284612,2155070,335492,3332,77008.0
2021-03-17,9138.0,2163391.0,91.26,23179.0,84,2.24,17835495,2370507,671620,6738,152760.0
2021-03-21,11314.0,2214867.0,89.32,30535.0,99,2.15,18356200,2479682,969867,9601,210120.0
2021-03-22,19463.0,2234330.0,89.22,24645.0,58,2.13,18462030,2504327,1063077,11092,215241.0
2021-03-23,13165.0,2247495.0,88.73,28699.0,132,2.12,18584463,2533026,1177265,11887,230641.0
2021-03-24,15098.0,2262593.0,88.21,31855.0,95,2.09,18725307,2564881,1268094,13499,247299.0
2021-03-25,20444.0,2283037.0,87.78,35952.0,111,2.07,18878754,2600833,1362899,13770,262685.0
2021-03-29,20854.0,2353307.0,85.71,31643.0,102,1.98,19495189,2745518,1607415,16614,336584.0
2021-03-30,23820.0,2377127.0,85.71,27918.0,139,1.96,19625065,2773436,1656697,17649,340542.0
2021-03-31,23600.0,2400727.0,85.34,39544.0,227,1.94,19792143,2812980,1729816,17863,356243.0
2021-04-04,27508.0,2522823.0,83.8,57074.0,222,1.86,20540111,3010597,2205899,19711,430503.0
2021-04-05,26252.0,2549075.0,83.36,47288.0,155,1.83,20715793,3057885,2416981,20115,451375.0
2021-04-06,34256.0,2583331.0,82.98,55469.0,297,1.81,20917486,3113354,2455498,22797,472283.0
2021-04-07,30296.0,2613627.0,82.36,59907.0,322,1.79,21148736,3173261,2578530,21212,501559.0
2021-04-08,36130.0,2649757.0,82.05,56286.0,376,1.77,21385551,3229547,2702613,22661,521317.0
2021-04-11,34008.0,2782161.0,81.65,63294.0,349,1.7,22114372,3407245,3175585,25694,565587.0
2021-04-14,39624.0,2905721.0,81.21,58952.0,278,1.64,22802200,3578160,3455206,28494,612070.0
2021-04-18,45654.0,3106828.0,80.92,68631.0,503,1.58,23854185,3839338,3675518,26529,670388.0
2021-04-25,61450.0,3530060.0,82.19,66191.0,832,1.51,25749543,4295027,4236825,29966,698354.0
2021-04-26,71736.0,3601796.0,82.92,48700.0,524,1.5,25972018,4343727,3978420,30398,674770.0
2021-04-27,67752.0,3669548.0,83.21,66358.0,895,1.5,26254737,4410085,4264936,30146,672434.0
2021-04-28,61181.0,3730729.0,83.4,63309.0,985,1.5,26527862,4473394,4203547,31159,673481.0
2021-05-02,51356.0,3981658.0,84.31,56647.0,669,1.49,27652758,4722401,3996946,27735,668353.0
2021-05-03,59500.0,4041158.0,84.7,48621.0,567,1.49,27864426,4771022,3908491,28593,656870.0
2021-05-05,57006.0,4164098.0,85.32,57640.0,920,1.49,28384582,4880542,3852501,32174,641569.0
2021-05-06,63842.0,4227940.0,85.54,62194.0,853,1.49,28661668,4942736,3826089,29406,639075.0
2021-05-10,61607.0,4469425.0,86.97,37236.0,549,1.49,29631127,5138973,3670320,26664,590818.0
2021-05-11,71966.0,4541391.0,87.67,40956.0,793,1.49,29848791,5179929,3591783,29955,558996.0
2021-05-13,54535.0,4654731.0,88.34,42582.0,850,1.5,30351356,5269292,3502630,28847,533294.0
2021-05-16,59318.0,4826371.0,89.74,34389.0,974,1.52,31103991,5378452,3491981,28398,468109.0
2021-05-18,52898.0,4927480.0,90.69,28438.0,679,1.54,31588717,5433506,3097161,25004,419727.0
2021-05-19,51457.0,4978937.0,91.06,34031.0,594,1.54,31874364,5467537,3059095,23828,401695.0
2021-05-20,47371.0,5026308.0,91.43,29911.0,738,1.55,32154275,5497448,2935409,21648,383253.0
2021-05-23,29177.0,5140272.0,92.12,26672.0,594,1.59,33013516,5579897,2696306,21771,348395.0
2021-05-24,42320.0,5182592.0,92.51,22122.0,361,1.59,33277290,5602019,2729301,24932,327580.0
2021-05-26,23065.0,5241833.0,92.76,24752.0,453,1.62,33824959,5650907,2370326,19943,315042.0
2021-05-30,22532.0,5362370.0,93.55,18600.0,402,1.65,34861608,5731815,1998976,12981,271801.0
2021-06-02,29270.0,5460589.0,94.54,15169.0,285,1.67,35514594,5776184,1687643,7418,216016.0
2021-06-03,25617.0,5486206.0,94.73,15229.0,307,1.68,35774626,5791413,1566490,7055,204974.0
2021-06-06,14433.0,5543267.0,95.05,12557.0,233,1.72,36508967,5831781,1346389,6426,185527.0
2021-06-07,21081.0,5564348.0,95.25,10219.0,154,1.72,36696139,5842000,1247033,6232,174320.0
2021-06-09,16379.0,5597304.0,95.45,10989.0,261,1.74,37128093,5863880,1135347,6494,161864.0
2021-06-13,7504.0,5639271.0,95.44,10442.0,483,1.88,38046590,5908992,962134,6160,155588.0
2021-06-14,14732.0,5654003.0,95.55,8129.0,200,1.9,38215492,5917121,949251,5997,147354.0
2021-06-15,15176.0,5669179.0,95.69,9350.0,388,1.93,38418130,5924773,904462,5621,138361.0
2021-06-16,10567.0,5679746.0,95.7,10107.0,237,1.94,38641639,5934880,878781,5401,136661.0
2021-06-17,5890.0,5685636.0,95.64,9830.0,236,1.95,38857644,5944710,850663,4964,139960.0
2021-06-21,13758.0,5733215.0,95.89,6270.0,94,1.98,39669693,5979051,671685,4472,124398.0
2021-06-22,9043.0,5742258.0,95.9,8470.0,188,1.98,39886554,5987521,658863,4196,123340.0
2021-06-23,11032.0,5753290.0,95.93,10066.0,163,1.99,40128355,5997587,592108,4223,121859.0
2021-06-24,9371.0,5762661.0,95.93,9844.0,197,2.0,40360931,6007431,632453,4166,121767.0
2021-06-27,8562.0,5790113.0,95.91,9974.0,143,2.0,41042198,6036821,619168,4240,122252.0
2021-06-28,10812.0,5800925.0,95.99,6727.0,101,2.01,41208361,6043548,615839,4245,117874.0
2021-06-29,8623.0,5809548.0,96.0,8085.0,231,2.01,41398501,6051633,621377,3584,117098.0
2021-06-30,10353.0,5819901.0,96.02,9771.0,141,2.01,41637950,6061404,617926,4173,116364.0
2021-07-01,8634.0,5828535.0,96.01,9195.0,252,2.01,41875217,6070599,615285,4339,116667.0
2021-07-04,3378.0,5848693.0,95.91,9336.0,123,2.01,42542943,6098177,638004,4198,123225.0
2021-07-07,8899.0,5881167.0,96.05,8418.0,147,2.02,43124800,6122893,634423,4645,114625.0
2021-07-08,8815.0,5889982.0,96.05,9114.0,121,2.02,43350257,6131976,624511,4572,114444.0
2021-07-18,5756.0,5980350.0,96.24,9000.0,180,2.04,45481252,6214190,567585,4066,103486.0
2021-07-19,13051.0,5993401.0,96.35,6017.0,66,2.04,45648898,6220207,561796,4052,96375.0
2021-07-21,7839.0,6008750.0,96.33,8159.0,165,2.09,46068435,6237755,551521,3795,94745.0
2021-07-22,7756.0,6016506.0,96.34,7302.0,120,2.09,46264059,6245057,551872,3743,94168.0
2021-07-25,5212.0,6035029.0,96.33,6843.0,123,2.09,46846984,6264922,517362,3506,94985.0
2021-07-26,11077.0,6046106.0,96.43,4877.0,53,2.09,46995122,6269799,501758,3518,88729.0
2021-07-27,12645.0,6058751.0,96.54,6258.0,254,2.1,47176715,6276057,498933,3456,82082.0
2021-07-28,6105.0,6064856.0,96.53,6857.0,286,2.1,47369757,6282914,488537,3364,82545.0
2021-08-02,8429.0,6103325.0,96.65,4869.0,90,2.1,48352467,6315063,461637,3103,75303.0
2021-08-03,6799.0,6110124.0,96.66,6005.0,177,2.1,48532523,6321068,451971,3009,74318.0
2021-08-04,7436.0,6117560.0,96.69,6126.0,195,2.1,48744201,6327194,447681,2928,72810.0
2021-08-23,6795.0,6238794.0,97.05,3643.0,105,2.11,52445689,6428294,302888,2487,49924.0
2021-08-24,4240.0,6243034.0,97.05,4355.0,119,2.11,52632810,6432649,301955,2330,49752.0
2021-08-25,4380.0,6247414.0,97.04,5031.0,216,2.12,52840805,6437680,298264,2369,50183.0
2021-08-29,3510.0,6263416.0,97.0,4666.0,131,2.12,53659613,6456939,291522,2315,52844.0
2021-08-31,4688.0,6272800.0,97.03,4196.0,104,2.12,53976886,6464876,291701,2121,51238.0
2021-09-01,4430.0,6277230.0,97.03,4456.0,183,2.12,54154890,6469332,290427,2071,51078.0
2021-09-02,4755.0,6281985.0,97.04,4342.0,55,2.12,54327469,6473674,287385,1971,50607.0
2021-09-05,5916.0,6294767.0,97.05,4057.0,67,2.12,54854018,6486174,299905,2007,50095.0
2021-09-06,5988.0,6300755.0,97.09,3626.0,37,2.12,54999475,6489800,303169,1963,47695.0
2021-09-13,3233.0,6309021.0,97.05,2740.0,27,2.12,56088114,6500617,299192,1883,49880.0
2021-09-14,3685.0,6312706.0,97.06,3530.0,52,2.12,56225304,6504147,296176,1875,49671.0
2021-09-15,4364.0,6317070.0,97.07,3783.0,56,2.12,56361089,6507930,287356,1926,49034.0
2021-09-16,3240.0,6320310.0,97.06,3595.0,45,2.12,56529882,6511525,289425,1908,49342.0
2021-09-19,8326.0,6336887.0,97.16,3413.0,49,2.12,57028476,6521915,281561,1752,42955.0
2021-09-20,3836.0,6340723.0,97.18,2583.0,28,2.12,57164401,6524498,275736,1677,41672.0
2021-09-22,4285.0,6349029.0,97.21,3608.0,48,2.12,57476142,6531237,264416,1678,39984.0
2021-09-23,4050.0,6353079.0,97.22,3320.0,61,2.12,57646515,6534557,261842,1461,39191.0
2021-09-26,3292.0,6364027.0,97.24,3206.0,36,2.12,58158000,6544325,261072,1515,37860.0
2021-09-28,3029.0,6365277.0,97.26,2844.0,60,2.12,58429804,6544606,254985,1514,36794.0
2021-09-29,3253.0,6368530.0,97.26,3187.0,49,2.12,58884819,6547793,252309,1453,36675.0
2021-09-30,3198.0,6371728.0,97.27,3063.0,56,2.12,58739974,6550856,245427,1423,36484.0
2021-10-03,2716.0,6380670.0,97.28,2692.0,41,2.12,59222263,6559349,243152,1386,35888.0
2021-10-04,5389.0,6386059.0,97.31,2026.0,26,2.12,59337713,6562514,240088,1355,33637.0
2021-10-05,2840.0,6388899.0,97.32,2401.0,39,2.12,59469053,6564915,240052,1338,33159.0
2021-10-06,2763.0,6391662.0,97.32,2876.0,90,2.12,59619637,6567791,239760,1416,33181.0
2021-10-10,1823.0,6401287.0,97.32,2294.0,28,2.12,60198173,6577872,241892,1093,33449.0
2021-10-11,3033.0,6404320.0,97.34,1736.0,36,2.12,60303740,6579608,238474,1163,32115.0
2021-10-12,3616.0,6407936.0,97.36,2069.0,43,2.12,60420515,6581677,231099,1131,30525.0
2021-10-19,2791.0,6424547.0,97.42,1638.0,49,2.12,61248820,6594820,209798,928,26805.0
2021-10-20,2879.0,6427426.0,97.43,1825.0,21,2.12,61370390,6596645,205205,1004,25728.0
2021-10-21,2968.0,6430394.0,97.46,1573.0,39,2.12,61494090,6598218,201162,1007,24292.0
2021-10-24,1520.0,6435439.0,97.46,1410.0,18,2.12,61893695,6602961,191401,903,23894.0
2021-10-25,1586.0,6437025.0,97.47,889.0,12,2.12,61978155,6603850,183092,957,23184.0
2021-10-26,1370.0,6438395.0,97.48,1201.0,32,2.12,62080203,6605051,176191,961,22981.0
2021-10-27,2536.0,6443342.0,97.53,1485.0,38,2.12,62202811,6606536,172600,933,19480.0
2021-10-28,2112.0,6445454.0,97.54,1418.0,36,2.12,62316910,6607954,171200,896,18748.0
2021-10-31,1399.0,6450585.0,97.57,1172.0,20,2.12,62667211,6611078,165826,867,16658.0
2021-11-01,1901.0,6452486.0,97.59,809.0,10,2.12,62752687,6611887,160432,933,15552.0
2021-11-02,1095.0,6453581.0,97.59,1078.0,48,2.12,62843792,6612965,191497,919,15485.0
2021-11-07,1063.0,6459108.0,97.6,892.0,16,2.12,63240769,6617654,148743,968,14526.0
2021-11-08,1555.0,6460663.0,97.62,751.0,15,2.12,63302489,6618347,138179,865,13649.0
2021-11-09,1293.0,6461956.0,97.62,982.0,27,2.12,63399355,6619329,133262,867,13311.0
2021-11-10,1976.0,6463932.0,97.64,1094.0,17,2.12,63522546,6620423,129714,870,12410.0
2021-11-11,1016.0,6464948.0,97.64,997.0,28,2.12,63630632,6621420,110264,876,12352.0
2021-11-14,966.0,6467879.0,97.64,956.0,18,2.12,63970588,6624300,102268,1016,12191.0
2021-11-15,912.0,6468791.0,97.64,686.0,19,2.12,64052219,6624986,99859,1016,11943.0
2021-11-16,948.0,6469739.0,97.64,886.0,34,2.12,64155107,6625872,98703,1024,11847.0
2021-11-17,1052.0,6470791.0,97.64,1003.0,32,2.12,64267953,6626875,100517,1056,11766.0
2021-11-21,730.0,6475682.0,97.67,845.0,17,2.12,64687403,6629875,97482,1019,9799.0
2021-11-22,768.0,6476450.0,97.68,656.0,8,2.12,64757390,6630531,96042,1033,9678.0
2021-11-23,929.0,6477379.0,97.68,766.0,19,2.12,64844896,6631297,85335,1077,9493.0
2021-11-25,974.0,6479396.0,97.68,848.0,50,2.12,65047491,6633105,90538,1065,9187.0
2021-11-28,841.0,6481640.0,97.7,832.0,33,2.12,65357358,6634444,85874,1043,8193.0
2021-11-29,853.0,6482493.0,97.7,536.0,21,2.12,65420117,6634980,85800,1028,7854.0
2021-11-30,942.0,6483435.0,97.71,678.0,35,2.12,65511394,6635658,83421,963,7555.0
2021-12-01,903.0,6484338.0,97.71,767.0,28,2.12,65619951,6636425,74812,923,7391.0
2021-12-02,952.0,6485290.0,97.71,796.0,24,2.12,65728280,6637221,73024,897,7209.0
2021-12-06,811.0,6487593.0,97.72,518.0,5,2.12,66156544,6639296,78801,893,6853.0
2021-12-07,1087.0,6488680.0,97.72,699.0,19,2.12,66255554,6639995,77642,896,6445.0
2021-12-08,1040.0,6489720.0,97.72,893.0,10,2.12,66388902,6640888,74170,891,
2021-12-09,585.0,6490305.0,97.72,789.0,7,2.12,66517323,6641677,74353,887,
2021-12-12,699.0,6492504.0,97.72,704.0,16,2.12,66875975,6643883,75313,855,
2021-12-13,498.0,6493002.0,97.72,569.0,5,2.12,66958681,6644452,74190,887,
2021-12-15,929.0,6494617.0,97.72,925.0,10,2.12,67182510,6646061,75868,864,
2021-12-16,632.0,6495249.0,97.72,877.0,19,2.12,67306860,6646938,77371,839,
2021-12-19,767.0,6497500.0,97.71,902.0,9,2.12,67684674,6649596,72982,898,
2021-12-20,515.0,6498015.0,97.71,544.0,4,2.12,67771676,6650140,81661,877,
2021-12-22,953.0,6499760.0,97.71,1201.0,8,2.12,68006322,6652166,75273,860,
2021-12-23,615.0,6500375.0,97.7,1179.0,17,2.12,68117319,6653345,76373,899,
2021-12-26,918.0,6502957.0,97.67,1648.0,17,2.12,68455314,6657888,89251,891,
2021-12-27,776.0,6503733.0,97.66,1426.0,21,2.12,68549133,6659314,91464,880,
2021-12-28,1098.0,6504831.0,97.65,2172.0,22,2.12,68645512,6661486,111232,910,
2021-12-29,1306.0,6506137.0,97.61,3900.0,20,2.12,68768760,6665386,122906,905,
2021-12-30,1193.0,6507330.0,97.55,5368.0,22,2.12,68887303,6670754,133748,1078,
2022-01-02,2069.0,6512610.0,97.21,11877.0,9,2.11,69259618,6699868,243250,1091,
2022-01-04,4558.0,6518916.0,96.86,18466.0,20,2.1,69509260,6730494,398391,1110,
2022-01-05,5331.0,6524247.0,96.55,26538.0,8,2.09,69777007,6757032,513758,1366,
