date,district,cases_today,deaths_today,cases_total,deaths_total,under_treatment,cured_total,patients_belonging_other_states,deaths_belonging_other_states
2021-07-25,amritsar,0,0,60,4,39,12,,
2021-07-25,barnala,0,0,14,4,5,1,,
2021-07-25,bathinda,0,0,51,5,16,25,,
2021-07-25,faridkot,0,0,12,1,4,4,,
2021-07-25,fatehgarh sahib,0,0,9,1,4,4,,
2021-07-25,fazilka,0,0,16,1,2,8,,
2021-07-25,firozepur,1,0,17,1,7,7,,
2021-07-25,gurdaspur,1,0,30,3,18,6,,
2021-07-25,hoshiarpur,0,0,25,1,20,3,,
2021-07-25,jalandhar,0,0,54,6,33,13,,
2021-07-25,kapurthala,0,0,12,2,5,5,,
2021-07-25,ludhiana,0,0,108,8,35,46,,
2021-07-25,mansa,0,0,27,0,12,12,,
2021-07-25,moga,0,0,10,0,6,1,,
2021-07-25,pathankot,0,0,5,1,3,1,,
2021-07-25,patiala,0,0,32,2,18,7,,
2021-07-25,rupnagar (ropar),0,0,2,0,2,0,,
2021-07-25,s.a.s nagar,0,0,13,0,9,4,,
2021-07-25,sangrur,0,0,30,1,17,10,,
2021-07-25,shahid bhagat singh nagar(nawanshahr),0,0,9,1,8,0,,
2021-07-25,sri muktsar sahib,0,0,34,2,17,8,,
2021-07-25,tarn taran,0,0,19,1,14,4,,
2021-07-25,other states,0,0,70,6,33,23,,
2021-07-25,grand total,2,0,659,51,327,204,,
2021-07-24,amritsar,0,0,60,4,39,12,,
2021-07-24,barnala,0,0,14,4,5,1,,
2021-07-24,bathinda,0,0,51,5,15,26,,
2021-07-24,faridkot,0,0,12,1,4,4,,
2021-07-24,fatehgarh sahib,0,0,9,1,5,3,,
2021-07-24,fazilka,0,0,16,1,1,9,,
2021-07-24,firozepur,0,0,16,1,6,7,,
2021-07-24,gurdaspur,0,0,29,3,17,6,,
2021-07-24,hoshiarpur,0,0,25,1,20,3,,
2021-07-24,jalandhar,0,0,54,6,33,13,,
2021-07-24,kapurthala,0,0,12,2,5,5,,
2021-07-24,ludhiana,0,0,108,8,36,45,,
2021-07-24,mansa,0,0,27,0,12,12,,
2021-07-24,moga,0,0,10,0,6,1,,
2021-07-24,pathankot,0,0,5,1,3,1,,
2021-07-24,patiala,0,0,32,2,18,7,,
2021-07-24,rupnagar (ropar),0,0,2,0,2,0,,
2021-07-24,s.a.s nagar,0,0,13,0,9,4,,
2021-07-24,sangrur,0,0,30,1,17,10,,
2021-07-24,shahid bhagat singh nagar(nawanshahr),0,0,9,1,8,0,,
2021-07-24,sri muktsar sahib,0,0,34,2,17,8,,
2021-07-24,tarn taran,0,0,19,1,14,4,,
2021-07-24,other states,0,0,70,6,34,22,,
2021-07-24,grand total,0,0,657,51,326,203,,
2021-07-23,amritsar,0,0,60,4,39,12,,
2021-07-23,barnala,0,0,14,4,5,1,,
2021-07-23,bathinda,0,0,51,5,15,26,,
2021-07-23,faridkot,0,0,12,1,4,4,,
2021-07-23,fatehgarh sahib,0,0,9,1,5,3,,
2021-07-23,fazilka,0,0,16,1,1,9,,
2021-07-23,firozepur,0,0,16,1,6,7,,
2021-07-23,gurdaspur,0,0,29,3,17,6,,
2021-07-23,hoshiarpur,0,0,25,1,20,3,,
2021-07-23,jalandhar,0,0,54,6,33,13,,
2021-07-23,kapurthala,0,0,12,2,5,5,,
2021-07-23,ludhiana,1,0,108,8,36,45,,
2021-07-23,mansa,0,0,27,0,12,12,,
2021-07-23,moga,0,0,10,0,6,1,,
2021-07-23,pathankot,0,0,5,1,3,1,,
2021-07-23,patiala,0,0,32,2,18,7,,
2021-07-23,rupnagar (ropar),0,0,2,0,2,0,,
2021-07-23,s.a.s nagar,0,0,13,0,9,4,,
2021-07-23,sangrur,-1,0,30,1,17,10,,
2021-07-23,shahid bhagat singh nagar(nawanshahr),0,0,9,1,8,0,,
2021-07-23,sri muktsar sahib,0,0,34,2,17,8,,
2021-07-23,tarn taran,0,0,19,1,14,4,,
2021-07-23,other states,0,0,70,6,34,22,,
2021-07-23,grand total,0,0,657,51,326,203,,
2021-07-22,amritsar,0,0,60,4,39,12,,
2021-07-22,barnala,0,0,14,4,5,1,,
2021-07-22,bathinda,0,0,51,5,15,26,,
2021-07-22,faridkot,0,0,12,1,5,4,,
2021-07-22,fatehgarh sahib,0,0,9,1,5,3,,
2021-07-22,fazilka,0,0,16,1,1,9,,
2021-07-22,firozepur,0,0,16,1,6,7,,
2021-07-22,gurdaspur,0,0,29,3,17,6,,
2021-07-22,hoshiarpur,0,0,25,1,20,3,,
2021-07-22,jalandhar,0,0,54,6,33,13,,
2021-07-22,kapurthala,0,0,12,2,5,5,,
2021-07-22,ludhiana,0,0,107,8,35,45,,
2021-07-22,mansa,0,0,27,0,12,12,,
2021-07-22,moga,0,0,10,0,6,1,,
2021-07-22,pathankot,0,0,5,1,3,1,,
2021-07-22,patiala,2,0,32,2,18,7,,
2021-07-22,rupnagar (ropar),0,0,2,0,2,0,,
2021-07-22,s.a.s nagar,0,0,13,0,9,4,,
2021-07-22,sangrur,1,0,31,1,18,10,,
2021-07-22,shahid bhagat singh nagar(nawanshahr),0,0,9,1,8,0,,
2021-07-22,sri muktsar sahib,0,0,34,2,17,8,,
2021-07-22,tarn taran,0,0,19,1,14,4,,
2021-07-22,other states,0,0,70,6,34,22,,
2021-07-22,grand total,3,0,657,51,327,203,,
2021-07-21,amritsar,0,0,60,4,39,12,,
2021-07-21,barnala,0,0,14,4,5,1,,
2021-07-21,bathinda,0,0,51,5,15,26,,
2021-07-21,faridkot,0,0,12,1,5,4,,
2021-07-21,fatehgarh sahib,0,0,9,1,5,3,,
2021-07-21,fazilka,0,0,16,1,1,9,,
2021-07-21,firozepur,0,0,16,1,6,7,,
2021-07-21,gurdaspur,0,0,29,3,17,6,,
2021-07-21,hoshiarpur,0,0,25,1,20,3,,
2021-07-21,jalandhar,0,0,54,6,33,13,,
2021-07-21,kapurthala,0,0,12,2,5,5,,
2021-07-21,ludhiana,0,0,107,8,36,44,,
2021-07-21,mansa,0,0,27,0,12,12,,
2021-07-21,moga,0,0,10,0,6,1,,
2021-07-21,pathankot,0,0,5,1,3,1,,
2021-07-21,patiala,0,0,30,2,16,7,,
2021-07-21,rupnagar (ropar),0,0,2,0,2,0,,
2021-07-21,s.a.s nagar,0,0,13,0,9,4,,
2021-07-21,sangrur,0,0,30,1,17,10,,
2021-07-21,shahid bhagat singh nagar(nawanshahr),0,0,9,1,8,0,,
2021-07-21,sri muktsar sahib,0,0,34,2,17,8,,
2021-07-21,tarn taran,0,0,19,1,14,4,,
2021-07-21,other states,0,0,70,6,34,22,,
2021-07-20,amritsar,0,0,60,4,39,12,,
2021-07-20,barnala,0,0,14,4,5,1,,
2021-07-20,bathinda,0,0,51,5,16,25,,
2021-07-20,faridkot,0,0,12,1,5,4,,
2021-07-20,fatehgarh sahib,0,0,9,1,5,3,,
2021-07-20,fazilka,0,0,16,1,1,9,,
2021-07-20,firozepur,0,0,16,1,6,7,,
2021-07-20,gurdaspur,0,0,29,3,17,6,,
2021-07-20,hoshiarpur,0,0,25,1,20,3,,
2021-07-20,jalandhar,0,0,54,6,33,13,,
2021-07-20,kapurthala,0,0,12,2,5,5,,
2021-07-20,ludhiana,0,0,107,8,36,44,,
2021-07-20,mansa,0,0,27,0,12,12,,
2021-07-20,moga,0,0,10,0,6,1,,
2021-07-20,pathankot,0,0,5,1,3,1,,
2021-07-20,patiala,0,0,30,2,16,7,,
2021-07-20,rupnagar (ropar),0,0,2,0,2,0,,
2021-07-20,s.a.s nagar,0,0,13,0,9,4,,
2021-07-20,sangrur,0,0,30,1,17,10,,
2021-07-20,shahid bhagat singh nagar(nawanshahr),0,0,9,1,8,0,,
2021-07-20,sri muktsar sahib,0,0,34,2,17,8,,
2021-07-20,tarn taran,0,0,19,1,14,4,,
2021-07-20,other states,0,0,70,6,34,22,,
2021-07-20,grand total,0,0,654,51,326,201,,
2021-07-19,amritsar,0,0,60,4,39,12,,
2021-07-19,barnala,0,0,14,4,5,1,,
2021-07-19,bathinda,0,0,51,5,17,24,,
2021-07-19,faridkot,0,0,12,1,5,4,,
2021-07-19,fatehgarh sahib,1,0,9,1,5,3,,
2021-07-19,fazilka,0,0,16,1,1,9,,
2021-07-19,firozepur,0,0,16,1,6,7,,
2021-07-19,gurdaspur,1,0,29,3,17,6,,
2021-07-19,hoshiarpur,0,0,25,1,20,3,,
2021-07-19,jalandhar,0,0,54,6,34,12,,
2021-07-19,kapurthala,0,0,12,2,5,5,,
2021-07-19,ludhiana,0,0,107,8,36,44,,
2021-07-19,mansa,0,0,27,0,12,12,,
2021-07-19,moga,0,0,10,0,6,1,,
2021-07-19,pathankot,0,0,5,1,3,1,,
2021-07-19,patiala,0,0,30,2,16,7,,
2021-07-19,rupnagar (ropar),0,0,2,0,2,0,,
2021-07-19,s.a.s nagar,0,0,13,0,9,4,,
2021-07-19,sangrur,0,0,30,1,17,10,,
2021-07-19,shahidbhagat singh nagar(nawanshahr),0,0,9,1,8,0,,
2021-07-19,sri muktsar sahib,0,0,34,2,17,8,,
2021-07-19,tarn taran,0,0,19,1,14,4,,
2021-07-19,other states,1,0,70,6,34,22,,
2021-07-19,grand total,3,0,654,51,328,199,,
2021-07-18,amritsar,0,0,60,4,39,12,,
2021-07-18,barnala,0,0,14,4,5,1,,
2021-07-18,bathinda,0,0,51,5,17,24,,
2021-07-18,faridkot,0,0,12,1,6,3,,
2021-07-18,fatehgarh sahib,0,0,8,1,4,3,,
2021-07-18,fazilka,0,0,16,1,1,9,,
2021-07-18,firozepur,0,0,16,1,6,7,,
2021-07-18,gurdaspur,0,0,28,3,16,6,,
2021-07-18,hoshiarpur,0,0,25,1,20,3,,
2021-07-18,jalandhar,1,0,54,6,34,12,,
2021-07-18,kapurthala,0,0,12,2,5,5,,
2021-07-18,ludhiana,0,0,107,8,36,44,,
2021-07-18,mansa,0,0,27,0,12,12,,
2021-07-18,moga,0,0,10,0,6,1,,
2021-07-18,pathankot,0,0,5,1,3,1,,
2021-07-18,patiala,0,0,30,2,18,5,,
2021-07-18,rupnagar (ropar),0,0,2,0,2,0,,
2021-07-18,s.a.s nagar,0,0,13,0,9,4,,
2021-07-18,sangrur,0,0,30,1,17,10,,
2021-07-18,shahid bhagat singh nagar(nawanshahr),0,0,9,1,8,0,,
2021-07-18,sri muktsar sahib,0,0,34,2,17,8,,
2021-07-18,tarn taran,0,0,19,1,13,4,,
2021-07-18,other states,0,0,69,6,33,22,,
2021-07-18,grand total,1,0,651,51,327,196,,
2021-07-17,amritsar,0,0,60,4,39,12,,
2021-07-17,barnala,0,0,14,4,5,1,,
2021-07-17,bathinda,0,0,51,5,17,24,,
2021-07-17,faridkot,0,0,12,1,6,3,,
2021-07-17,fatehgarh sahib,0,0,8,1,4,3,,
2021-07-17,fazilka,0,0,16,1,1,9,,
2021-07-17,firozepur,0,0,16,1,6,7,,
2021-07-17,gurdaspur,0,0,28,3,16,6,,
2021-07-17,hoshiarpur,0,0,25,1,20,3,,
2021-07-17,jalandhar,1,0,53,6,33,12,,
2021-07-17,kapurthala,0,0,12,2,5,5,,
2021-07-17,ludhiana,0,0,107,8,36,44,,
2021-07-17,mansa,0,0,27,0,12,12,,
2021-07-17,moga,0,0,10,0,6,1,,
2021-07-17,pathankot,0,0,5,1,3,1,,
2021-07-17,patiala,0,0,30,2,18,5,,
2021-07-17,rupnagar (ropar),0,0,2,0,2,0,,
2021-07-17,s.a.s nagar,0,0,13,0,9,4,,
2021-07-17,sangrur,0,0,30,1,17,10,,
2021-07-17,shahid bhagat singh nagar(nawanshahr),0,0,9,1,8,0,,
2021-07-17,sri muktsar sahib,0,0,34,2,17,8,,
2021-07-17,tarn taran,1,0,19,1,13,4,,
2021-07-17,other states,0,0,69,6,33,22,,
2021-07-17,grand total,2,0,650,51,326,196,,
2021-07-16,amritsar,1,0,60,4,39,12,,
2021-07-16,barnala,0,0,14,4,5,1,,
2021-07-16,bathinda,0,0,51,5,17,24,,
2021-07-16,faridkot,0,0,12,1,6,3,,
2021-07-16,fatehgarh sahib,0,0,8,1,4,3,,
2021-07-16,fazilka,0,0,16,1,2,8,,
2021-07-16,firozepur,1,0,16,1,6,7,,
2021-07-16,gurdaspur,0,0,28,3,16,6,,
2021-07-16,hoshiarpur,0,0,25,1,20,3,,
2021-07-16,jalandhar,1,0,52,6,32,12,,
2021-07-16,kapurthala,0,0,12,2,5,5,,
2021-07-16,ludhiana,0,0,107,8,36,44,,
2021-07-16,mansa,0,0,27,0,12,12,,
2021-07-16,moga,0,0,10,0,6,1,,
2021-07-16,pathankot,0,0,5,1,3,1,,
2021-07-16,patiala,0,0,30,2,18,5,,
2021-07-16,rupnagar (ropar),0,0,2,0,2,0,,
2021-07-16,s.a.s nagar,0,0,13,0,9,4,,
2021-07-16,sangrur,1,0,30,1,17,10,,
2021-07-16,shahidbhagat singh nagar(nawanshahr),0,0,9,1,8,0,,
2021-07-16,sri muktsar sahib,0,0,34,2,17,8,,
2021-07-16,tarn taran,0,0,18,1,13,4,,
2021-07-16,other states,0,0,69,6,33,22,,
2021-07-16,grand total,4,0,648,51,326,195,,
2021-07-15,amritsar,0,0,59,4,38,12,,
2021-07-15,barnala,0,0,14,4,5,1,,
2021-07-15,bathinda,0,0,51,5,16,25,,
2021-07-15,faridkot,0,0,12,1,5,3,,
2021-07-15,fatehgarh sahib,0,0,8,1,4,3,,
2021-07-15,fazilka,0,0,16,1,3,7,,
2021-07-15,firozepur,0,0,15,1,5,6,,
2021-07-15,gurdaspur,1,0,28,3,16,6,,
2021-07-15,hoshiarpur,0,0,25,1,20,3,,
2021-07-15,jalandhar,0,0,51,6,31,12,,
2021-07-15,kapurthala,0,0,12,2,5,5,,
2021-07-15,ludhiana,0,0,107,8,36,44,,
2021-07-15,mansa,1,0,27,0,12,12,,
2021-07-15,moga,0,0,10,0,6,1,,
2021-07-15,pathankot,0,0,5,1,3,1,,
2021-07-15,patiala,0,0,30,2,18,5,,
2021-07-15,rupnagar (ropar),0,0,2,0,2,0,,
2021-07-15,s.a.s nagar,0,0,13,0,9,4,,
2021-07-15,sangrur,1,0,29,1,16,10,,
2021-07-15,shahid bhagat singhnagar (nawanshahr),0,0,9,1,8,0,,
2021-07-15,sri muktsar sahib,0,0,34,2,17,9,,
2021-07-15,tarn taran,0,0,18,1,13,4,,
2021-07-15,other states,0,0,69,6,33,22,,
2021-07-15,grand total,3,0,644,51,321,195,,
2021-07-14,amritsar,0,0,59,4,38,0,,
2021-07-14,barnala,0,0,14,4,4,0,,
2021-07-14,bathinda,0,0,51,5,16,0,,
2021-07-14,faridkot,1,0,12,1,5,0,,
2021-07-14,fatehgarh sahib,0,0,8,1,4,0,,
2021-07-14,fazilka,1,0,16,1,3,0,,
2021-07-14,firozepur,0,0,15,1,5,0,,
2021-07-14,gurdaspur,0,0,27,3,15,0,,
2021-07-14,hoshiarpur,2,0,25,1,20,0,,
2021-07-14,jalandhar,0,0,51,6,31,0,,
2021-07-14,kapurthala,0,0,12,2,5,0,,
2021-07-14,ludhiana,0,0,107,8,37,0,,
2021-07-14,mansa,1,0,26,0,11,0,,
2021-07-14,moga,0,0,10,0,6,0,,
2021-07-14,pathankot,0,0,5,1,3,0,,
2021-07-14,patiala,0,0,30,2,18,0,,
2021-07-14,rupnagar (ropar),0,0,2,0,2,0,,
2021-07-14,s.a.s nagar,0,0,13,0,9,0,,
2021-07-14,sangrur,0,0,28,1,16,0,,
2021-07-14,shahid bhagat singh nagar(nawanshahr),0,0,9,1,8,0,,
2021-07-14,sri muktsar sahib,1,0,34,2,16,0,,
2021-07-14,tarn taran,0,0,18,1,13,0,,
2021-07-14,other states,0,0,69,6,34,0,,
2021-07-14,grand total,6,0,641,51,319,0,,
2021-07-13,amritsar,1,0,59,4,38,0,,
2021-07-13,barnala,0,0,14,4,5,0,,
2021-07-13,bathinda,0,0,51,5,18,0,,
2021-07-13,faridkot,0,0,11,1,4,0,,
2021-07-13,fatehgarh sahib,0,0,8,1,4,0,,
2021-07-13,fazilka,0,0,15,1,1,0,,
2021-07-13,firozepur,0,0,15,1,5,0,,
2021-07-13,gurdaspur,0,0,27,3,15,0,,
2021-07-13,hoshiarpur,0,0,23,1,18,0,,
2021-07-13,jalandhar,0,0,51,6,31,0,,
2021-07-13,kapurthala,0,0,12,2,5,0,,
2021-07-13,ludhiana,0,0,107,8,39,0,,
2021-07-13,mansa,0,0,25,0,11,0,,
2021-07-13,moga,0,0,10,0,6,0,,
2021-07-13,pathankot,0,0,5,1,3,0,,
2021-07-13,patiala,1,0,30,2,18,0,,
2021-07-13,rupnagar (ropar),0,0,2,0,2,0,,
2021-07-13,s.a.s nagar,0,0,13,0,9,0,,
2021-07-13,sangrur,0,0,28,1,16,0,,
2021-07-13,shahid bhagat singh nagar(nawanshahr),0,0,9,1,8,0,,
2021-07-13,sri muktsar sahib,0,0,33,2,18,0,,
2021-07-13,tarn taran,0,0,18,1,13,0,,
2021-07-13,other states,1,0,69,6,34,0,,
2021-07-13,grand total,3,0,635,51,321,0,,
2021-07-11,amritsar,0,0,57,4,51,0,,
2021-07-11,barnala,0,0,13,4,4,0,,
2021-07-11,bathinda,0,0,52,5,17,0,,
2021-07-11,faridkot,0,0,12,1,5,0,,
2021-07-11,fatehgarh sahib,0,0,8,1,4,0,,
2021-07-11,fazilka,0,0,15,1,1,0,,
2021-07-11,firozepur,0,0,15,1,5,0,,
2021-07-11,gurdaspur,0,0,27,3,21,0,,
2021-07-11,hoshiarpur,1,0,23,1,18,0,,
2021-07-11,jalandhar,1,0,52,6,31,0,,
2021-07-11,kapurthala,0,0,12,2,5,0,,
2021-07-11,ludhiana,0,0,107,8,39,0,,
2021-07-11,mansa,0,0,25,0,10,0,,
2021-07-11,moga,0,0,10,0,6,0,,
2021-07-11,pathankot,0,0,5,1,3,0,,
2021-07-11,patiala,0,0,29,2,17,0,,
2021-07-11,rupnagar (ropar),0,0,2,0,2,0,,
2021-07-11,s.a.s nagar,0,0,13,0,9,0,,
2021-07-11,sangrur,0,0,28,1,16,0,,
2021-07-11,shahid bhagat singh nagar(nawanshahr),0,0,9,1,8,0,,
2021-07-11,sri muktsar sahib,0,0,33,2,16,0,,
2021-07-11,tarn taran,0,0,18,1,17,0,,
2021-07-11,other states,1,0,68,6,36,0,,
2021-07-11,grand total,3,0,633,51,341,0,,
2021-07-10,amritsar,1,0,57,4,51,0,,
2021-07-10,barnala,0,0,13,4,4,0,,
2021-07-10,bathinda,0,0,52,5,17,0,,
2021-07-10,faridkot,0,0,12,1,5,0,,
2021-07-10,fatehgarh sahib,0,0,8,1,4,0,,
2021-07-10,fazilka,0,0,15,1,2,0,,
2021-07-10,firozepur,0,0,15,1,5,0,,
2021-07-10,gurdaspur,0,0,27,3,21,0,,
2021-07-10,hoshiarpur,0,0,22,1,17,0,,
2021-07-10,jalandhar,0,0,51,6,30,0,,
2021-07-10,kapurthala,0,0,12,2,5,0,,
2021-07-10,ludhiana,0,0,107,8,40,0,,
2021-07-10,mansa,0,0,25,0,11,0,,
2021-07-10,moga,0,0,10,0,6,0,,
2021-07-10,pathankot,0,0,5,1,3,0,,
2021-07-10,patiala,0,0,29,2,17,0,,
2021-07-10,rupnagar (ropar),0,0,2,0,2,0,,
2021-07-10,s.a.s nagar,0,0,13,0,9,0,,
2021-07-10,sangrur,0,0,28,1,16,0,,
2021-07-10,shahid bhagat singh nagar(nawanshahr),0,0,9,1,8,0,,
2021-07-10,sri muktsar sahib,1,0,33,2,16,0,,
2021-07-10,tarn taran,0,0,18,1,17,0,,
2021-07-10,other states,0,0,67,6,35,0,,
2021-07-10,grand total,2,0,630,51,341,0,,
2021-07-09,amritsar,1,0,56,4,50,0,,
2021-07-09,barnala,0,0,13,4,4,0,,
2021-07-09,bathinda,0,0,52,5,17,0,,
2021-07-09,faridkot,0,0,12,1,5,0,,
2021-07-09,fatehgarh sahib,0,0,8,1,4,0,,
2021-07-09,fazilka,0,0,15,1,2,0,,
2021-07-09,firozepur,0,0,15,1,5,0,,
2021-07-09,gurdaspur,-1,0,27,3,21,0,,
2021-07-09,hoshiarpur,1,0,22,1,17,0,,
2021-07-09,jalandhar,4,0,51,6,30,0,,
2021-07-09,kapurthala,0,0,12,2,5,0,,
2021-07-09,ludhiana,0,0,107,8,40,0,,
2021-07-09,mansa,0,0,25,0,11,0,,
2021-07-09,moga,0,0,10,0,6,0,,
2021-07-09,pathankot,0,0,5,1,3,0,,
2021-07-09,patiala,0,0,29,2,17,0,,
2021-07-09,rupnagar (ropar),0,0,2,0,2,0,,
2021-07-09,s.a.s nagar,0,0,13,0,9,0,,
2021-07-09,sangrur,0,0,28,1,16,0,,
2021-07-09,shahid bhagat singh nagar(nawanshahr),0,0,9,1,8,0,,
2021-07-09,sri muktsar sahib,0,0,32,2,15,0,,
2021-07-09,tarn taran,0,0,18,1,17,0,,
2021-07-09,other states,0,0,67,6,35,0,,
2021-07-09,grand total,5,0,628,51,339,0,,
2021-07-08,amritsar,0,0,55,4,49,0,,
2021-07-08,barnala,0,0,13,4,4,0,,
2021-07-08,bathinda,0,0,52,5,18,0,,
2021-07-08,faridkot,0,0,12,1,5,0,,
2021-07-08,fatehgarh sahib,0,0,8,1,4,0,,
2021-07-08,fazilka,0,0,15,1,3,0,,
2021-07-08,firozepur,0,0,15,1,5,0,,
2021-07-08,gurdaspur,0,0,28,3,22,0,,
2021-07-08,hoshiarpur,0,0,21,1,16,0,,
2021-07-08,jalandhar,0,0,47,6,26,0,,
2021-07-08,kapurthala,0,0,12,2,5,0,,
2021-07-08,ludhiana,0,0,107,8,40,0,,
2021-07-08,mansa,0,0,25,0,12,0,,
2021-07-08,moga,0,0,10,0,6,0,,
2021-07-08,pathankot,0,0,5,1,3,0,,
2021-07-08,patiala,0,0,29,2,17,0,,
2021-07-08,rupnagar (ropar),0,0,2,0,2,0,,
2021-07-08,s.a.s nagar,0,0,13,0,9,0,,
2021-07-08,sangrur,1,0,28,1,16,0,,
2021-07-08,shahid bhagat singh nagar(nawanshahr),0,0,9,1,8,0,,
2021-07-08,sri muktsar sahib,0,0,32,2,15,0,,
2021-07-08,tarn taran,0,0,18,1,17,0,,
2021-07-08,other states,0,0,67,6,35,0,,
2021-07-08,grand total,1,0,623,51,337,0,,
2021-07-07,amritsar,1,0,55,4,49,0,,
2021-07-07,barnala,0,0,13,4,4,0,,
2021-07-07,bathinda,0,0,52,5,20,0,,
