date,total_positives,total_asymptomatic,perc_asymptomatic,total_symptomatic,perc_symptomatic
2020-09-23,177070,123949.0,70.0,53121.0,30.0
2020-10-06,202594,141816.0,70.0,60778.0,30.0
2020-10-07,204748,143324.0,70.0,61424.0,30.0
2020-10-08,206644,144651.0,70.0,61993.0,30.0
2020-10-09,208535,145974.0,70.0,62561.0,30.0
2020-10-10,210346,147242.0,70.0,63104.0,30.0
2020-10-11,212063,148444.0,70.0,63619.0,30.0
2020-10-12,213084,149159.0,70.0,63925.0,30.0
2020-10-13,214792,150354.0,70.0,64438.0,30.0
2020-10-14,216238,151367.0,70.0,64871.0,30.0
2020-10-15,217670,152369.0,70.0,65301.0,30.0
2020-10-16,219224,153457.0,70.0,65767.0,30.0
2020-10-17,220675,154472.0,70.0,66203.0,30.0
2020-10-19,223059,156141.0,70.0,66918.0,30.0
2020-10-21,226124,158287.0,70.0,67837.0,30.0
2020-10-22,227580,159306.0,70.0,68274.0,30.0
2020-10-23,229001,160301.0,70.0,68700.0,30.0
2020-10-24,230274,161192.0,70.0,69082.0,30.0
2020-10-25,231252,161876.0,70.0,69376.0,30.0
2020-10-26,231834,162284.0,70.0,69550.0,30.0
2020-10-27,232671,162870.0,70.0,69801.0,30.0
2020-10-28,234152,163906.0,70.0,70246.0,30.0
2020-10-29,235656,164959.0,70.0,70697.0,30.0
2020-10-30,237187,166031.0,70.0,71156.0,30.0
2020-11-01,240048,168034.0,70.0,72014.0,30.0
2020-11-02,240970,168679.0,70.0,72291.0,30.0
2020-11-03,242506,169754.0,70.0,72752.0,30.0
2020-11-04,244143,170900.0,70.0,73243.0,30.0
2020-11-05,245682,171977.0,70.0,73705.0,30.0
2020-11-06,247284,173099.0,70.0,74185.0,30.0
2020-11-07,248891,174224.0,70.0,74667.0,30.0
2020-11-08,250331,175232.0,70.0,75099.0,30.0
2020-11-09,251188,175832.0,70.0,75356.0,30.0
2020-11-10,252455,176719.0,70.0,75736.0,30.0
2020-11-11,253651,177556.0,70.0,76095.0,30.0
2020-11-12,254666,178267.0,70.0,76399.0,30.0
2020-11-13,255663,178964.0,70.0,76699.0,30.0
2020-11-14,256713,179699.0,70.0,77014.0,30.0
2020-11-15,257374,180162.0,70.0,77212.0,30.0
2020-11-16,257876,180513.0,70.0,77363.0,30.0
2020-11-17,258828,181179.0,70.0,77649.0,30.0
2020-11-18,259776,181843.0,70.0,77933.0,30.0
2020-11-19,260834,182584.0,70.0,78250.0,30.0
2020-11-20,261728,183210.0,70.0,78518.0,30.0
2020-11-21,262653,183857.0,70.0,78796.0,30.0
2020-11-22,263526,184468.0,70.0,79058.0,30.0
2020-11-23,264128,184890.0,70.0,79238.0,30.0
2020-11-24,265049,185534.0,70.0,79515.0,30.0
2020-11-25,266042,186229.0,70.0,79812.0,30.0
2020-11-26,266904,186833.0,70.0,80071.0,30.0
2020-11-27,267665,187366.0,70.0,80299.0,30.0
2020-11-28,268418,187893.0,70.0,80525.0,30.0
2020-11-29,269223,188456.0,70.0,80767.0,30.0
2020-11-30,269816,188871.0,70.0,80945.0,30.0
2020-12-10,275904,193132.0,70.0,82772.0,30.0
2020-12-11,276516,193561.0,70.0,82955.0,30.0
2020-12-12,277151,194006.0,70.0,83145.0,30.0
2020-12-13,277724,194407.0,70.0,83317.0,30.0
2020-12-14,278108,194676.0,70.0,83432.0,30.0
2020-12-15,278599,195019.0,70.0,83579.0,30.0
2020-12-16,279135,195394.0,70.0,83741.0,30.0
2020-12-17,279644,195751.0,70.0,83893.0,30.0
2020-12-18,280195,196136.0,70.0,84059.0,30.0
2020-12-19,280822,196575.0,70.0,84247.0,30.0
2020-12-20,281414,196990.0,70.0,84424.0,30.0
2020-12-21,281730,197211.0,70.0,84519.0,30.0
2020-12-22,282347,197643.0,70.0,84704.0,30.0
2020-12-23,282982,198087.0,70.0,84894.0,30.0
2020-12-24,283556,198489.0,70.0,85067.0,30.0
2020-12-25,284074,198851.0,70.0,85222.0,30.0
2020-12-26,284391,199074.0,70.0,85317.0,30.0
2020-12-27,284863,199404.0,70.0,85459.0,30.0
2020-12-28,285068,199547.0,70.0,85521.0,30.0
2020-12-29,285465,199826.0,70.0,85639.0,30.0
2020-12-30,285939,200158.0,70.0,85781.0,30.0
2021-01-01,286815,200771.0,70.0,86044.0,30.0
2021-01-02,287108,200976.0,70.0,86132.0,30.0
2021-01-03,287502,201251.0,70.0,86251.0,30.0
2021-01-04,287740,201418.0,70.0,86322.0,30.0
2021-01-05,287993,201595.0,70.0,86398.0,30.0
2021-01-06,288410,201887.0,70.0,86523.0,30.0
2021-01-07,288789,202152.0,70.0,86637.0,30.0
2021-01-08,289135,202394.0,70.0,86741.0,30.0
2021-01-09,289433,202603.0,70.0,86830.0,30.0
2021-01-10,289784,202848.0,70.0,86936.0,30.0
2021-01-11,290008,203006.0,70.0,87002.0,30.0
2021-01-12,290309,203216.0,70.0,87093.0,30.0
2021-01-13,290640,203448.0,70.0,87192.0,30.0
2021-01-14,290916,203641.0,70.0,87275.0,30.0
2021-01-15,291118,203782.0,70.0,87336.0,30.0
2021-01-16,291367,203957.0,70.0,87410.0,30.0
2021-01-17,291666,204166.0,70.0,87500.0,30.0
2021-01-18,291872,204310.0,70.0,87562.0,30.0
2021-01-19,292128,204489.0,70.0,87639.0,30.0
2021-01-20,292395,204677.0,70.0,87718.0,30.0
2021-01-21,292621,204835.0,70.0,87786.0,30.0
2021-01-22,292835,204984.0,70.0,87851.0,30.0
2021-01-23,293056,205139.0,70.0,87917.0,30.0
2021-01-24,293253,205277.0,70.0,87976.0,30.0
2021-01-25,293401,205381.0,70.0,88020.0,30.0
2021-01-26,293590,205513.0,70.0,88077.0,30.0
2021-01-27,293737,205616.0,70.0,88121.0,30.0
2021-01-28,293923,205746.0,70.0,88177.0,30.0
2021-01-29,294120,205884.0,70.0,88236.0,30.0
2021-02-01,294587,206211.0,70.0,88376.0,30.0
2021-02-02,294739,206317.0,70.0,88422.0,30.0
2021-02-03,294924,206447.0,70.0,88477.0,30.0
2021-02-04,295101,206571.0,70.0,88530.0,30.0
2021-02-05,295270,206689.0,70.0,88581.0,30.0
2021-02-06,295431,206802.0,70.0,88629.0,30.0
2021-02-07,295581,206907.0,70.0,88674.0,30.0
2021-02-08,295682,206977.0,70.0,88705.0,30.0
2021-02-09,295831,207081.0,70.0,88750.0,30.0
2021-02-10,295988,207191.0,70.0,88797.0,30.0
2021-02-11,296134,207294.0,70.0,88840.0,30.0
2021-02-12,296277,207394.0,70.0,88883.0,30.0
2021-02-13,296428,207499.0,70.0,88929.0,30.0
2021-02-14,296574,207602.0,70.0,88972.0,30.0
2021-02-15,296673,207671.0,70.0,89002.0,30.0
2021-02-16,296802,207762.0,70.0,89040.0,30.0
2021-02-17,296950,207865.0,70.0,89085.0,30.0
2021-02-18,297113,207979.0,70.0,89134.0,30.0
2021-02-19,297278,208095.0,70.0,89183.0,30.0
2021-02-26,298453,208917.0,70.0,89536.0,30.0
2021-02-27,298631,209042.0,70.0,89589.0,30.0
2021-03-01,298923,209246.0,70.0,89677.0,30.0
2021-03-02,299086,209360.0,70.0,89726.0,30.0
2021-03-03,299254,209478.0,70.0,89776.0,30.0
2021-03-04,299406,209584.0,70.0,89822.0,30.0
2021-03-05,299572,209700.0,70.0,89872.0,30.0
2021-03-06,299742,209819.0,70.0,89923.0,30.0
2021-03-07,299900,209930.0,70.0,89970.0,30.0
2021-03-08,300011,210007.0,70.0,90004.0,30.0
2021-03-09,300153,210107.0,70.0,90046.0,30.0
2021-03-10,300342,210239.0,70.0,90103.0,30.0
2021-03-11,300536,210375.0,70.0,90161.0,30.0
2021-03-12,300717,210502.0,70.0,90215.0,30.0
2021-03-13,300933,210653.0,70.0,90280.0,30.0
2021-03-14,301161,210812.0,70.0,90349.0,30.0
2021-03-15,301318,210923.0,70.0,90395.0,30.0
2021-03-16,301522,211065.0,70.0,90457.0,30.0
2021-03-17,301769,211238.0,70.0,90531.0,30.0
2021-03-18,302047,211433.0,70.0,90614.0,30.0
2021-03-19,302360,211652.0,70.0,90708.0,30.0
2021-03-20,302724,211907.0,70.0,90817.0,30.0
2021-03-21,303118,212183.0,70.0,90935.0,30.0
2021-03-22,303455,212419.0,70.0,91036.0,30.0
2021-03-23,303867,212707.0,70.0,91160.0,30.0
2021-03-24,304298,213009.0,70.0,91289.0,30.0
2021-03-25,304791,213354.0,70.0,91437.0,30.0
2021-03-26,305309,213716.0,70.0,91593.0,30.0
2021-03-27,305804,214063.0,70.0,91741.0,30.0
2021-03-28,306339,214437.0,70.0,91902.0,30.0
2021-03-29,306742,214719.0,70.0,92023.0,30.0
2021-03-30,307205,,80.0,,20.0
2021-03-31,307889,,79.1,,20.9
2021-04-01,308776,,79.9,,20.1
2021-04-02,309741,,78.1,,21.9
2021-04-03,310819,,79.5,,20.5
2021-04-04,312140,,78.5,,21.5
2021-04-05,313237,,79.8,,20.2
2021-04-06,314735,,80.1,,19.9
2021-04-07,316649,,78.9,,21.1
2021-04-08,318704,,79.2,,20.8
2021-04-09,321182,,80.2,,19.8
2021-04-10,324091,,79.5,,20.5
2021-04-11,327278,,80.1,,19.9
2021-04-12,329529,,79.8,,20.2
2021-04-13,332581,,80.8,,19.2
2021-04-14,334738,,79.8,,20.2
2021-04-15,338045,,80.8,,19.2
2021-04-16,341885,,80.5,,19.5
2021-04-17,346331,,80.9,,19.1
2021-04-18,351424,,80.5,,19.8
2021-04-19,355433,,80.9,,19.1
2021-04-20,361359,,81.1,,18.9
2021-04-21,367901,,80.1,,19.9
2021-04-22,373468,,79.5,,20.5
2021-04-23,379494,,80.5,,19.5
2021-04-24,387106,,80.1,,19.9
2021-04-25,395232,,79.5,,20.5
2021-04-26,401783,,79.9,,20.1
2021-04-27,411905,,79.5,,20.5
2021-04-28,419966,,80.1,,19.9
2021-04-29,427960,,80.3,,19.7
2021-04-30,435606,,79.8,,20.2
2021-05-02,450790,,79.8,,20.2
2021-05-03,456485,,79.5,,20.5
2021-05-04,463361,,79.8,,20.2
2021-05-05,469722,,80.1,,19.9
2021-05-06,475748,,80.0,,20.0
2021-05-07,481640,,79.8,,20.2
2021-05-08,492385,,79.8,,20.2
2021-05-09,497361,,79.9,,20.1
2021-05-10,502187,,79.5,,20.5
2021-05-11,506988,,79.9,,20.1
2021-05-12,511711,,79.5,,20.5
2021-05-13,516404,,79.8,,20.2
2021-05-14,520709,,79.9,,20.1
2021-05-15,525007,,79.9,,20.1
2021-05-16,528823,,79.8,,20.2
2021-05-17,532784,,79.9,,20.1
2021-05-18,536766,,79.8,,20.2
2021-05-19,540603,,79.7,,20.3
2021-05-20,544263,,79.8,,20.2
2021-05-21,547727,,79.9,,20.1
2021-05-22,551035,,79.8,,20.2
2021-05-23,553277,,79.9,,20.1
2021-05-24,556320,,79.9,,20.1
2021-05-25,560141,,79.8,,20.2
2021-05-26,563903,,79.9,,20.1
2021-05-27,567517,,79.8,,20.2
2021-05-28,571044,,79.9,,20.1
2021-05-29,574026,,79.9,,20.1
2021-05-30,575827,,79.9,,20.1
2021-05-31,578351,,79.7,,20.3
2021-06-01,580844,,79.8,,20.2
2021-06-02,583228,,79.9,,20.1
2021-06-03,585489,,79.8,,20.2
2021-06-04,587664,,79.7,,20.3
2021-06-05,589734,,79.8,,
2021-06-06,591170,,79.9,,20.1
2021-06-07,593103,,79.8,,20.2
2021-06-08,595000,,79.9,,20.1
2021-06-09,596813,,79.8,,20.2
2021-06-10,598611,,79.7,,20.3
2021-06-11,600318,,79.9,,20.1
2021-06-12,602089,,79.8,,20.2
2021-06-13,603369,,79.9,,20.1
2021-06-14,604880,,79.8,,20.2
2021-06-15,606436,,79.9,,20.1
2021-06-16,607925,,79.8,,20.2
2021-06-17,609417,,79.9,,20.1
2021-06-18,610834,,79.8,,20.2
2021-06-19,612196,,79.9,,20.1
2021-06-20,613202,,79.7,,20.3
2021-06-21,614399,,79.8,,20.2
2021-06-22,615574,,79.9,,20.1
2021-06-23,616688,,79.8,,20.2
2021-06-24,617776,,79.9,,20.1
2021-06-25,618837,,79.8,,20.2
2021-06-26,619865,,79.9,,20.1
2021-06-27,620613,,79.9,,20.1
2021-06-28,112982,,79.8,,20.2
2021-06-29,622593,,79.8,,20.2
2021-06-30,623510,,79.9,,20.1
2021-07-01,624379,,79.9,,20.1
2021-07-02,625237,,79.9,,20.1
2021-07-03,626085,,79.8,,20.2
2021-07-04,626690,,79.9,,20.1
2021-07-05,627498,,79.8,,20.2
2021-07-06,628282,,79.8,,20.2
2021-07-07,629054,,79.8,,20.2
2021-07-08,629785,,79.8,,20.2
2021-07-09,630514,,79.8,,20.2
2021-07-10,631218,,79.8,,20.2
2021-07-11,631683,,79.9,,20.1
2021-07-12,632379,,79.8,,20.2
2021-07-13,633146,,79.9,,20.1
2021-07-14,633895,,79.9,,20.1
2021-07-15,634605,,79.8,,20.2
2021-07-16,635320,,79.9,,20.1
2021-07-17,636049,,79.8,,20.2
2021-07-18,636627,,79.9,,20.1
2021-07-19,637373,,79.8,,20.2
2021-07-20,638030,,79.9,,20.1
2021-07-21,638721,,79.9,,20.1
2021-07-22,639369,,79.8,,20.2
2021-07-23,640012,,79.7,,
2021-07-24,640659,,79.8,,20.2
2021-07-25,641153,,79.9,,20.1
2021-07-26,641791,,79.8,,20.2
2021-07-27,642436,,79.9,,20.1
2021-07-28,643093,,79.8,,20.2
2021-07-29,643716,,79.9,,20.1
2021-07-30,644330,,79.8,,20.2
2021-08-01,645406,,79.8,,20.2
2021-08-02,645997,,79.9,,20.1
2021-08-03,646606,,79.8,,20.2
2021-08-04,647229,,79.9,,20.1
2021-08-08,649406,,79.7,,20.3
2021-08-09,649859,,79.9,,20.1
2021-08-10,650353,,79.8,,20.2
2021-08-11,650835,,79.8,,20.2
2021-08-12,651288,,79.9,,20.1
2021-08-13,651715,,79.8,,20.2
2021-08-14,652135,,79.8,,20.2
2021-08-15,652380,,79.9,,20.1
2021-08-16,652785,,79.8,,20.2
2021-08-17,653202,,79.9,,20.1
2021-08-18,653626,,79.8,,20.2
2021-08-19,654035,,79.9,,20.1
2021-08-20,654394,,79.8,,20.2
2021-08-21,654758,,79.9,,20.1
2021-08-22,654989,,79.8,,20.2
2021-08-23,655343,,79.9,,20.1
2021-08-24,655732,,79.9,,20.1
2021-08-25,656098,,79.8,,20.2
2021-08-26,656455,,79.9,,20.1
2021-08-27,656794,,79.8,,20.2
2021-08-28,657119,,79.8,,20.2
2021-08-29,657376,,79.9,,20.1
2021-08-30,657716,,79.8,,20.2
2021-09-01,658376,,79.8,,20.2
2021-09-02,658689,,79.9,,20.1
2021-09-03,659007,,79.8,,20.2
2021-09-04,659313,,79.8,,20.2
2021-09-05,659543,,79.9,,20.1
2021-09-06,659844,,79.8,,20.2
2021-09-07,660142,,79.9,,20.1
2021-09-08,660471,,79.8,,20.2
2021-09-09,660786,,79.9,,20.1
2021-09-10,661006,,79.8,,20.2
2021-09-11,661302,,79.9,,20.1
2021-09-12,661551,,79.8,,20.2
2021-09-13,661866,,79.9,,20.1
2021-09-14,662202,,79.8,,20.2
2021-09-15,662526,,79.9,,20.1
2021-09-16,662785,,79.8,,20.2
2021-09-17,662785,,79.8,,20.2
2021-09-18,663281,,79.8,,20.2
2021-09-19,663454,,79.9,,20.1
2021-09-20,663662,,79.8,,20.2
2021-09-21,663906,,79.9,,20.1
2021-09-22,664164,,79.9,,20.1
2020-09-02,130589,90106.0,69.0,40483.0,31.0
2020-09-03,133406,92050.0,69.0,41356.0,31.0
2020-09-01,127697,88111.0,69.0,39586.0,31.0
2020-09-04,135884,93760.0,69.0,42124.0,31.0
2020-09-05,138395,95493.0,69.0,42902.0,31.0
2020-09-06,140969,97269.0,69.0,43700.0,31.0
2020-09-08,145163,100162.0,69.0,45001.0,31.0
2020-09-09,147642,101873.0,69.0,45769.0,31.0
2020-09-10,150176,103621.0,69.0,46555.0,31.0
2020-09-11,152602,105295.0,69.0,47307.0,31.0
2020-09-12,154880,106867.0,69.0,48013.0,31.0
2020-09-13,157096,108396.0,69.0,48700.0,31.0
2020-09-14,158513,109374.0,69.0,49139.0,31.0
2020-09-15,160571,112400.0,70.0,48171.0,30.0
2020-09-16,162844,113991.0,70.0,48853.0,30.0
2020-09-17,165003,115502.0,70.0,49501.0,30.0
2020-09-18,167046,116932.0,70.0,50114.0,30.0
2020-09-19,169169,118418.0,70.0,50751.0,30.0
2020-09-20,171306,119914.0,70.0,51392.0,30.0
2020-09-21,172608,120826.0,70.0,51782.0,30.0
2020-09-22,174774,122342.0,70.0,52432.0,30.0
2020-09-24,179246,125472.0,70.0,53774.0,30.0
2020-09-25,181627,127139.0,70.0,54488.0,30.0
2020-09-26,183866,128706.0,70.0,55160.0,30.0
2020-09-27,185833,130083.0,70.0,55750.0,30.0
2020-09-28,187211,131048.0,70.0,56163.0,30.0
2020-09-29,189283,132498.0,70.0,56785.0,30.0
2020-09-30,191386,133970.0,70.0,57416.0,30.0
2020-10-01,193600,135520.0,70.0,58080.0,30.0
2020-10-02,195609,136926.0,70.0,58683.0,30.0
2020-10-03,197327,138129.0,70.0,59198.0,30.0
2020-10-04,199276,139493.0,70.0,59783.0,30.0
2020-10-05,200611,140428.0,70.0,60183.0,30.0
2020-10-18,222111,155478.0,70.0,66633.0,30.0
2020-10-20,224545,157181.0,70.0,67364.0,30.0
2021-02-20,297435,208204.0,70.0,89231.0,30.0
2021-02-21,297598,208319.0,70.0,89279.0,30.0
2021-02-22,297712,208398.0,70.0,89314.0,30.0
2021-02-23,297861,208502.0,70.0,89359.0,30.0
2021-02-24,298057,208640.0,70.0,89417.0,30.0
2021-02-25,298264,208785.0,70.0,89479.0,30.0
2021-09-24,664650,,79.9,,20.1
2021-09-25,664898,,79.9,,20.1
2021-09-27,665284,,79.8,,20.2
2021-09-28,665504,,79.9,,20.1
2021-09-29,665749,,79.9,,20.1
2021-09-30,665963,,79.9,,20.1
2021-10-01,666183,,79.8,,20.2
2021-10-02,666384,,79.8,,20.2
2021-10-03,666546,,79.9,,20.1
2021-10-04,666753,,79.8,,20.2
2021-10-05,666971,,79.9,,20.1
2021-10-06,667158,,79.9,,20.1
2021-10-07,667334,,79.8,,20.2
2021-10-08,667535,,79.9,,20.1
2021-10-09,667725,,79.8,,20.2
2021-10-10,667887,,79.9,,20.1
2021-10-11,668070,,79.9,,20.1
2021-10-12,668266,,79.8,,20.2
2021-10-13,668450,,79.7,,20.3
2021-10-14,668618,,79.8,,20.2
2021-10-15,668722,,79.9,,20.1
2021-10-16,668833,,79.9,,20.1
2021-10-17,668955,,79.9,,20.1
2021-10-19,669365,,79.9,,20.1
2021-10-20,669556,,79.8,,20.2
2021-10-21,669739,,79.8,,20.2
2021-10-22,669932,,79.9,,20.1
2021-10-23,670139,,79.8,,20.2
2021-10-25,670453,,79.9,,20.1
2021-10-26,670643,,79.9,,20.1
2021-10-27,670829,,79.8,,20.2
2021-10-28,671000,,79.9,,20.1
2021-11-13,673469,,79.8,,20.2
2021-11-14,673574,,79.8,,20.2
2021-11-15,673722,,79.8,,20.2
2021-11-16,673889,,79.8,,20.2
2021-11-18,674181,,79.7,,20.3
2021-11-19,674318,,79.8,,20.2
2021-11-20,674452,,79.9,,20.1
2021-11-21,674555,,79.8,,20.2
2021-11-22,674692,,79.9,,20.1
2021-11-23,674845,,79.8,,20.2
2021-11-24,675001,,79.7,,20.3
2021-11-25,675148,,79.7,,20.3
2021-11-26,675319,,79.8,,20.2
2021-11-27,675479,,79.8,,20.2
2021-11-28,675614,,79.8,,20.2
2021-11-29,675798,,79.9,,20.1
2021-12-01,676187,,79.9,,20.1
2021-12-02,676376,,79.9,,20.1
