date,comorbidities_government_dme,comorbidities_government_dms,comorbidities_private,comorbidities_other_government_institutions,comorbidities_total,no_comorbidities_government_dme,no_comorbidities_government_dms,no_comorbidities_private,no_comorbidities_other_government_institutions,no_comorbidities_total
2021-04-18,12.0,2.0,20.0,,37.0,3,1,1,,5
2021-04-19,11.0,6.0,22.0,,40.0,4,0,0,,4
2021-04-20,9.0,4.0,23.0,,41.0,2,0,3,,7
2021-04-21,15.0,3.0,29.0,,50.0,0,0,3,,3
2021-04-22,14.0,1.0,34.0,,51.0,3,0,5,,8
2021-04-23,19.0,3.0,39.0,,66.0,6,0,5,,12
2021-04-24,19.0,9.0,36.0,,67.0,7,1,5,,13
2021-04-25,21.0,2.0,46.0,,70.0,7,0,5,,12
2021-04-26,33.0,7.0,37.0,,80.0,6,1,7,,14
2021-04-27,31.0,2.0,26.0,,63.0,9,0,5,,14
2021-04-28,36.0,5.0,41.0,,84.0,8,0,6,,14
2021-04-29,40.0,3.0,36.0,,88.0,8,0,10,,19
2021-04-30,27.0,7.0,42.0,,83.0,15,5,10,,30
2021-05-01,51.0,11.0,43.0,,114.0,18,3,12,,33
2021-05-02,41.0,13.0,58.0,,113.0,14,2,23,,40
2021-05-03,42.0,6.0,43.0,,100.0,15,1,3,,22
2021-05-04,53.0,5.0,48.0,,110.0,21,3,10,,34
2021-05-05,50.0,16.0,58.0,,133.0,19,0,15,,34
2021-05-06,51.0,7.0,67.0,,150.0,24,5,14,,45
2021-05-07,62.0,18.0,59.0,,150.0,27,5,14,,47
2021-05-08,70.0,22.0,79.0,,180.0,40,9,11,,61
2021-05-09,69.0,32.0,74.0,,189.0,27,9,11,,47
2021-05-10,65.0,17.0,75.0,,174.0,27,6,23,,58
2021-05-11,105.0,14.0,84.0,,220.0,51,3,22,,78
2021-05-12,83.0,24.0,110.0,,226.0,31,11,21,,67
2021-05-14,64.0,29.0,101.0,,220.0,34,4,29,,68
2021-05-15,94.0,17.0,98.0,,228.0,41,3,27,,75
2021-05-16,86.0,14.0,121.0,,227.0,51,5,27,,84
2021-05-17,89.0,20.0,126.0,,257.0,44,5,26,,78
2021-05-18,88.0,25.0,149.0,,273.0,54,14,23,,91
2021-05-19,106.0,18.0,156.0,,293.0,40,9,22,,72
2021-05-20,106.0,32.0,149.0,,300.0,52,7,36,,97
2021-05-21,139.0,35.0,140.0,,339.0,76,18,28,,128
2021-05-22,120.0,33.0,140.0,,323.0,73,21,29,,125
2021-05-23,115.0,39.0,148.0,,308.0,58,20,34,,114
2021-05-24,97.0,50.0,145.0,,301.0,42,28,32,,103
2021-05-26,125.0,46.0,158.0,,347.0,68,19,39,,128
2021-05-27,136.0,44.0,161.0,,349.0,58,27,38,,125
2021-05-30,152.0,44.0,155.0,,364.0,59,21,44,,129
2021-06-02,137.0,62.0,158.0,,368.0,42,25,46,,115
2021-06-03,132.0,39.0,167.0,,353.0,52,8,46,,107
2021-06-04,145.0,50.0,151.0,,361.0,40,20,39,,102
2021-06-05,136.0,56.0,139.0,,345.0,49,20,27,,98
2021-06-06,138.0,51.0,131.0,,324.0,56,19,35,,110
2021-06-07,140.0,44.0,77.0,,268.0,41,16,26,,83
2021-06-08,131.0,41.0,118.0,,302.0,60,12,32,,107
2021-06-09,103.0,58.0,129.0,,311.0,32,16,40,,94
2021-06-10,118.0,43.0,106.0,,279.0,30,19,29,,79
2021-06-11,118.0,50.0,109.0,,298.0,37,13,29,,80
2021-06-12,119.0,27.0,95.0,,273.0,40,16,35,,101
2021-06-13,93.0,41.0,61.0,,198.0,35,13,19,,69
2021-06-14,71.0,34.0,89.0,,197.0,22,15,19,,57
2021-06-15,76.0,35.0,89.0,,204.0,21,12,30,,63
2021-06-16,64.0,53.0,85.0,,206.0,23,14,21,,64
2021-06-17,57.0,18.0,90.0,,166.0,18,7,19,,44
2021-06-18,59.0,39.0,111.0,,220.0,16,14,34,,67
2021-06-19,41.0,29.0,52.0,,135.0,13,10,18,,45
2021-06-20,62.0,31.0,60.0,,154.0,9,2,16,,28
2021-06-21,60.0,25.0,62.0,,151.0,9,9,20,,38
2021-06-23,72.0,13.0,43.0,,131.0,18,3,14,,35
2021-06-24,54.0,20.0,46.0,,127.0,10,6,11,,28
2021-06-25,63.0,15.0,47.0,,125.0,12,5,8,,25
2021-06-26,57.0,30.0,41.0,,131.0,6,4,7,,17
2021-06-28,39.0,12.0,25.0,,76.0,6,4,12,,22
2021-06-29,47.0,6.0,40.0,,94.0,12,5,7,,24
2021-06-30,43.0,14.0,30.0,,97.0,8,2,4,,16
2021-07-01,50.0,14.0,20.0,,85.0,10,3,4,,17
2021-07-02,55.0,5.0,16.0,,79.0,9,2,7,,18
2021-07-03,57.0,10.0,17.0,,98.0,9,3,5,,17
2021-07-04,32.0,11.0,12.0,,57.0,7,2,6,,15
2021-07-05,25.0,5.0,16.0,,46.0,5,0,3,,8
2021-07-06,43.0,5.0,16.0,,64.0,5,2,2,,9
2021-07-07,29.0,9.0,16.0,,54.0,7,1,2,,10
2021-07-08,25.0,13.0,12.0,,50.0,5,1,1,,7
2021-07-09,28.0,13.0,15.0,,60.0,2,2,3,,9
2021-07-10,29.0,4.0,6.0,,40.0,9,0,0,,9
2021-07-11,22.0,1.0,12.0,,38.0,6,0,3,,9
2021-07-13,21.0,4.0,12.0,,37.0,8,1,2,,11
2021-07-14,16.0,5.0,11.0,,35.0,10,2,5,,20
2021-07-15,16.0,8.0,9.0,,36.0,8,3,2,,13
2021-07-16,17.0,6.0,16.0,,40.0,3,1,2,,6
2021-07-17,14.0,6.0,11.0,,32.0,6,3,2,,11
2021-07-19,10.0,4.0,8.0,,22.0,3,3,0,,6
2021-07-20,10.0,7.0,8.0,,26.0,3,1,0,,4
2021-07-21,9.0,7.0,8.0,,24.0,1,0,2,,3
2021-07-22,13.0,2.0,9.0,,26.0,2,0,1,,3
2021-07-23,9.0,4.0,5.0,,21.0,2,0,1,,3
2021-07-24,17.0,2.0,5.0,,26.0,0,1,0,,1
2021-07-25,16.0,1.0,3.0,,21.0,1,0,0,,1
2021-07-26,13.0,2.0,5.0,,20.0,6,0,0,,6
2021-07-27,18.0,3.0,6.0,,28.0,1,0,0,,1
2021-07-28,10.0,5.0,8.0,,25.0,3,1,0,,4
2021-07-29,10.0,5.0,6.0,,21.0,1,5,1,,7
2021-07-30,12.0,7.0,2.0,,24.0,1,1,1,,3
2021-07-31,4.0,6.0,7.0,,17.0,7,2,0,,9
2021-08-01,11.0,5.0,6.0,,22.0,3,1,0,,4
2021-08-02,15.0,1.0,5.0,,21.0,2,5,0,,7
2021-08-03,10.0,5.0,5.0,,22.0,2,2,1,,7
2021-08-04,18.0,2.0,10.0,,32.0,3,1,2,,6
2021-08-05,11.0,6.0,5.0,,24.0,6,3,0,,9
2021-08-06,13.0,7.0,3.0,,23.0,4,3,0,,7
2021-08-07,9.0,7.0,6.0,,23.0,2,2,1,,6
2021-08-08,11.0,7.0,4.0,,24.0,1,3,0,,4
2021-08-09,7.0,9.0,2.0,,19.0,2,2,0,,4
2021-08-10,10.0,5.0,4.0,,20.0,2,3,1,,7
2021-08-11,15.0,5.0,3.0,,24.0,2,0,2,,4
2021-08-12,17.0,1.0,8.0,,29.0,2,0,1,,4
2021-08-13,12.0,5.0,12.0,,32.0,2,0,0,,2
2021-08-14,10.0,4.0,10.0,,28.0,4,0,2,,6
2021-08-15,10.0,2.0,4.0,,16.0,1,6,0,,7
2021-08-16,13.0,4.0,7.0,,24.0,1,3,0,,4
2021-08-17,17.0,1.0,10.0,,28.0,1,1,0,,4
2021-08-18,13.0,2.0,7.0,,24.0,2,0,3,,5
2021-08-19,9.0,3.0,8.0,,22.0,2,3,1,,7
2021-08-20,13.0,4.0,5.0,,24.0,0,0,0,,0
2021-08-21,13.0,2.0,3.0,,18.0,2,1,1,,5
2021-08-22,12.0,3.0,3.0,,19.0,2,2,0,,4
2021-08-23,13.0,2.0,6.0,,22.0,2,0,1,,3
2021-08-24,16.0,0.0,6.0,,24.0,0,2,1,,3
2021-08-25,14.0,2.0,6.0,,24.0,2,1,0,,3
2021-08-26,10.0,8.0,5.0,,23.0,1,1,1,,3
2021-08-27,12.0,4.0,1.0,,18.0,1,2,0,,3
2021-08-28,6.0,3.0,9.0,,18.0,2,1,0,,3
2021-08-29,10.0,4.0,4.0,,19.0,1,1,0,,3
2021-08-30,7.0,3.0,7.0,,17.0,3,1,0,,4
2021-08-31,6.0,1.0,6.0,,16.0,3,2,0,,6
2021-09-01,10.0,0.0,5.0,,16.0,2,0,2,,4
2021-09-02,15.0,0.0,3.0,,18.0,0,0,0,,1
2021-09-03,15.0,0.0,3.0,,18.0,0,0,0,,1
2021-09-04,8.0,1.0,3.0,,16.0,4,0,0,,4
2021-09-05,7.0,0.0,5.0,,13.0,3,0,2,,5
2021-09-06,8.0,3.0,6.0,,17.0,1,0,0,,1
2021-09-07,10.0,1.0,4.0,,17.0,1,0,1,,2
2021-09-08,10.0,2.0,3.0,,16.0,2,0,0,,2
2021-09-09,9.0,1.0,3.0,,14.0,4,2,0,,7
2021-09-10,16.0,0.0,5.0,,23.0,0,0,2,,2
2021-09-11,18.0,1.0,6.0,,25.0,1,1,0,,2
2021-09-12,11.0,1.0,7.0,,20.0,2,0,0,,2
2021-09-13,10.0,2.0,7.0,,20.0,1,1,0,,2
2021-09-14,8.0,4.0,6.0,,23.0,3,0,1,,4
2021-09-15,12.0,5.0,6.0,,28.0,1,0,0,,1
2021-09-18,9.0,5.0,3.0,,20.0,2,0,0,,2
2021-09-19,18.0,0.0,3.0,,23.0,3,1,0,,4
2021-09-20,15.0,2.0,5.0,,22.0,1,0,0,,1
2021-09-21,9.0,2.0,3.0,,17.0,2,0,0,,2
2021-09-22,11.0,2.0,6.0,,20.0,1,0,0,,1
2021-09-23,16.0,2.0,8.0,,26.0,1,0,0,,1
2021-09-24,12.0,4.0,7.0,,25.0,1,0,1,,2
2021-09-25,,,,,,1,0,0,,1
2021-09-26,7.0,2.0,4.0,,14.0,0,0,0,,0
2021-09-28,7.0,1.0,5.0,,14.0,3,0,0,,3
2021-09-30,15.0,1.0,8.0,,24.0,3,0,1,,4
2021-10-01,14.0,2.0,7.0,,25.0,0,0,0,,0
2021-10-02,11.0,1.0,8.0,,23.0,1,0,0,,1
2021-10-03,13.0,1.0,6.0,,21.0,0,0,2,,2
2021-10-04,9.0,0.0,6.0,,16.0,0,0,0,,0
2021-10-05,10.0,2.0,0.0,,13.0,2,0,0,,3
2021-10-06,14.0,0.0,4.0,,20.0,3,0,0,,5
2021-10-07,13.0,3.0,5.0,,26.0,1,0,0,,1
2021-10-08,12.0,0.0,4.0,,16.0,4,0,0,,4
2021-10-09,10.0,1.0,1.0,,14.0,0,0,0,,0
2021-10-10,9.0,1.0,1.0,,11.0,2,0,2,,4
2021-10-12,6.0,1.0,7.0,,17.0,0,0,1,,1
2021-10-14,7.0,1.0,7.0,,18.0,1,0,1,,2
2021-10-15,5.0,1.0,4.0,,14.0,2,0,0,,2
2021-10-16,9.0,3.0,2.0,,14.0,1,0,0,,1
2021-10-17,8.0,1.0,6.0,,15.0,0,0,0,,0
2021-10-18,5.0,2.0,4.0,,13.0,0,0,0,,0
2021-10-19,5.0,2.0,4.0,,14.0,1,0,1,,2
2021-10-20,6.0,2.0,5.0,,17.0,2,0,0,,3
2021-10-21,14.0,0.0,5.0,,20.0,0,0,0,,0
2021-10-22,11.0,0.0,4.0,,17.0,1,0,0,,2
2021-10-23,11.0,1.0,4.0,,16.0,1,0,0,,1
2021-10-24,7.0,0.0,5.0,,14.0,1,0,0,,1
2021-10-25,9.0,0.0,5.0,,14.0,0,0,0,,0
2021-10-26,9.0,0.0,5.0,,14.0,0,0,0,,1
2021-10-27,5.0,0.0,4.0,,11.0,1,0,0,,1
2021-10-28,6.0,0.0,2.0,,9.0,1,0,1,,3
2021-10-29,6.0,0.0,4.0,,10.0,0,0,1,,1
2021-10-30,8.0,0.0,5.0,,13.0,0,0,0,,1
2021-10-31,11.0,0.0,4.0,,16.0,1,1,1,,3
2021-11-01,12.0,4.0,3.0,,19.0,1,0,0,,1
2021-11-02,15.0,1.0,5.0,,21.0,0,0,0,,0
2021-11-03,11.0,0.0,5.0,,17.0,1,0,1,,2
2021-11-04,7.0,1.0,4.0,,12.0,2,0,1,,3
2021-11-05,5.0,0.0,6.0,,11.0,2,0,0,,2
2021-11-06,3.0,0.0,6.0,,9.0,0,0,1,,1
2021-11-07,2.0,0.0,4.0,,6.0,0,0,0,,0
2021-11-08,1.0,1.0,3.0,,5.0,1,0,0,,1
2021-11-09,7.0,0.0,4.0,,12.0,0,0,0,,0
2021-11-10,5.0,0.0,3.0,,8.0,1,0,0,,1
2021-11-11,4.0,0.0,0.0,,4.0,0,0,0,,0
2021-11-12,6.0,0.0,2.0,,8.0,0,0,0,,0
2021-11-13,7.0,0.0,5.0,,14.0,0,0,0,,0
2021-11-14,5.0,0.0,6.0,,11.0,0,0,0,,0
2021-11-15,4.0,0.0,7.0,,11.0,1,0,0,,1
2021-11-16,7.0,0.0,7.0,,14.0,1,0,0,,1
2021-11-17,7.0,0.0,5.0,,12.0,0,0,0,,1
2021-11-18,6.0,0.0,2.0,,10.0,2,0,0,,2
2021-11-19,5.0,0.0,7.0,,12.0,1,0,0,,1
2021-11-20,4.0,0.0,7.0,,12.0,0,0,0,,0
2021-11-21,7.0,0.0,6.0,,13.0,0,0,1,,1
2021-11-22,7.0,0.0,4.0,,11.0,1,0,1,,2
2021-11-23,4.0,0.0,6.0,,11.0,0,1,1,,2
2021-11-24,9.0,0.0,5.0,,14.0,0,0,0,,0
2021-11-25,6.0,1.0,7.0,,16.0,1,0,0,,1
2021-11-26,6.0,1.0,1.0,,9.0,1,0,1,,2
2021-11-27,7.0,0.0,4.0,,11.0,0,0,0,,0
2021-11-28,6.0,0.0,2.0,,9.0,0,0,0,,0
2021-11-29,5.0,0.0,4.0,,9.0,0,0,0,,0
2021-11-30,4.0,1.0,4.0,,9.0,0,0,0,,0
2021-12-01,5.0,1.0,4.0,,10.0,1,0,0,,1
2021-12-02,7.0,0.0,5.0,,12.0,0,0,0,,0
2021-12-03,5.0,0.0,4.0,,9.0,0,0,0,,0
2021-12-04,4.0,0.0,2.0,,6.0,0,0,0,,0
2021-12-05,4.0,0.0,5.0,,9.0,1,0,0,,1
2021-12-06,7.0,0.0,3.0,,10.0,0,0,0,,0
2021-12-07,6.0,0.0,3.0,,9.0,0,0,1,,1
2021-12-08,3.0,0.0,4.0,,10.0,1,0,0,,1
2021-12-09,6.0,2.0,6.0,,15.0,0,0,0,,0
2021-12-10,4.0,0.0,5.0,,11.0,0,0,0,,0
2021-12-11,5.0,0.0,5.0,,10.0,1,0,2,,3
2021-12-13,5.0,2.0,5.0,,12.0,0,0,0,,0
2021-12-14,6.0,0.0,3.0,,9.0,0,0,0,,0
2021-12-15,9.0,0.0,2.0,,11.0,0,0,0,,0
2021-12-16,5.0,0.0,4.0,,10.0,2,0,0,,2
2021-12-17,6.0,0.0,4.0,,10.0,1,0,0,,1
2021-12-18,6.0,0.0,3.0,,9.0,0,0,0,,0
2021-12-19,4.0,0.0,2.0,,6.0,0,0,0,,0
2021-12-20,4.0,0.0,2.0,,6.0,0,0,0,,0
2021-12-21,1.0,0.0,2.0,,5.0,0,0,0,,0
2021-12-22,3.0,0.0,3.0,,8.0,0,0,0,,0
2021-12-23,5.0,0.0,3.0,,8.0,0,0,0,,0
2021-12-24,4.0,0.0,3.0,,7.0,0,0,0,,0
2021-12-25,5.0,1.0,4.0,,11.0,0,0,0,,0
2021-12-26,5.0,0.0,5.0,,10.0,0,0,0,,0
2021-12-27,4.0,0.0,5.0,,9.0,0,0,0,,0
2021-12-28,4.0,0.0,2.0,,6.0,0,0,0,,0
2021-12-29,3.0,0.0,3.0,,7.0,1,0,0,,1
2021-12-30,5.0,0.0,2.0,,7.0,0,0,0,,0
2021-12-31,6.0,0.0,3.0,,11.0,0,0,0,,0
2022-01-01,3.0,0.0,4.0,,7.0,1,0,0,,1
2022-01-02,2.0,0.0,2.0,,4.0,2,0,0,,2
2022-01-03,4.0,0.0,1.0,,6.0,0,0,0,,0
2022-01-04,4.0,1.0,4.0,,9.0,0,0,0,,0
2022-01-05,3.0,0.0,5.0,,9.0,0,0,0,,0
2022-01-06,4.0,0.0,7.0,,11.0,0,0,0,,0
2022-01-07,2.0,0.0,5.0,,8.0,0,0,0,,0
