date,active_cases,tested_positive_today,tested_positive_till_date,rtpcr_samples_tested_today,rtpcr_samples_tested_till_date,persons_tested_rt_pcr_today,persons_tested_rt_pcr_till_date,male_positive_tests_today,female_positive_tests_today,transgender_positive_tests_today,male_positive_tests_till_date,female_positive_tests_till_date,transgender_positive_tests_till_date,discharged_today,discharged_total,deaths_today,deaths_total,deaths_private_hospitals,deaths_government_hopitals
2021-07-14,30600,2455,2526401,146394,34973281,145387,34114197,1428,1030,0,1476288,1050075,38,3021,2462244,55,33557,16,39
2021-07-15,29950,2404,2528806,146665,35119946,145663,34259860,1356,1049,0,1477644,1051124,38,3006,2465250,49,33606,11,38
2021-07-16,29230,2309,2531118,148778,35268724,147783,34407643,1360,952,0,1479004,1052076,38,2986,2468236,46,33652,18,28
2021-07-17,28590,2203,2533323,145814,35414538,144880,34552523,1270,935,0,1480274,1053011,38,2802,2471038,43,33695,13,30
2021-07-19,27282,1967,2537373,134989,35692956,134136,34829174,1139,832,0,1482615,1054720,38,2558,2476339,28,33752,8,20
2021-07-20,26717,1901,2539277,133962,35826918,133149,34962323,1094,810,0,1483709,1055530,38,2439,2478778,30,33782,8,22
2021-07-21,26158,1875,2541168,141248,35968166,140440,35102763,1090,801,0,1484799,1056331,38,2423,2481201,27,33809,10,17
2021-07-22,25526,1871,2543040,145584,36113750,144759,35247522,1072,800,0,1485871,1057131,38,2475,2483676,29,33838,10,19
2021-07-23,24816,1828,2544870,135008,36248758,134169,35381691,1062,768,0,1486933,1057899,38,2516,2486192,24,33862,6,18
2021-07-24,24025,1816,2546689,141758,36390516,140897,35522588,1026,793,0,1487959,1058692,38,2583,2488775,27,33889,5,22
2021-07-25,23364,1807,2548497,144219,36534735,143403,35665991,1046,762,0,1489005,1059454,38,2447,2491222,22,33911,3,19
2021-07-26,22762,1785,2550282,137292,36672027,136505,35802496,1049,736,0,1490054,1060190,38,2361,2493583,26,33937,5,21
2021-07-27,22188,1766,2552049,143310,36815337,142539,35945035,1030,737,0,1491084,1060927,38,2312,2495895,29,33966,6,23
2021-07-28,21521,1755,2553805,155997,36971334,155199,36100234,1005,751,0,1492089,1061678,38,2394,2498289,29,33995,8,21
2021-07-29,21207,1858,2555664,157074,37128408,156359,36256593,1053,806,0,1493142,1062484,38,2145,2500434,28,34023,7,21
2021-07-30,20934,1944,2557611,156843,37285251,156112,36412705,1109,838,0,1494251,1063322,38,2193,2502627,27,34050,3,24
2021-07-31,20716,1986,2559597,160897,37446148,160171,36572876,1103,883,0,1495354,1064205,38,2178,2504805,26,34076,7,19
2021-08-01,20524,1988,2561587,158646,37604794,157927,36730803,1124,866,0,1496478,1065071,38,2156,2506961,26,34102,6,20
2021-08-02,20385,1952,2563544,145321,37750115,144632,36875435,1099,858,0,1497577,1065929,38,2068,2509029,28,34130,5,23
2021-08-03,20217,1905,2565452,145585,37895700,144903,37020338,1104,804,0,1498681,1066733,38,2047,2511076,29,34159,6,23
2021-08-04,20117,1949,2567401,156635,38052335,155965,37176303,1096,853,0,1499777,1067586,38,2011,2513087,38,34197,12,26
2021-08-05,20138,1995,2569398,158797,38211132,158149,37334452,1164,833,0,1500941,1068419,38,1943,2515030,33,34230,5,28
2021-08-06,20185,1985,2571383,160501,38371633,159865,37494317,1148,837,0,1502089,1069256,38,1908,2516938,30,34260,3,27
2021-08-07,20286,1969,2573352,165325,38536958,164712,37659029,1127,842,0,1503216,1070098,38,1839,2518777,29,34289,7,22
2021-08-08,20407,1956,2575308,160229,38697187,159627,37818656,1083,873,0,1504299,1070971,38,1807,2520584,28,34317,4,24
2021-08-09,20427,1928,2577237,154702,38851889,154073,37972729,1109,820,0,1505408,1071791,38,1886,2522470,23,34340,2,21
2021-08-10,20363,1893,2579130,150868,39002757,150225,38122954,1086,807,0,1506494,1072598,38,1930,2524400,27,34367,5,22
2021-08-11,20382,1964,2581094,162791,39165548,162152,38285106,1121,843,0,1507615,1073441,38,1917,2526317,28,34395,5,23
2021-08-12,20399,1941,2583036,160528,39326076,159897,38445003,1115,827,0,1508730,1074268,38,1892,2528209,33,34428,9,24
2021-08-13,20411,1931,2584969,159564,39485640,158935,38603938,1101,832,0,1509831,1075100,38,1887,2530096,34,34462,12,22
2021-08-14,20427,1916,2586885,160306,39645946,159684,38763622,1061,855,0,1510892,1075955,38,1866,2531962,34,34496,12,22
2021-08-15,20458,1896,2588781,157587,39803533,156973,38920595,1090,806,0,1511982,1076761,38,1842,2533804,23,34519,4,19
2021-08-16,20370,1850,2590632,154631,39958164,153994,39074589,1070,781,0,1513052,1077542,38,1911,2535715,28,34547,7,21
2021-08-17,20225,1804,2592436,150724,40108888,150085,39224674,1013,791,0,1514065,1078333,38,1917,2537632,32,34579,10,22
2021-08-18,27897,2078,2535402,143429,35557967,142515,34695038,1202,877,0,1481476,1053888,38,2743,2473781,29,33724,10,19
2021-08-19,19864,1702,2595935,162173,40428400,161542,39542919,959,743,0,1516065,1079832,38,1892,2541432,29,34639,9,20
2021-08-20,19621,1667,2597603,163177,40591577,162548,39705467,942,726,0,1517007,1080558,38,1887,2543319,24,34663,5,19
2021-08-21,19391,1652,2599255,159213,40750790,158593,39864060,968,684,0,1517975,1081242,38,1859,2545178,23,34686,4,19
2021-08-22,19171,1630,2600885,155607,40906397,154998,40019058,931,699,0,1518906,1081941,38,1827,2547005,23,34709,3,20
2021-08-23,18887,1603,2602489,153068,41059465,152447,40171505,918,686,0,1519824,1082627,38,1863,2548868,25,34734,7,18
2021-08-24,18603,1584,2604074,150911,41210376,150297,40321802,913,672,0,1520737,1083299,38,1842,2550710,27,34761,7,20
2021-08-25,18352,1572,2605647,156985,41367361,156386,40478188,913,660,0,1521650,1083959,38,1797,2552507,27,34788,6,21
2021-08-26,18069,1559,2607206,160911,41528272,160306,40638494,878,681,0,1522528,1084640,38,1816,2554323,26,34814,6,20
2021-08-27,17797,1541,2608748,162487,41690759,161889,40800383,881,661,0,1523409,1085301,38,1793,2556116,21,34835,1,20
2021-08-28,17559,1551,2610299,163230,41853989,162641,40963024,872,679,0,1524281,1085980,38,1768,2557884,21,34856,9,12
2021-08-29,17322,1538,2611837,161974,42015963,161390,41124414,868,670,0,1525149,1086650,38,1753,2559637,22,34878,4,18
2021-08-30,17085,1523,2613360,150948,42166911,150368,41274782,861,662,0,1526010,1087312,38,1739,2561376,21,34899,7,14
2021-08-31,16850,1512,2614872,151012,42317923,150437,41425219,874,638,0,1526884,1087950,38,1725,2563101,22,34921,6,16
2021-09-01,16478,1561,2617943,160523,42633164,159962,41739326,890,672,0,1528632,1089273,38,1684,2566504,20,34961,7,13
2021-09-02,16370,1563,2619511,160742,42793906,160190,41899516,901,667,0,1529533,1089940,38,1657,2568161,19,34980,3,16
2021-09-03,16370,1563,2619511,160742,42793906,160190,41899516,901,667,0,1529533,1089940,38,1657,2568161,19,34980,3,16
2021-09-04,16315,1575,2621086,161231,42955137,160694,42060210,895,680,0,1530428,1090620,38,1610,2569771,20,35000,3,17
2021-09-05,16282,1592,2622678,162119,43117256,161583,42221793,885,707,0,1531313,1091327,38,1607,2571378,18,35018,7,11
2021-09-06,16256,1556,2624234,155609,43272865,155088,42376881,885,671,0,1532198,1091998,38,1564,2572942,18,35036,6,12
2021-09-07,16205,1544,2625778,155210,43428075,154685,42531566,877,667,0,1533075,1092665,38,1576,2574518,19,35055,5,14
2021-09-08,16180,1587,2627365,160303,43588378,159772,42691338,889,698,0,1533964,1093363,38,1594,2576112,18,35073,3,15
2021-09-09,16221,1596,2628961,160195,43748573,159684,42851022,919,677,0,1534883,1094040,38,1534,2577646,21,35094,3,18
2021-09-10,16304,1630,2630592,158197,43906770,157689,43008711,930,701,0,1535813,1094741,38,1523,2579169,25,35119,7,18
2021-09-11,16399,1639,2632231,158623,44065393,158117,43166828,950,689,0,1536763,1095430,38,1517,2580686,27,35146,6,21
2021-09-12,16473,1607,2633839,155807,44221200,155303,43322131,929,679,0,1537692,1096109,38,1512,2582198,22,35168,7,15
2021-09-13,16522,1580,2635419,153584,44374784,153081,43475212,906,674,0,1538598,1096783,38,1509,2583707,22,35190,7,15
2021-09-14,16549,1591,2637010,152296,44527080,151784,43626996,901,690,0,1539499,1097473,38,1537,2585244,27,35217,7,20
2021-09-15,16636,1658,2638668,150740,44677820,150226,43777222,959,699,0,1540458,1098172,38,1542,2586786,29,35246,6,23
2021-09-18,16893,1652,2643683,156175,45144520,155648,44242357,938,715,0,1543308,1100337,38,1581,2591480,22,35310,3,19
2021-09-19,16969,1696,2645380,156850,45301370,156319,44398676,1004,693,0,1544312,1101030,38,1594,2593074,27,35337,3,24
2021-09-20,16984,1661,2647041,153034,45454404,152493,44551169,925,736,0,1545237,1101766,38,1623,2594697,23,35360,5,18
2021-09-21,16993,1646,2648688,150159,45604563,149619,44700788,944,703,0,1546181,1102469,38,1619,2596316,19,35379,3,16
2021-09-22,17027,1682,2650370,151802,45756365,151260,44852048,959,723,0,1547140,1103192,38,1627,2597943,21,35400,6,15
2021-09-23,17121,1744,2652115,160057,45916422,159516,45011564,953,792,0,1548093,1103984,38,1624,2599567,27,35427,8,19
2021-09-24,17196,1733,2653848,158075,46074497,157531,45169095,991,742,0,1549084,1104726,38,1631,2601198,27,35454,8,19
2021-09-25,17263,1724,2655572,156490,46230987,155945,45325040,985,739,0,1550069,1105465,38,1635,2602833,22,35476,8,14
2021-09-26,17285,1693,2657266,155245,46386232,154692,45479732,994,700,0,1551063,1106165,38,1658,2604491,14,35490,4,10
2021-09-28,17231,1629,2660553,150725,46688837,150177,45781235,932,698,0,1552960,1107555,38,1643,2607796,17,35526,5,12
2021-09-30,17150,1612,2663789,153327,46993842,152785,46085152,924,688,0,1554831,1108920,38,1626,2611061,28,35578,9,19
2021-10-01,17099,1597,2665386,153829,47147671,153288,46238440,898,699,0,1555729,1109619,38,1623,2612684,25,35603,7,18
2021-10-02,17046,1578,2666964,151855,47299526,151319,46389759,904,674,0,1556633,1110293,38,1607,2614291,24,35627,8,16
2021-10-03,16972,1530,2668495,150410,47449936,149883,46539642,891,640,0,1557524,1110933,38,1582,2615873,23,35650,8,15
2021-10-04,16864,1466,2669962,148749,47598685,148229,46687871,883,584,0,1558407,1111517,38,1559,2617432,16,35666,6,10
2021-10-05,16749,1449,2671411,146735,47745420,146219,46834090,849,600,0,1559256,1112117,38,1548,2618980,16,35682,0,16
2021-10-06,16637,1432,2672843,145338,47890758,144832,46978922,839,593,0,1560095,1112710,38,1519,2620499,25,35707,4,21
2021-10-07,16513,1390,2674233,145846,48036604,145350,47124272,797,593,0,1560892,1113303,38,1487,2621986,27,35734,5,22
2021-10-08,16379,1359,2675592,143355,48179959,142864,47267136,770,589,0,1561662,1113892,38,1473,2623459,20,35754,4,16
2021-10-09,16252,1344,2676936,143863,48323822,143377,47410513,787,557,0,1562449,1114449,38,1457,2624916,14,35768,1,13
2021-10-10,16130,1329,2678265,140091,48463913,139612,47550125,763,566,0,1563212,1115015,38,1436,2626352,15,35783,3,12
2021-10-12,15842,1289,2680857,137548,48741297,137074,47826559,757,532,0,1564713,1116106,38,1421,2629201,18,35814,8,10
2021-10-14,15451,1259,2683396,137423,49017492,136944,48101791,719,540,0,1566175,1117183,38,1438,2632092,20,35853,8,12
2021-10-15,15238,1243,2684641,135760,49153252,135279,48237070,740,505,0,1566915,1117688,38,1442,2633534,16,35869,4,12
2021-10-16,15022,1233,2685874,130251,49283503,129773,48366843,734,499,0,1567649,1118187,38,1434,2634968,15,35884,2,13
2021-10-17,14814,1218,2687092,128313,49411816,127843,48494686,714,504,0,1568363,1118691,38,1411,2636379,15,35899,6,9
2021-10-18,14570,1192,2688284,126786,49538602,126312,48620998,711,481,0,1569074,1119172,38,1423,2637802,13,35912,4,9
2021-10-19,14326,1179,2689463,124849,49663451,124380,48745378,698,481,0,1569772,1119653,38,1407,2639209,16,35928,5,11
2021-10-20,14058,1170,2690633,128759,49792210,128286,48873664,656,514,0,1570428,1120167,38,1418,2640627,20,35948,5,15
2021-10-21,13790,1164,2691797,129820,49922030,129349,49003013,653,511,0,1571081,1120678,38,1412,2642039,20,35968,5,15
2021-10-22,13531,1152,2692949,129573,50051603,129109,49132122,664,488,0,1571745,1121166,38,1392,2643431,19,35987,4,15
2021-10-23,13280,1140,2694089,125158,50176761,124700,49256822,632,508,0,1572377,1121674,38,1374,2644805,17,36004,4,13
2021-10-24,13034,1127,2695216,124177,50300938,123724,49380546,628,499,0,1573005,1122173,38,1358,2646163,15,36019,5,10
2021-10-25,12791,1112,2696328,122700,50423638,122253,49502799,632,480,0,1573637,1122653,38,1341,2647504,14,36033,5,9
2021-10-26,12540,1089,2697418,120376,50544014,119934,49622733,633,457,0,1574270,1123110,38,1326,2648830,15,36048,5,10
2021-10-27,12288,1075,2698493,121553,50665567,121115,49743848,628,447,0,1574898,1123557,38,1315,2650145,12,36060,4,8
2021-10-28,12051,1061,2699554,122835,50788402,122406,49866254,622,439,0,1575520,1123996,38,1286,2651431,12,36072,3,9
2021-10-29,11850,1039,2700593,123084,50911486,122674,49988928,575,464,0,1576095,1124460,38,1229,2652660,11,36083,5,6
2021-10-30,11685,1021,2701614,124055,51035541,123664,50112592,613,408,0,1576708,1124868,38,1172,2653832,14,36097,5,9
2021-10-31,11492,1009,2702623,123701,51159242,123307,50235899,586,423,0,1577294,1125291,38,1183,2655015,19,36116,5,14
2021-11-01,11309,990,2703613,120153,51279395,119769,50355668,598,392,0,1577892,1125683,38,1153,2656168,20,36136,3,17
2021-11-02,11147,973,2704586,115219,51394614,114848,50470516,567,406,0,1578459,1126089,38,1114,2657282,21,36157,5,16
2021-11-03,11012,962,2705548,115237,51509851,114878,50585394,570,392,0,1579029,1126481,38,1078,2658360,19,36176,6,13
2021-11-04,10895,945,2706493,114043,51623894,113694,50699088,566,379,0,1579595,1126860,38,1047,2659407,15,36191,5,10
2021-11-05,10745,875,2707368,105832,51729726,105495,50804583,522,353,0,1580117,1127213,38,1012,2660419,13,36204,6,7
2021-11-06,10588,862,2708230,101023,51830749,100687,50905270,521,341,0,1580638,1127554,38,1009,2661428,10,36214,7,3
2021-11-07,10474,850,2709080,101825,51932574,101506,51006776,496,354,0,1581134,1127908,38,958,2662386,6,36220,4,2
2021-11-08,10372,841,2709921,100875,52033449,100563,51107339,505,336,0,1581639,1128244,38,937,2663323,6,36226,3,3
2021-11-09,10271,835,2710756,102380,52135829,102072,51209411,496,339,0,1582135,1128583,38,924,2664247,12,36238,4,8
2021-11-10,10159,828,2711584,101143,52236972,100833,51310244,465,363,0,1582600,1128946,38,931,2665178,9,36247,3,6
2021-11-11,10013,820,2712404,102343,52339315,102022,51412266,485,335,0,1583085,1129281,38,962,2666140,4,36251,0,4
2021-11-12,9890,811,2713216,102154,52441469,101845,51514111,480,332,0,1583565,1129613,38,927,2667067,8,36259,2,6
2021-11-13,9751,809,2714025,101034,52542503,100723,51614834,437,372,0,1584002,1129985,38,934,2668001,14,36273,5,9
2021-11-14,9616,805,2714830,103684,52646187,103374,51718208,464,341,0,1584466,1130326,38,929,2668930,11,36284,6,5
2021-11-15,9488,800,2715632,101070,52747257,100764,51818972,480,322,0,1584946,1130648,38,918,2669848,12,36296,7,5
2021-11-16,9349,789,2716421,103202,52850459,102898,51921870,481,308,0,1585427,1130956,38,913,2670761,15,36311,7,8
2021-11-17,9211,782,2717203,101984,52952443,101682,52023552,463,319,0,1585890,1131275,38,907,2671668,13,36324,5,8
2021-11-18,9078,775,2717978,101635,53054078,101336,52124888,464,311,0,1586354,1131586,38,896,2672564,12,36336,2,10
2021-11-19,8953,772,2718750,102383,53156461,102088,52226976,461,311,0,1586815,1131897,38,884,2673448,13,36349,7,6
2021-11-20,8827,765,2719515,100998,53257459,100705,52327681,445,320,0,1587260,1132217,38,879,2674327,12,36361,7,5
2021-11-21,8722,756,2720271,100767,53358226,100485,52428166,445,311,0,1587705,1132528,38,847,2675174,14,36375,7,7
2021-11-22,8616,750,2721021,101397,53459623,101116,52529282,443,307,0,1588148,1132835,38,843,2676017,13,36388,5,8
2021-11-23,8536,741,2721762,100817,53560440,100548,52629830,421,320,0,1588569,1133155,38,808,2676825,13,36401,7,6
2021-11-24,8484,744,2722506,101624,53662064,101363,52731193,438,306,0,1589007,1133461,38,782,2677607,14,36415,5,9
2021-11-25,8442,739,2723245,101993,53764057,101738,52832931,435,304,0,1589442,1133765,38,764,2678371,17,36432,7,10
2021-11-26,8418,746,2723991,103258,53867315,103005,52935936,449,297,0,1589891,1134062,38,759,2679130,11,36443,2,9
2021-11-27,8382,740,2724731,101030,53968345,100775,53036711,442,298,0,1590333,1134360,38,765,2679895,11,36454,4,7
2021-11-28,8337,736,2725467,101446,54069791,101189,53137900,444,292,0,1590777,1134652,38,772,2680667,9,36463,2,7
2021-11-29,8291,730,2726197,100508,54170299,100252,53238152,440,290,0,1591217,1134942,38,767,2681434,9,36472,4,5
2021-11-30,8244,718,2726917,100048,54270347,99795,53337947,426,294,0,1591643,1135236,38,758,2682192,9,36481,4,5
2021-12-01,8200,709,2727635,100562,54370909,100312,53438259,439,279,0,1592082,1135515,38,751,2682943,11,36492,4,7
2021-12-02,8155,711,2728350,101818,54472727,101569,53539828,420,295,0,1592502,1135810,38,748,2683691,12,36504,5,7
2021-12-03,8098,704,2729061,102673,54575400,102420,53642248,418,293,0,1592920,1136103,38,759,2684450,9,36513,4,5
2021-12-04,8070,726,2729792,106505,54681905,106254,53748502,422,309,0,1593342,1136412,38,753,2685203,6,36519,2,4
2021-12-05,8041,724,2730516,102068,54783973,101820,53850322,430,294,0,1593772,1136706,38,743,2685946,10,36529,5,5
2021-12-06,8013,719,2731235,101255,54885228,101009,53951331,429,290,0,1594201,1136996,38,737,2686683,10,36539,3,7
2021-12-07,7982,708,2731945,100393,54985621,100149,54051480,411,299,0,1594612,1137295,38,731,2687414,10,36549,4,6
2021-12-08,7946,703,2732648,101766,55087387,101523,54153003,427,276,0,1595039,1137571,38,728,2688142,11,36560,4,7
2021-12-09,7883,696,2733346,102043,55189430,101794,54254797,409,289,0,1595448,1137860,38,746,2688888,15,36575,6,9
2021-12-10,7821,687,2734034,103017,55292447,102771,54357568,415,273,0,1595863,1138133,38,739,2689627,11,36586,5,6
2021-12-11,7770,681,2734715,102414,55394861,102174,54459742,401,280,0,1596264,1138413,38,719,2690346,13,36599,7,6
2021-12-13,7666,656,2736046,100085,55596111,99851,54660522,382,275,0,1597039,1138969,38,702,2691756,12,36624,5,7
2021-12-14,7611,647,2736695,103889,55700000,103657,54764179,369,280,0,1597408,1139249,38,695,2692451,9,36633,3,6
2021-12-15,7548,640,2737335,102775,55802775,102544,54866723,372,268,0,1597780,1139517,38,692,2693143,11,36644,2,9
2021-12-16,7476,627,2737962,104531,55907306,104302,54971025,365,262,0,1598145,1139779,38,687,2693830,12,36656,4,8
2021-12-17,7407,620,2738583,105974,56013280,105748,55076773,357,264,0,1598502,1140043,38,679,2694509,11,36667,4,7
2021-12-18,7346,613,2739196,100175,56113455,99953,55176726,349,264,0,1598851,1140307,38,665,2695174,9,36676,3,6
2021-12-19,7172,600,2740411,101237,56316308,101005,55379120,363,242,0,1599575,1140798,38,697,2696553,6,36686,2,4
2021-12-20,7172,600,2740411,101237,56316308,101005,55379120,363,242,0,1599575,1140798,38,697,2696553,6,36686,2,4
2021-12-21,7078,600,2741013,100342,56416650,100112,55479232,351,251,0,1599926,1141049,38,691,2697244,5,36691,2,3
2021-12-22,6979,599,2741617,101713,56518363,101481,55580713,344,260,0,1600270,1141309,38,695,2697939,8,36699,3,5
